token,tp_cases,tn_cases,fp_cases,fn_cases,total_cases,precision,recall,f1-score
mechanically,1,0,0,0,1,1.0,1.0,1.0
hassle,0,0,0,1,1,#Div0,0.0,#Div0
busy,0,11,0,2,13,#Div0,0.0,#Div0
valuable,0,2,0,2,4,#Div0,0.0,#Div0
predicted,0,0,1,0,1,0.0,#Div0,#Div0
multiple,0,0,1,0,1,0.0,#Div0,#Div0
thru,0,0,0,1,1,#Div0,0.0,#Div0
atomosphere,0,0,0,1,1,#Div0,0.0,#Div0
sector,0,1,0,1,2,#Div0,0.0,#Div0
remoivng,0,0,1,0,1,0.0,#Div0,#Div0
eliminates,0,0,0,1,1,#Div0,0.0,#Div0
correction,0,0,0,1,1,#Div0,0.0,#Div0
vanish,0,0,0,1,1,#Div0,0.0,#Div0
techological,0,0,1,0,1,0.0,#Div0,#Div0
aslo,0,0,1,0,1,0.0,#Div0,#Div0
guarantee,0,0,1,0,1,0.0,#Div0,#Div0
imposible,0,0,1,0,1,0.0,#Div0,#Div0
children,0,25,0,1,26,#Div0,0.0,#Div0
next,0,3,6,0,9,0.0,#Div0,#Div0
imposed,0,0,0,1,1,#Div0,0.0,#Div0
stems,0,0,0,1,1,#Div0,0.0,#Div0
understanding,0,29,3,0,32,0.0,#Div0,#Div0
ll,0,8,1,0,9,0.0,#Div0,#Div0
spend,14,7,6,23,50,0.7,0.3783783783783784,0.4912280701754387
hard,1,47,1,0,49,0.5,1.0,0.6666666666666666
deferent,0,0,1,0,1,0.0,#Div0,#Div0
powerful,1,0,0,0,1,1.0,1.0,1.0
jungle,0,0,0,1,1,#Div0,0.0,#Div0
twenty-five,0,0,1,0,1,0.0,#Div0,#Div0
undestand,0,2,1,0,3,0.0,#Div0,#Div0
run,3,0,1,4,8,0.75,0.42857142857142855,0.5454545454545454
love,0,8,3,0,11,0.0,#Div0,#Div0
build,2,2,0,4,8,1.0,0.3333333333333333,0.5
necessary,0,12,2,0,14,0.0,#Div0,#Div0
rough,0,0,1,1,2,0.0,0.0,#Div0
poor,0,11,1,0,12,0.0,#Div0,#Div0
away,0,7,0,5,12,#Div0,0.0,#Div0
year,0,19,0,1,20,#Div0,0.0,#Div0
concept,0,29,1,0,30,0.0,#Div0,#Div0
Many,0,3,9,0,12,0.0,#Div0,#Div0
protected,1,0,0,1,2,1.0,0.5,0.6666666666666666
asking,0,3,0,1,4,#Div0,0.0,#Div0
traditional,0,2,0,1,3,#Div0,0.0,#Div0
areas,0,6,0,1,7,#Div0,0.0,#Div0
ourself,0,3,1,0,4,0.0,#Div0,#Div0
5kg-plastic,0,0,1,0,1,0.0,#Div0,#Div0
gain,1,4,0,2,7,1.0,0.3333333333333333,0.5
earn,0,1,2,0,3,0.0,#Div0,#Div0
wiil,0,1,1,0,2,0.0,#Div0,#Div0
choosen,0,0,1,0,1,0.0,#Div0,#Div0
Total,0,0,1,0,1,0.0,#Div0,#Div0
downsides,0,0,0,1,1,#Div0,0.0,#Div0
socil,0,1,1,0,2,0.0,#Div0,#Div0
survive,0,2,0,2,4,#Div0,0.0,#Div0
stood,0,0,0,1,1,#Div0,0.0,#Div0
expressing,0,1,0,1,2,#Div0,0.0,#Div0
reflect,2,0,0,0,2,1.0,1.0,1.0
theit,0,0,1,0,1,0.0,#Div0,#Div0
teach,1,8,3,1,13,0.25,0.5,0.3333333333333333
refocus,1,0,0,0,1,1.0,1.0,1.0
t,0,5,4,0,9,0.0,#Div0,#Div0
behave,0,5,1,0,6,0.0,#Div0,#Div0
Human,0,0,1,0,1,0.0,#Div0,#Div0
two,0,32,0,1,33,#Div0,0.0,#Div0
successeful,0,0,1,0,1,0.0,#Div0,#Div0
embed,1,0,0,0,1,1.0,1.0,1.0
weak,1,0,0,3,4,1.0,0.25,0.4
advertized,0,0,1,0,1,0.0,#Div0,#Div0
specific,0,57,7,0,64,0.0,#Div0,#Div0
weight,0,1,0,1,2,#Div0,0.0,#Div0
providing,0,0,0,1,1,#Div0,0.0,#Div0
given,0,7,0,2,9,#Div0,0.0,#Div0
offcourse,0,0,1,0,1,0.0,#Div0,#Div0
reaching,0,0,0,5,5,#Div0,0.0,#Div0
reasearch,0,2,1,0,3,0.0,#Div0,#Div0
law,0,13,0,1,14,#Div0,0.0,#Div0
signs,0,0,0,1,1,#Div0,0.0,#Div0
challenging,0,8,0,1,9,#Div0,0.0,#Div0
margin,0,0,0,1,1,#Div0,0.0,#Div0
meaningless,0,0,0,1,1,#Div0,0.0,#Div0
Other,0,0,2,0,2,0.0,#Div0,#Div0
refer,0,0,1,0,1,0.0,#Div0,#Div0
limited,0,4,0,5,9,#Div0,0.0,#Div0
ecology,0,1,1,0,2,0.0,#Div0,#Div0
worlds,0,0,0,1,1,#Div0,0.0,#Div0
suggest,0,1,4,0,5,0.0,#Div0,#Div0
control,1,3,0,1,5,1.0,0.5,0.6666666666666666
background,0,7,0,3,10,#Div0,0.0,#Div0
untrue,0,0,1,0,1,0.0,#Div0,#Div0
kings,0,0,0,1,1,#Div0,0.0,#Div0
grade,0,2,1,1,4,0.0,0.0,#Div0
fly,0,0,1,0,1,0.0,#Div0,#Div0
building,0,5,0,1,6,#Div0,0.0,#Div0
fixed,0,0,0,1,1,#Div0,0.0,#Div0
disagree,0,13,33,0,46,0.0,#Div0,#Div0
eightteen,0,0,1,0,1,0.0,#Div0,#Div0
provide,2,6,4,1,13,0.3333333333333333,0.6666666666666666,0.4444444444444444
typical,0,0,4,0,4,0.0,#Div0,#Div0
tase,1,0,0,0,1,1.0,1.0,1.0
supplyment,0,0,0,1,1,#Div0,0.0,#Div0
arrange,0,0,1,0,1,0.0,#Div0,#Div0
go,5,41,30,5,81,0.14285714285714285,0.5,0.22222222222222224
alter,0,0,1,0,1,0.0,#Div0,#Div0
speacilize,0,1,1,0,2,0.0,#Div0,#Div0
position,0,6,0,3,9,#Div0,0.0,#Div0
Inter,0,0,1,0,1,0.0,#Div0,#Div0
spare,2,1,0,0,3,1.0,1.0,1.0
choose,0,17,5,0,22,0.0,#Div0,#Div0
advance,0,2,0,1,3,#Div0,0.0,#Div0
straight,0,0,0,1,1,#Div0,0.0,#Div0
dependant,0,0,1,0,1,0.0,#Div0,#Div0
crowd,0,0,0,1,1,#Div0,0.0,#Div0
dynamic,0,0,0,4,4,#Div0,0.0,#Div0
steps,0,0,0,2,2,#Div0,0.0,#Div0
loss,0,1,0,2,3,#Div0,0.0,#Div0
part,0,27,0,12,39,#Div0,0.0,#Div0
worry,0,3,1,0,4,0.0,#Div0,#Div0
roots,0,0,0,1,1,#Div0,0.0,#Div0
be,0,438,85,0,523,0.0,#Div0,#Div0
basis,0,1,0,3,4,#Div0,0.0,#Div0
chinese,0,0,4,0,4,0.0,#Div0,#Div0
pf,0,0,1,0,1,0.0,#Div0,#Div0
role,0,8,0,1,9,#Div0,0.0,#Div0
beautiful,0,5,1,0,6,0.0,#Div0,#Div0
17th-18th,0,0,1,0,1,0.0,#Div0,#Div0
personnal,0,0,1,0,1,0.0,#Div0,#Div0
healthy,1,9,0,0,10,1.0,1.0,1.0
calculate,0,0,1,1,2,0.0,0.0,#Div0
communicate,0,12,3,0,15,0.0,#Div0,#Div0
protect,0,1,0,3,4,#Div0,0.0,#Div0
second,1,5,8,0,14,0.1111111111111111,1.0,0.19999999999999998
complexities,0,0,0,1,1,#Div0,0.0,#Div0
say,0,29,32,0,61,0.0,#Div0,#Div0
consetrating,1,0,0,0,1,1.0,1.0,1.0
left,0,2,0,1,3,#Div0,0.0,#Div0
had,0,63,0,2,65,#Div0,0.0,#Div0
rainy,0,0,1,0,1,0.0,#Div0,#Div0
edge,0,0,0,1,1,#Div0,0.0,#Div0
supported,0,0,0,6,6,#Div0,0.0,#Div0
eminent,0,0,1,0,1,0.0,#Div0,#Div0
forming,0,0,0,2,2,#Div0,0.0,#Div0
asset,0,0,0,1,1,#Div0,0.0,#Div0
write,0,5,1,0,6,0.0,#Div0,#Div0
attribute,0,0,0,1,1,#Div0,0.0,#Div0
view,0,7,0,6,13,#Div0,0.0,#Div0
tempted,0,0,0,1,1,#Div0,0.0,#Div0
town,0,1,0,2,3,#Div0,0.0,#Div0
accept,0,2,2,0,4,0.0,#Div0,#Div0
attached,0,0,0,1,1,#Div0,0.0,#Div0
serve,0,0,0,1,1,#Div0,0.0,#Div0
autum,0,0,0,1,1,#Div0,0.0,#Div0
boosted,0,0,0,1,1,#Div0,0.0,#Div0
fruitfull,1,0,0,0,1,1.0,1.0,1.0
static,0,0,0,1,1,#Div0,0.0,#Div0
potencial,0,0,1,0,1,0.0,#Div0,#Div0
wheel,0,0,0,2,2,#Div0,0.0,#Div0
appriciate,0,0,0,3,3,#Div0,0.0,#Div0
opserve,0,0,1,0,1,0.0,#Div0,#Div0
generalistic,0,0,2,0,2,0.0,#Div0,#Div0
friends,0,28,1,0,29,0.0,#Div0,#Div0
safety,0,4,0,1,5,#Div0,0.0,#Div0
superficial,0,0,0,1,1,#Div0,0.0,#Div0
entreprenourial,0,0,1,0,1,0.0,#Div0,#Div0
entering,0,0,0,2,2,#Div0,0.0,#Div0
total,0,1,2,0,3,0.0,#Div0,#Div0
understand,0,56,35,0,91,0.0,#Div0,#Div0
electricity-powered,0,0,1,0,1,0.0,#Div0,#Div0
feel,2,23,18,1,44,0.1,0.6666666666666666,0.1739130434782609
generic,0,0,1,0,1,0.0,#Div0,#Div0
usefull,0,3,2,0,5,0.0,#Div0,#Div0
promise,0,0,1,0,1,0.0,#Div0,#Div0
foresee,0,0,1,0,1,0.0,#Div0,#Div0
plan,0,19,6,0,25,0.0,#Div0,#Div0
preserving,0,0,0,1,1,#Div0,0.0,#Div0
expanded,0,0,0,2,2,#Div0,0.0,#Div0
near,0,0,1,1,2,0.0,0.0,#Div0
beyond,0,0,0,2,2,#Div0,0.0,#Div0
and,0,1557,0,1,1558,#Div0,0.0,#Div0
challenge,0,2,0,1,3,#Div0,0.0,#Div0
mentaining,0,0,1,0,1,0.0,#Div0,#Div0
ranges,0,0,0,1,1,#Div0,0.0,#Div0
closed,0,0,0,1,1,#Div0,0.0,#Div0
Traveling,0,0,5,0,5,0.0,#Div0,#Div0
path,0,1,0,4,5,#Div0,0.0,#Div0
acidic,0,0,1,0,1,0.0,#Div0,#Div0
aintaining,1,0,0,0,1,1.0,1.0,1.0
safe,0,2,0,2,4,#Div0,0.0,#Div0
laud,0,0,1,0,1,0.0,#Div0,#Div0
too,0,47,0,3,50,#Div0,0.0,#Div0
emerge,0,0,0,1,1,#Div0,0.0,#Div0
guided,0,1,4,0,5,0.0,#Div0,#Div0
historical,0,4,1,0,5,0.0,#Div0,#Div0
late,0,5,0,2,7,#Div0,0.0,#Div0
contained,0,0,0,1,1,#Div0,0.0,#Div0
interesting,0,16,1,0,17,0.0,#Div0,#Div0
blend,0,0,0,1,1,#Div0,0.0,#Div0
born,0,3,0,2,5,#Div0,0.0,#Div0
cram,0,0,1,0,1,0.0,#Div0,#Div0
wasted,0,0,0,2,2,#Div0,0.0,#Div0
prefer,0,9,18,0,27,0.0,#Div0,#Div0
or,0,392,0,1,393,#Div0,0.0,#Div0
agroup,0,1,1,0,2,0.0,#Div0,#Div0
hate,0,2,1,0,3,0.0,#Div0,#Div0
quickly,0,6,0,1,7,#Div0,0.0,#Div0
covers,0,0,0,1,1,#Div0,0.0,#Div0
optimize,0,0,0,1,1,#Div0,0.0,#Div0
value,0,2,0,2,4,#Div0,0.0,#Div0
at,0,130,0,1,131,#Div0,0.0,#Div0
uncontrollable,0,0,1,0,1,0.0,#Div0,#Div0
potentials,0,0,0,1,1,#Div0,0.0,#Div0
recover,0,0,1,0,1,0.0,#Div0,#Div0
cleary,0,0,0,1,1,#Div0,0.0,#Div0
impression,0,7,0,1,8,#Div0,0.0,#Div0
successfull,0,1,1,0,2,0.0,#Div0,#Div0
complexe,0,2,1,0,3,0.0,#Div0,#Div0
creamy,0,1,1,0,2,0.0,#Div0,#Div0
sell,0,6,2,0,8,0.0,#Div0,#Div0
mine,0,2,1,0,3,0.0,#Div0,#Div0
diffrent,0,4,7,0,11,0.0,#Div0,#Div0
roam,0,0,0,1,1,#Div0,0.0,#Div0
sign,0,1,0,2,3,#Div0,0.0,#Div0
in,0,1100,0,18,1118,#Div0,0.0,#Div0
fitting,0,0,0,1,1,#Div0,0.0,#Div0
saw,0,4,4,0,8,0.0,#Div0,#Div0
flowing,0,0,0,1,1,#Div0,0.0,#Div0
memorizing,0,3,1,0,4,0.0,#Div0,#Div0
discount,0,0,1,0,1,0.0,#Div0,#Div0
specialize,0,16,6,0,22,0.0,#Div0,#Div0
endure,0,0,0,1,1,#Div0,0.0,#Div0
along,0,2,1,0,3,0.0,#Div0,#Div0
affect,0,2,1,0,3,0.0,#Div0,#Div0
definite,0,0,1,0,1,0.0,#Div0,#Div0
reduces,0,0,0,1,1,#Div0,0.0,#Div0
evolution,0,0,0,1,1,#Div0,0.0,#Div0
beleive,0,2,2,0,4,0.0,#Div0,#Div0
esthetic,0,0,1,0,1,0.0,#Div0,#Div0
Enjoying,0,0,2,0,2,0.0,#Div0,#Div0
small,1,6,6,3,16,0.14285714285714285,0.25,0.18181818181818182
diffused,1,0,0,0,1,1.0,1.0,1.0
Specializing,0,0,2,0,2,0.0,#Div0,#Div0
consums,0,0,1,0,1,0.0,#Div0,#Div0
more,0,411,0,3,414,#Div0,0.0,#Div0
to,0,2038,0,3,2041,#Div0,0.0,#Div0
permanent,0,0,1,0,1,0.0,#Div0,#Div0
Let,0,1,1,0,2,0.0,#Div0,#Div0
dance,0,2,1,0,3,0.0,#Div0,#Div0
microsoft,0,0,1,0,1,0.0,#Div0,#Div0
decline,0,1,1,0,2,0.0,#Div0,#Div0
semesters,0,0,0,1,1,#Div0,0.0,#Div0
sons,0,0,0,1,1,#Div0,0.0,#Div0
vision,0,1,0,3,4,#Div0,0.0,#Div0
simple,0,5,3,1,9,0.0,0.0,#Div0
begin,0,2,1,0,3,0.0,#Div0,#Div0
cheap,0,6,1,1,8,0.0,0.0,#Div0
replace,0,0,1,0,1,0.0,#Div0,#Div0
create,0,6,2,2,10,0.0,0.0,#Div0
fast,0,7,0,2,9,#Div0,0.0,#Div0
Travelling,0,1,3,0,4,0.0,#Div0,#Div0
intoduced,0,0,0,1,1,#Div0,0.0,#Div0
interact,0,5,0,1,6,#Div0,0.0,#Div0
later,0,6,0,1,7,#Div0,0.0,#Div0
into,0,11,0,11,22,#Div0,0.0,#Div0
insist,0,0,1,0,1,0.0,#Div0,#Div0
nt,0,112,17,0,129,0.0,#Div0,#Div0
reapeat,0,0,1,0,1,0.0,#Div0,#Div0
overtaken,0,0,0,1,1,#Div0,0.0,#Div0
following,0,9,0,1,10,#Div0,0.0,#Div0
keep-it-safe,0,0,0,1,1,#Div0,0.0,#Div0
wolud,0,0,1,0,1,0.0,#Div0,#Div0
addicted,0,0,0,1,1,#Div0,0.0,#Div0
step,0,1,0,3,4,#Div0,0.0,#Div0
dissoponited,0,0,1,0,1,0.0,#Div0,#Div0
last,0,3,7,2,12,0.0,0.0,#Div0
satisfy,0,1,1,0,2,0.0,#Div0,#Div0
full,1,2,2,12,17,0.3333333333333333,0.07692307692307693,0.125
agree,0,33,59,0,92,0.0,#Div0,#Div0
complete,0,3,1,2,6,0.0,0.0,#Div0
react,0,3,2,0,5,0.0,#Div0,#Div0
phases,0,0,0,1,1,#Div0,0.0,#Div0
loses,0,0,0,1,1,#Div0,0.0,#Div0
arm,0,0,0,1,1,#Div0,0.0,#Div0
Sorses,0,0,0,1,1,#Div0,0.0,#Div0
cambodian,0,0,1,0,1,0.0,#Div0,#Div0
ruin,0,0,0,1,1,#Div0,0.0,#Div0
hectic,1,0,0,0,1,1.0,1.0,1.0
shrink,0,0,0,1,1,#Div0,0.0,#Div0
fresh,1,2,0,1,4,1.0,0.5,0.6666666666666666
enable,0,1,1,0,2,0.0,#Div0,#Div0
contributing,0,0,0,1,1,#Div0,0.0,#Div0
behavior,0,10,1,0,11,0.0,#Div0,#Div0
eye,0,1,0,1,2,#Div0,0.0,#Div0
held,0,0,0,1,1,#Div0,0.0,#Div0
progres,0,0,0,1,1,#Div0,0.0,#Div0
cefeman,0,0,1,0,1,0.0,#Div0,#Div0
close,0,3,0,4,7,#Div0,0.0,#Div0
forced,0,0,0,4,4,#Div0,0.0,#Div0
stick,0,0,0,2,2,#Div0,0.0,#Div0
collecting,0,0,0,1,1,#Div0,0.0,#Div0
hobby,0,1,1,0,2,0.0,#Div0,#Div0
Use,1,0,0,0,1,1.0,1.0,1.0
ridiculous,0,0,1,0,1,0.0,#Div0,#Div0
simulataneous,0,0,1,0,1,0.0,#Div0,#Div0
having,0,45,0,5,50,#Div0,0.0,#Div0
brave,0,4,4,0,8,0.0,#Div0,#Div0
self,0,12,2,0,14,0.0,#Div0,#Div0
One,0,13,0,1,14,#Div0,0.0,#Div0
persuing,0,0,0,1,1,#Div0,0.0,#Div0
rise,1,1,0,0,2,1.0,1.0,1.0
Travering,0,1,1,0,2,0.0,#Div0,#Div0
devastating,0,0,0,1,1,#Div0,0.0,#Div0
original,0,1,1,1,3,0.0,0.0,#Div0
acadimic,0,0,1,0,1,0.0,#Div0,#Div0
short,0,10,3,1,14,0.0,0.0,#Div0
collect,0,0,1,0,1,0.0,#Div0,#Div0
Intelligent,0,0,1,0,1,0.0,#Div0,#Div0
improvment,0,0,0,1,1,#Div0,0.0,#Div0
Living,0,0,1,0,1,0.0,#Div0,#Div0
perticipate,0,0,1,0,1,0.0,#Div0,#Div0
green-house,1,0,0,0,1,1.0,1.0,1.0
coin,0,0,0,1,1,#Div0,0.0,#Div0
Trying,0,0,1,0,1,0.0,#Div0,#Div0
backgrounds,0,1,0,1,2,#Div0,0.0,#Div0
address,0,0,1,0,1,0.0,#Div0,#Div0
happen,0,5,3,0,8,0.0,#Div0,#Div0
imagine,0,2,1,0,3,0.0,#Div0,#Div0
lower,0,4,0,1,5,#Div0,0.0,#Div0
exepensive,0,0,1,0,1,0.0,#Div0,#Div0
restrictions,0,0,0,2,2,#Div0,0.0,#Div0
surronded,0,0,0,1,1,#Div0,0.0,#Div0
leass,0,0,1,0,1,0.0,#Div0,#Div0
bit,0,2,0,1,3,#Div0,0.0,#Div0
privaite,0,0,1,0,1,0.0,#Div0,#Div0
catholic,0,0,2,0,2,0.0,#Div0,#Div0
dedicate,3,0,1,4,8,0.75,0.42857142857142855,0.5454545454545454
craizy,0,0,0,1,1,#Div0,0.0,#Div0
fat,0,0,1,0,1,0.0,#Div0,#Div0
promenet,0,0,0,1,1,#Div0,0.0,#Div0
intend,0,2,1,0,3,0.0,#Div0,#Div0
reachable,0,0,0,1,1,#Div0,0.0,#Div0
circle,0,0,0,1,1,#Div0,0.0,#Div0
whole,0,6,2,2,10,0.0,0.0,#Div0
cause,0,11,4,0,15,0.0,#Div0,#Div0
meaninngless,0,0,0,1,1,#Div0,0.0,#Div0
scheme,0,0,0,1,1,#Div0,0.0,#Div0
horrorfy,0,0,1,0,1,0.0,#Div0,#Div0
faced,0,0,0,1,1,#Div0,0.0,#Div0
Successful,0,0,4,0,4,0.0,#Div0,#Div0
trucks,0,0,0,1,1,#Div0,0.0,#Div0
vegetable,0,3,1,0,4,0.0,#Div0,#Div0
advantage,0,3,0,2,5,#Div0,0.0,#Div0
archeological,0,0,1,0,1,0.0,#Div0,#Div0
known,0,16,1,0,17,0.0,#Div0,#Div0
phisical,0,0,1,0,1,0.0,#Div0,#Div0
concentrates,0,0,0,1,1,#Div0,0.0,#Div0
get,6,43,34,7,90,0.15,0.46153846153846156,0.22641509433962265
supecial,0,0,1,0,1,0.0,#Div0,#Div0
become,0,26,13,2,41,0.0,0.0,#Div0
belong,2,0,0,0,2,1.0,1.0,1.0
driven,0,0,0,1,1,#Div0,0.0,#Div0
cutting-edge,0,0,0,1,1,#Div0,0.0,#Div0
tolerating,0,0,0,1,1,#Div0,0.0,#Div0
Acording,0,0,1,0,1,0.0,#Div0,#Div0
Exellent,0,0,1,0,1,0.0,#Div0,#Div0
instruments,0,1,0,1,2,#Div0,0.0,#Div0
credible,0,0,1,0,1,0.0,#Div0,#Div0
broader,0,0,0,6,6,#Div0,0.0,#Div0
tecnological,0,0,3,0,3,0.0,#Div0,#Div0
defence,0,0,0,1,1,#Div0,0.0,#Div0
try,0,43,29,0,72,0.0,#Div0,#Div0
guide,0,122,1,2,125,0.0,0.0,#Div0
nobel,0,0,1,0,1,0.0,#Div0,#Div0
regret,0,0,1,0,1,0.0,#Div0,#Div0
attact,0,0,0,1,1,#Div0,0.0,#Div0
environement,0,0,0,1,1,#Div0,0.0,#Div0
basesd,0,0,0,1,1,#Div0,0.0,#Div0
off,0,3,0,1,4,#Div0,0.0,#Div0
explore,2,2,0,1,5,1.0,0.6666666666666666,0.8
prove,0,3,1,0,4,0.0,#Div0,#Div0
cheat,0,0,0,1,1,#Div0,0.0,#Div0
misleading,1,0,0,2,3,1.0,0.3333333333333333,0.5
worthless,1,0,0,1,2,1.0,0.5,0.6666666666666666
direction,0,1,0,2,3,#Div0,0.0,#Div0
bound,0,0,0,2,2,#Div0,0.0,#Div0
guess,0,3,2,0,5,0.0,#Div0,#Div0
marine,0,0,1,0,1,0.0,#Div0,#Div0
written,0,5,0,1,6,#Div0,0.0,#Div0
act,0,1,1,0,2,0.0,#Div0,#Div0
golden,1,0,0,0,1,1.0,1.0,1.0
smooth,0,0,0,1,1,#Div0,0.0,#Div0
recommend,0,0,1,0,1,0.0,#Div0,#Div0
wrning,0,0,0,1,1,#Div0,0.0,#Div0
uderstanding,0,0,1,0,1,0.0,#Div0,#Div0
hold,2,0,0,0,2,1.0,1.0,1.0
fits,0,0,0,2,2,#Div0,0.0,#Div0
call,0,3,4,0,7,0.0,#Div0,#Div0
flexible,2,0,0,1,3,1.0,0.6666666666666666,0.8
illeterate,0,0,1,0,1,0.0,#Div0,#Div0
enlargement,0,0,0,1,1,#Div0,0.0,#Div0
peak,0,0,0,1,1,#Div0,0.0,#Div0
