text,source,offset,predicted_label
"Instead I can spend more money to visit other places or From what I have stated above , traveling individually allows people to easily change and adjust the travel plan instantly as they desire . 
",spend,3,0
"Instead I can spend more money to visit other places or From what I have stated above , traveling individually allows people to easily change and adjust the travel plan instantly as they desire . 
",visit,7,0
"Instead I can spend more money to visit other places or From what I have stated above , traveling individually allows people to easily change and adjust the travel plan instantly as they desire . 
",have,14,0
"I disagree with this idea because specializing one particular subject brings several advantages for the following reasons . 
",disagree,1,0
"Hackers do like computers and they study computer programs very deeply . 
",do,1,0
"Hackers do like computers and they study computer programs very deeply . 
",study,6,0
"Thus , the security division must hire people who are very specialized to fight the hackers . 
",hire,6,0
"In summary , although some people insist that it is better to develop broad knowledge of many academic subjects than to focus on a particular subject , I disagree with this idea . 
",insist,6,0
"I think specialists are needed in the society to figure out solutions for many problems . 
",think,1,0
"However , I agree with the statement that it is better to hav broad knowledge of many academic subjects than to specialize in one specific subject . 
",agree,3,0
"Only a few initelligent people can be specialists . 
",be,6,0
"Specializing in one certain subject is very hard and requires much concentration on it and intelligence for it . 
",Specializing,0,0
"Ordinally people can not compete with such intelligent people who are very into it . 
",compete,4,0
"Also , they must be bored to do one thing continuously and forever . 
",be,4,0
"Intelligent people can do the specialized work and solving problems for others too . 
",do,3,0
"Knowing wide range of things helps socialize people . 
",Knowing,0,0
"People can not communicate without common topics . 
",communicate,3,0
"Overall , people need to have broad knowledge of many academic subjects than to specialize in one specific subjecet because intelligents can specialize one subject for other people , broad knowledge helps to communicate with other people , and people can get change their mind whenever they want .
",need,3,0
"Overall , people need to have broad knowledge of many academic subjects than to specialize in one specific subjecet because intelligents can specialize one subject for other people , broad knowledge helps to communicate with other people , and people can get change their mind whenever they want .
",have,5,0
"Overall , people need to have broad knowledge of many academic subjects than to specialize in one specific subjecet because intelligents can specialize one subject for other people , broad knowledge helps to communicate with other people , and people can get change their mind whenever they want .
",specialize,14,0
"Overall , people need to have broad knowledge of many academic subjects than to specialize in one specific subjecet because intelligents can specialize one subject for other people , broad knowledge helps to communicate with other people , and people can get change their mind whenever they want .
",specialize,22,0
"I agree that it is better for the student to understand ideas and concepts than to learn facts , because when the student understand idea or cocept he will never forget it while if he learn it for the sake of the exam , for example , he will forget it faster . 
",agree,1,0
"I n addition to that , understanding help the student in anslysing different situations , this will help his growing stages of his mind to grow in a healthier way , and he will be unique . 
",n,1,0
"Now adays , the technology helped a lot the student to search for the information and hence learn it with understanding , the internet for example is on of the most important tools that has helped and still helping many students to search and understand , adding to that the visual media that it offers , because when the human see and hear he will be convinced more and he will not forget it easily . 
",adays,1,0
"To opserve what you experience has everything to do with how you use what you have learned . 
",opserve,1,0
"To opserve what you experience has everything to do with how you use what you have learned . 
",experience,4,0
"To opserve what you experience has everything to do with how you use what you have learned . 
",have,15,0
"Undrestanding coceptes and ideas give a big opprtunity for ceareation and ceariative people never consider the importance of facts because if we beilive that everyting is a fact there wo nt have a space to think and brith with new ideas I beilive that what had happend in Art for example its built through different generations who represented different coseptes in different socites and if we look through the history of art starting from the early civilizations like in cefeman work skratching on a stone till Video art , sculpure and computer art . 
",Undrestanding,0,0
"Undrestanding coceptes and ideas give a big opprtunity for ceareation and ceariative people never consider the importance of facts because if we beilive that everyting is a fact there wo nt have a space to think and brith with new ideas I beilive that what had happend in Art for example its built through different generations who represented different coseptes in different socites and if we look through the history of art starting from the early civilizations like in cefeman work skratching on a stone till Video art , sculpure and computer art . 
",give,4,0
"Undrestanding coceptes and ideas give a big opprtunity for ceareation and ceariative people never consider the importance of facts because if we beilive that everyting is a fact there wo nt have a space to think and brith with new ideas I beilive that what had happend in Art for example its built through different generations who represented different coseptes in different socites and if we look through the history of art starting from the early civilizations like in cefeman work skratching on a stone till Video art , sculpure and computer art . 
",consider,14,0
"Undrestanding coceptes and ideas give a big opprtunity for ceareation and ceariative people never consider the importance of facts because if we beilive that everyting is a fact there wo nt have a space to think and brith with new ideas I beilive that what had happend in Art for example its built through different generations who represented different coseptes in different socites and if we look through the history of art starting from the early civilizations like in cefeman work skratching on a stone till Video art , sculpure and computer art . 
",beilive,22,0
"Undrestanding coceptes and ideas give a big opprtunity for ceareation and ceariative people never consider the importance of facts because if we beilive that everyting is a fact there wo nt have a space to think and brith with new ideas I beilive that what had happend in Art for example its built through different generations who represented different coseptes in different socites and if we look through the history of art starting from the early civilizations like in cefeman work skratching on a stone till Video art , sculpure and computer art . 
",everyting,24,0
"If we look to artists like Piccasso for example , i beilive that what made him a brrelliant artist was two things first of all was how he loved trying working with everything and also bing in a society that encourages the new ideas and it pushed him to be what he was . 
",look,2,0
"If we look to artists like Piccasso for example , i beilive that what made him a brrelliant artist was two things first of all was how he loved trying working with everything and also bing in a society that encourages the new ideas and it pushed him to be what he was . 
",i,10,0
"If we look to artists like Piccasso for example , i beilive that what made him a brrelliant artist was two things first of all was how he loved trying working with everything and also bing in a society that encourages the new ideas and it pushed him to be what he was . 
",beilive,11,0
"That what they encourage now in the very high standared art schools all over the world , you take few years leaning how to draw and paint and see musumes but the main pat in there plane to make good artists is to give a big space to think . 
",encourage,3,0
"That what they encourage now in the very high standared art schools all over the world , you take few years leaning how to draw and paint and see musumes but the main pat in there plane to make good artists is to give a big space to think . 
",standared,9,0
"That what they encourage now in the very high standared art schools all over the world , you take few years leaning how to draw and paint and see musumes but the main pat in there plane to make good artists is to give a big space to think . 
",take,18,0
"so if you see a great huge sculpture done by the ancient egyptians you have to think about it not to only enjoyit like whey the artist coosed thies stone color and why he suuorted the back with arectagler stone that will migt lead to a new sculpture of yours using the sanme stone colr but with an abestrsct shape
",see,3,0
"I think that learning is an everyday process that is determined by people s attitudes , interests and experiences . 
",think,1,0
"For this reason i think that a student can increase his knowledge throught different studying methods . 
",think,4,0
"For this reason i think that a student can increase his knowledge throught different studying methods . 
",increase,9,0
"For this reason i think that a student can increase his knowledge throught different studying methods . 
",throught,12,0
"I think that it is very important for students to have a general knowledge of as many topics and possible . 
",think,1,0
"Analyzing general topics presented under the form of concept and ideas , it could be a good way to learn new things without having to study every detail of that particular topic . 
",Analyzing,0,0
"In fact there are many subjects that can be explained by Professors using main ideas and concepts . 
",be,8,0
"Some examples can be historic events . 
",be,3,0
"Learning the facts is determining in order to increase the knowledge on the topic . 
",Learning,0,0
"Think that when a scientist does an experiment he really need to know about facts . 
",Think,0,0
"To conclude , i think that every subject needs to be treated differently , because i do not think that there is a gerenal rule that determines if it is more important for students to learn from general ideas , than from facts .
",conclude,1,0
"To conclude , i think that every subject needs to be treated differently , because i do not think that there is a gerenal rule that determines if it is more important for students to learn from general ideas , than from facts .
",i,3,0
"To conclude , i think that every subject needs to be treated differently , because i do not think that there is a gerenal rule that determines if it is more important for students to learn from general ideas , than from facts .
",think,4,0
"Cars are one of the best inventions that ever been made eventhough it has many advanteges and disadvanteges like pollution and transporting faster on the other hand but People say that in twenty years there will be fewer cars than there are today well i definatlly agree with this statment beacuse in twenty years the tecnology will be better that today . 
",be,36,0
"Cars are one of the best inventions that ever been made eventhough it has many advanteges and disadvanteges like pollution and transporting faster on the other hand but People say that in twenty years there will be fewer cars than there are today well i definatlly agree with this statment beacuse in twenty years the tecnology will be better that today . 
",be,57,0
"The tecnology will rise and many other inventions will be made There will be cars but not anymore on disel or petrollium . 
",rise,3,0
"The tecnology will rise and many other inventions will be made There will be cars but not anymore on disel or petrollium . 
",be,9,0
"the cars will work on the battery or there will be a car that is made up from glass that wil trap the sunlights and store them for the car to move . 
",work,3,0
"the cars will work on the battery or there will be a car that is made up from glass that wil trap the sunlights and store them for the car to move . 
",be,10,0
"there will also be people that drives airoplanes or maybe ships ... 
",be,3,0
"even that now adays we have planes and ships but in twenty years planes and ships will be used as much as people use cars now ... 
",adays,3,0
"even that now adays we have planes and ships but in twenty years planes and ships will be used as much as people use cars now ... 
",have,5,0
"even that now adays we have planes and ships but in twenty years planes and ships will be used as much as people use cars now ... 
",be,17,0
"even that now adays we have planes and ships but in twenty years planes and ships will be used as much as people use cars now ... 
",use,23,0
"also many new kinds of transportation and new ideas will be disscoverd ... 
",be,10,0
"people may start living on the moon or on other planets so for sure they will be inventions to drive there or to transport ... 
",start,2,0
"To invent a new way of transportation that will make it easier and more useful than the cars so everyone will use without causing pollution and be comfortable with .
",invent,1,0
"To invent a new way of transportation that will make it easier and more useful than the cars so everyone will use without causing pollution and be comfortable with .
",make,9,0
"To invent a new way of transportation that will make it easier and more useful than the cars so everyone will use without causing pollution and be comfortable with .
",use,21,0
"According to the experience in my past , I strong ly agree with the statement that understanding ideas and concepts is more important than learning facts for students . 
",According,0,0
"According to the experience in my past , I strong ly agree with the statement that understanding ideas and concepts is more important than learning facts for students . 
",agree,11,0
"The reasons why I think so are understanding ideas and concepts helps to memorize easily and it makes me be ready to solve more complicatied problems . 
",think,4,0
"The reasons why I think so are understanding ideas and concepts helps to memorize easily and it makes me be ready to solve more complicatied problems . 
",be,19,0
"First of all , I can memorize the elements easier when I can understand ideas and concepts . 
",memorize,6,0
"First of all , I can memorize the elements easier when I can understand ideas and concepts . 
",understand,13,0
"So I just remember several basic formulas and then I can get different formulas by myself with the basic formulas . 
",remember,3,0
"So I just remember several basic formulas and then I can get different formulas by myself with the basic formulas . 
",get,11,0
"Usually teachers recommend students to memorize every single formula as if they are all facts we have to learn . 
",recommend,2,0
"Usually teachers recommend students to memorize every single formula as if they are all facts we have to learn . 
",memorize,5,0
"The behavior lead me to understand ideas and concepts of formula . 
",understand,5,0
"And for tough questions , sometimes I ca nt solve tough question with basic ideas . 
",solve,9,0
"Facts can not change anything because facts are already complete . 
",change,3,0
"That s why it is a fact . 
",s,1,0
"They have made life a lot easier than it used to be . 
",have,1,0
"For example , parents who have just had a new baby might in twenty years , or even sooner , make the decision to buy their son or daughter a car if they can afford it . 
",have,5,0
"In addition to that , the prices of cars are no longer as high as they used to be ; one can find cars that fit almost anyone s budget . 
",be,18,0
"Payment facilitations also play an important role , so that you can buy a car now and pay for it in monthly installments at competitive interest rates . 
",play,3,1
"Payment facilitations also play an important role , so that you can buy a car now and pay for it in monthly installments at competitive interest rates . 
",buy,12,0
"Payment facilitations also play an important role , so that you can buy a car now and pay for it in monthly installments at competitive interest rates . 
",pay,17,0
"And let us not ignore the fact that there are people in the world that have a lot of money to spare and like to follow the latest trends . 
",let,1,0
"And let us not ignore the fact that there are people in the world that have a lot of money to spare and like to follow the latest trends . 
",ignore,4,0
"So they tend to buy the latest Mercedes or BMW models , or even both ! 
",tend,2,0
"So they tend to buy the latest Mercedes or BMW models , or even both ! 
",buy,4,0
"To sum up , there are many factors that might lead to an increase in the number of cars available for use by people . 
",sum,1,0
"That should be our main concern .
",be,2,0
"I have always enjoyed traveling . 
",have,1,0
"Every year I have the chance to come to the United States for three months by myself to improve my English language skills I have been doing this for more than five years now ! 
",have,3,0
"Every year I have the chance to come to the United States for three months by myself to improve my English language skills I have been doing this for more than five years now ! 
",come,7,0
"Every year I have the chance to come to the United States for three months by myself to improve my English language skills I have been doing this for more than five years now ! 
",improve,18,0
