,source,text
40,punitive (28),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
41,introducing (27),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
42,public (6),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
43,begin (12),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
46,increasing (21),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
47,placing (16),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
48,private (24),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
49,given (13),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
50,bins (14),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
51,number (12),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
52,local (14),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
53,microchips (17),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
55,Deane (2),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
57,said (8),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
58,waiting (3),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
59,get (32),"A virtual school in Ohio was put on a one-year probation because an audit showed it has a deficit of $800,000.Hard to know how it ran at a deficit when virtual schools get full tuition and don't have any of the expenses of brick and mortar schools."
60,full (33),"A virtual school in Ohio was put on a one-year probation because an audit showed it has a deficit of $800,000.Hard to know how it ran at a deficit when virtual schools get full tuition and don't have any of the expenses of brick and mortar schools."
62,don't (36),"A virtual school in Ohio was put on a one-year probation because an audit showed it has a deficit of $800,000.Hard to know how it ran at a deficit when virtual schools get full tuition and don't have any of the expenses of brick and mortar schools."
63,expenses (43),"A virtual school in Ohio was put on a one-year probation because an audit showed it has a deficit of $800,000.Hard to know how it ran at a deficit when virtual schools get full tuition and don't have any of the expenses of brick and mortar schools."
65,virtual (30),"A virtual school in Ohio was put on a one-year probation because an audit showed it has a deficit of $800,000.Hard to know how it ran at a deficit when virtual schools get full tuition and don't have any of the expenses of brick and mortar schools."
67,virtual (1),"A virtual school in Ohio was put on a one-year probation because an audit showed it has a deficit of $800,000.Hard to know how it ran at a deficit when virtual schools get full tuition and don't have any of the expenses of brick and mortar schools."
68,deficit (28),"A virtual school in Ohio was put on a one-year probation because an audit showed it has a deficit of $800,000.Hard to know how it ran at a deficit when virtual schools get full tuition and don't have any of the expenses of brick and mortar schools."
69,one-year (9),"A virtual school in Ohio was put on a one-year probation because an audit showed it has a deficit of $800,000.Hard to know how it ran at a deficit when virtual schools get full tuition and don't have any of the expenses of brick and mortar schools."
70,know (22),"A virtual school in Ohio was put on a one-year probation because an audit showed it has a deficit of $800,000.Hard to know how it ran at a deficit when virtual schools get full tuition and don't have any of the expenses of brick and mortar schools."
71,showed (14),"A virtual school in Ohio was put on a one-year probation because an audit showed it has a deficit of $800,000.Hard to know how it ran at a deficit when virtual schools get full tuition and don't have any of the expenses of brick and mortar schools."
72,school (2),"A virtual school in Ohio was put on a one-year probation because an audit showed it has a deficit of $800,000.Hard to know how it ran at a deficit when virtual schools get full tuition and don't have any of the expenses of brick and mortar schools."
73,director (22),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
74,represents (3),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
75,biggest (5),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
76,new (5),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
77,applauded (3),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
78,additional (15),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
79,said (5),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
80,executive (21),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
81,former (15),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
82,step (24),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
83,military (6),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
84,combat (5),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
85,represents (3),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
86,Network (30),"Advocates and lawmakers applauded the new plan, even as they pledged to fight for additional measures. This announcement represents the biggest step that D.O.D. has taken thus far to combat military sexual assault, Anu Bhagwati, a former Marine Corps captain who is executive director of the Service Women's Action Network, or S.W.A.N., an advocacy group, said in a statement."
88,show (4),"Additionally, public records show that former Interim-Provost Mary Lidstrom asked administrators rather she should delay student input from PACS until after the budget was set. - The University Administration provided inadequate outreach to the student body as a whole regarding the proposed tuition increase."
89,public (2),"Additionally, public records show that former Interim-Provost Mary Lidstrom asked administrators rather she should delay student input from PACS until after the budget was set. - The University Administration provided inadequate outreach to the student body as a whole regarding the proposed tuition increase."
90,provided (4),"Additionally, public records show that former Interim-Provost Mary Lidstrom asked administrators rather she should delay student input from PACS until after the budget was set. - The University Administration provided inadequate outreach to the student body as a whole regarding the proposed tuition increase."
91,inadequate (5),"Additionally, public records show that former Interim-Provost Mary Lidstrom asked administrators rather she should delay student input from PACS until after the budget was set. - The University Administration provided inadequate outreach to the student body as a whole regarding the proposed tuition increase."
92,delay (15),"Additionally, public records show that former Interim-Provost Mary Lidstrom asked administrators rather she should delay student input from PACS until after the budget was set. - The University Administration provided inadequate outreach to the student body as a whole regarding the proposed tuition increase."
93,regarding (14),"Additionally, public records show that former Interim-Provost Mary Lidstrom asked administrators rather she should delay student input from PACS until after the budget was set. - The University Administration provided inadequate outreach to the student body as a whole regarding the proposed tuition increase."
94,administrators (11),"Additionally, public records show that former Interim-Provost Mary Lidstrom asked administrators rather she should delay student input from PACS until after the budget was set. - The University Administration provided inadequate outreach to the student body as a whole regarding the proposed tuition increase."
95,asked (10),"Additionally, public records show that former Interim-Provost Mary Lidstrom asked administrators rather she should delay student input from PACS until after the budget was set. - The University Administration provided inadequate outreach to the student body as a whole regarding the proposed tuition increase."
96,former (6),"Additionally, public records show that former Interim-Provost Mary Lidstrom asked administrators rather she should delay student input from PACS until after the budget was set. - The University Administration provided inadequate outreach to the student body as a whole regarding the proposed tuition increase."
99,black (70),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
100,pulled (54),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
101,backlash (58),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
103,other (10),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
104,displayed (6),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
105,logo (4),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
106,Martin (69),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
107,wake (59),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
108,public (61),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
109,death (66),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
110,has (2),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
111,http (24),"ALEC even has its logo prominently displayed, along with other national legislative organizations, on the Louisiana Legislature's web page: http://www.legs.louisiana.go/ Until recently, Pepsico, Local-Old, Kraft Foods, Intuit, the Gates Foundation and McDonald's were members but have since pulled their support in the wake of public backlash over the shooting death in Florida of black teenager Trayvon Martin by community watch volunteer George Zimmerman."
114,chances (11),A Bush family member may have destroyed Mitt Romney's chances of ever being elected president.
115,destroyed (6),A Bush family member may have destroyed Mitt Romney's chances of ever being elected president.
116,Romney (8),A Bush family member may have destroyed Mitt Romney's chances of ever being elected president.
118,poll (1),"A poll of 400 likely voters, commissioned by the National Education Association Rhode Island, shows Republican John Robitaille narrowly beating Governor Lincoln Chafee and state Treasurer Gina Raimondo in a hypothetical matchup for the governor's office."
119,likely (4),"A poll of 400 likely voters, commissioned by the National Education Association Rhode Island, shows Republican John Robitaille narrowly beating Governor Lincoln Chafee and state Treasurer Gina Raimondo in a hypothetical matchup for the governor's office."
120,shows (16),"A poll of 400 likely voters, commissioned by the National Education Association Rhode Island, shows Republican John Robitaille narrowly beating Governor Lincoln Chafee and state Treasurer Gina Raimondo in a hypothetical matchup for the governor's office."
121,hypothetical (32),"A poll of 400 likely voters, commissioned by the National Education Association Rhode Island, shows Republican John Robitaille narrowly beating Governor Lincoln Chafee and state Treasurer Gina Raimondo in a hypothetical matchup for the governor's office."
122,office (42),"A poll of 400 likely voters, commissioned by the National Education Association Rhode Island, shows Republican John Robitaille narrowly beating Governor Lincoln Chafee and state Treasurer Gina Raimondo in a hypothetical matchup for the governor's office."
123,beating (21),"A poll of 400 likely voters, commissioned by the National Education Association Rhode Island, shows Republican John Robitaille narrowly beating Governor Lincoln Chafee and state Treasurer Gina Raimondo in a hypothetical matchup for the governor's office."
125,bonus (3),A second unintended bonus flowed from the G.I. Bill.
126,second (1),A second unintended bonus flowed from the G.I. Bill.
127,flowed (4),A second unintended bonus flowed from the G.I. Bill.
128,hike (1),"A hike in the corporate income tax wouldn't be the right approach, though, since that would penalize shareholders, workers, and consumers."
129,corporate (4),"A hike in the corporate income tax wouldn't be the right approach, though, since that would penalize shareholders, workers, and consumers."
130,penalize (20),"A hike in the corporate income tax wouldn't be the right approach, though, since that would penalize shareholders, workers, and consumers."
131,shareholders (21),"A hike in the corporate income tax wouldn't be the right approach, though, since that would penalize shareholders, workers, and consumers."
132,approach (13),"A hike in the corporate income tax wouldn't be the right approach, though, since that would penalize shareholders, workers, and consumers."
133,right (12),"A hike in the corporate income tax wouldn't be the right approach, though, since that would penalize shareholders, workers, and consumers."
134,workers (4),About 100 to 150 workers are reportedly being laid off by ASFT at noon today.
135,only (5),"African Americans are not the only targets of bigoted images ; Dr. Pilgrim showed images of Jews, Gays, Native Americans, Hispanics, Asian Americans and immigrants, all demeaned by distorted portrayals."
136,distorted (21),"African Americans are not the only targets of bigoted images ; Dr. Pilgrim showed images of Jews, Gays, Native Americans, Hispanics, Asian Americans and immigrants, all demeaned by distorted portrayals."
137,targets (6),"African Americans are not the only targets of bigoted images ; Dr. Pilgrim showed images of Jews, Gays, Native Americans, Hispanics, Asian Americans and immigrants, all demeaned by distorted portrayals."
138,bigoted (8),"African Americans are not the only targets of bigoted images ; Dr. Pilgrim showed images of Jews, Gays, Native Americans, Hispanics, Asian Americans and immigrants, all demeaned by distorted portrayals."
139,showed (1),"African Americans are not the only targets of bigoted images ; Dr. Pilgrim showed images of Jews, Gays, Native Americans, Hispanics, Asian Americans and immigrants, all demeaned by distorted portrayals."
140,images (9),"African Americans are not the only targets of bigoted images ; Dr. Pilgrim showed images of Jews, Gays, Native Americans, Hispanics, Asian Americans and immigrants, all demeaned by distorted portrayals."
142,images (2),"African Americans are not the only targets of bigoted images ; Dr. Pilgrim showed images of Jews, Gays, Native Americans, Hispanics, Asian Americans and immigrants, all demeaned by distorted portrayals."
143,Asian (13),"African Americans are not the only targets of bigoted images ; Dr. Pilgrim showed images of Jews, Gays, Native Americans, Hispanics, Asian Americans and immigrants, all demeaned by distorted portrayals."
145,African (0),"African Americans are not the only targets of bigoted images ; Dr. Pilgrim showed images of Jews, Gays, Native Americans, Hispanics, Asian Americans and immigrants, all demeaned by distorted portrayals."
146,mean (28),"A majority of Latino voters believe that candidates who call for border security, a vague term that gives little insight into what full security would mean, are attempting to delay immigration enforcement, according to a poll released earlier this month by Univision and Latino Decisions. Latinos would be fine if you mention let's secure the border, but at the same time they're wanting to hear the rest of your plan, Barajas told HuffPost. This idea that you can just secure the border and we ll do the rest later is something that has been told year after year, election cycle after election cycle."
147,full (23),"A majority of Latino voters believe that candidates who call for border security, a vague term that gives little insight into what full security would mean, are attempting to delay immigration enforcement, according to a poll released earlier this month by Univision and Latino Decisions. Latinos would be fine if you mention let's secure the border, but at the same time they're wanting to hear the rest of your plan, Barajas told HuffPost. This idea that you can just secure the border and we ll do the rest later is something that has been told year after year, election cycle after election cycle."
148,told (23),"A majority of Latino voters believe that candidates who call for border security, a vague term that gives little insight into what full security would mean, are attempting to delay immigration enforcement, according to a poll released earlier this month by Univision and Latino Decisions. Latinos would be fine if you mention let's secure the border, but at the same time they're wanting to hear the rest of your plan, Barajas told HuffPost. This idea that you can just secure the border and we ll do the rest later is something that has been told year after year, election cycle after election cycle."
149,majority (1),"A majority of Latino voters believe that candidates who call for border security, a vague term that gives little insight into what full security would mean, are attempting to delay immigration enforcement, according to a poll released earlier this month by Univision and Latino Decisions. Latinos would be fine if you mention let's secure the border, but at the same time they're wanting to hear the rest of your plan, Barajas told HuffPost. This idea that you can just secure the border and we ll do the rest later is something that has been told year after year, election cycle after election cycle."
