,text,source,offset
34,People who prepare studying one languages sue donothave time for that because there is many things in life take bolt of human s time .,have;take,9;20
35,One reason that a human could have any social problems make him confused and not consetrating on his studying so it is better for him to study one subject .,consetrating,15
36,Also studying one subject make human successful in what he is studying .,,
37,"For example , if a person studied business administration and spend all his time and energy for it he will became amazing in his career and job .",spend,10
38,If he had a little time he could take some courses of any thing he likes .,,
39,"On the other hand , having broad knowledge it s may be good to haver a well informations about many things in this life but i disagree to have many knowledge of many academic subjects because it is wasting for time espcially if the person has a familly and childrens , it would be difficult for him to take care of his family and his studying at the same time .",broad;wasting,6;38
40,the family need time to spend with because it s the main ting in this life and from the good family grow good peple .,spend;from;grow,5;17;21
41,But when one of the parents donothave time for thier family that would reflect in a negative way at childrens .,have;reflect,8;15
42,So studying one subject would allow person to have time for his own life and take care of it .,have,8
43,So having one thing to study is better for the pain him self also better for the country he live in .,,
44,"I think having one subject to so study or not , well ...",,
45,that depends in person s personality in his life and his scale .,,
46,Each person has his own idea .,,
47,"In the past in each school or university there was not specific subject , but the students had a knowledge of many subjects .",,
48,Today the number of course at university are increase because they would people specialized in one specific subject .,,
49,"In my opinion is better to have , in the first year of study , broad knowledge of generic materials , than specialized in one specific subject .",broad,15
50,In this method students are increasing their culture in their material very rapidly with very strenght ideas .,increasing;strenght,5;15
51,"Another point of this system , are that could increasing new post of work and new type of work .",,
52,"To complete my opinion , I agree to spend part of study for stage , it is more important because it is between study and work .",spend,8
53,"In summary today students can specialised in one specific subject , but the world of work remain too far , during this specialisation .",world;too;far,13;17;18
54,The issue of whether successful people try new things and take risks rather than the people who do only what they already know is interesting one .,,
55,"In my opinion , the successful people should have challenging spirits .",,
56,"First of all , the most succesfull people have been something of challengers to date .",,
57,"For example , Soichiro Honda , who was a founder of a Japanese car maker called HONDA , was a typical challenger .",,
58,"Before founding his company , he was a only owner of small cycle shop .",,
59,"But , he had a great ambition and strongly desired to help the people who were at a loss in mobility .",strongly,8
60,"Eventually , he invested the first motor cycle in Japan .",,
61,"It was not only his challenge , he endeavored many things after this and founded his company .",,
62,"Nowadays , HONDA has successes his challenging spirits and tried many new things , such as making robot called Asimo , investing hydrogen electric motor car etc .",,
63,"However , it is not necessarily that every challenging brings success every time .",,
64,"For example , about 100 years ago , there is a trade company called Suzuki Shoten in Japan .",,
65,The people who worked for this company were full of challenging spirits .,full,8
66,"But , unfortunately , their efforts went too far .",went;far,6;8
67,Their attitude which they tried something new and spend money on it lead this company to bankrupt .,lead,12
68,This was an example that challenging has not only advantage but also disadvantage .,,
69,"But , I can safely say that people never get the chance to be success if they only do what have been manualized and never want to take any risks because everybody can do the same things in the same way .",,
70,"In other word , nobody can stand out from the crowd without new challenging which make person distinguished from others .",stand;out;from;the;crowd,6;7;8;9;10
71,"In conclusion , only the people who made a lot of efforts to challeng something new can attain big success .",,
72,I agree that most advertisements make products seem much better than they really are .,,
73,I bought a food with looking nice picture last week .,,
74,"Even though , when I cooked as exactly what the direction says , it looked different and it was not very nice .",,
75,Those kind of things should have happened to most people .,,
76,I understand that they are doing business and they are trying to get more customers and sell the products .,,
77,"However , I donotthing they should make advertisement make products seem better than they really are for three reasons .",,
78,"First , it makes people who bought the product disappointed .",,
79,The light used in the picture on the advertisement and angles can make the product looks better .,,
80,"In addition , if the customer did not like the real product , they wasted their money .",wasted,14
81,It is like cheating and not fair .,cheating,3
82,"Finally , the company might be complained by the customers .",,
83,The customers will not buy the same product if they are disappointed by the product which were showed nicer than they really are .,,
84,The product wil be popular only the begining and the profit will not get any better or get worse .,,
85,People are happy and dreaming when they are looking at the advertisement .,dreaming,4
86,It is true that nice looking advertisement make people feel good .,,
87,"Although , people get more desapointted and sad if the difference is so big .",,
88,"Nice and beautiful advertisement give people dream but if it is not true , it is cheating .",dream;cheating,6;16
89,It is not good to show not real looks .,,
90,"From my perspective , in twenty years time there will be fewer cars circulating above all in big cities .",,
91,There are a lot of reasons that make me argue it .,,
92,First of all cities are trying to improve more and more public transports : there are always projects for new and faster metropolitan lines which can link different city zones in a real short time .,,
93,"Moreover , pollution is becoming a problem even more dangerous for the health of everybody and all the diseases caused by pollution are making people aware of the necessity of an alternative to the use of the car and of other polluting private transports like motorcycles .",,
94,"Furthermore , having a car is always more and more expensive : taxation and insurance costs are also very high .",,
95,Beside the cost of oil is always growing and if you add the costs of the parking in central zones you can guess why always more people prefer public transports more than their own car .,growing,7
96,"Lastly also public transports like highspeed trains are being developed and I think that in a twenty years time all the major city of Europe will be reachable in a very short time , making useless the car also fo long journeys .",reachable,27
97,"However , problems remains in little cities where car is necessary in winter or in rainy day .",,
98,But here also car are becoming less and less popular .,,
99,Educational programs in primary school teach the children to prefer to go to school with bicycle or with the schoolbus instead of with their parents and their own car and are spreading a ecological conscience in new generations .,spreading;conscience,31;34
100,"As a conclusion , I believe that owning a car could be always useful , but the ecological awareness will make people use their car less .",,
101,"Even though sometimes , in particular when traveling for a short amount of time , being in an organized group with a guide can be more effective , I generally prefer to travel on my own .",,
102,"The main reason why I like traveling is the fact that it provides an opportunity to be close to very different people , learn a language and eat new , unusual food .",,
103,"In summary , to experience a different culture .",,
104,"When you travel in a group , you often end up with people from your country , who speak your language and want to eat known food , in known places .",end;up,9;10
105,"Also , tour guides generally focus on the typical tourist attractions , because that s what most people are interested in .",focus;attractions,5;10
106,This is almost the exact opposite of what I am looking for when I travel .,,
107,"I like to read books about my destination before I travel , so that by the time I am there , I already have a rough mental plan of what I would like to see .",rough,25
108,Doing so offers much more flexibility than traveling in a group .,flexibility,5
109,"You can choose exactly where to go and when , regardless of what the majority considers interesting .",,
110,"Some people like to visit churches , others museums or even shopping malls .",,
111,When you travel in a group you almost always have to find a compromise and rarely end up being completely satisfied .,end;up,16;17
112,"My dream vacation includes plenty of time to wander the streets of a new city , without the help of someone who already knows the place .",dream,1
113,"I like to get lost in interesting streets , to try to interact with local people and to see how they walk , shop and talk in their own country .",,
114,"Even when I am not fluent in the local language , I always do my best to use as many words and expressions as possible .",,
115,"I find it much more satisfying , than just using English or Italian , my mother tongue .",,
116,"Based on my experience , I also believe that people react much better when they see that you are traveling on your own and that you respect their culture and try to blend in , instead of being in a large group , looking at them through the reassuring cultural lens of a guide , as if they were exotic animals in a zoo .",respect;blend;in;lens;exotic;animals;in;a;zoo,26;32;33;50;59;60;61;62;63
117,The statment is really general and I disagree with that .,,
118,I think the category of young people should be divided in different groups .,divided,9
119,Surely the first division should be of two big groups : teens and young people from 20 to 26 .,division,3
120,"Teens should go on studying becouse , as we now , their help to their communities will be bigger if they can do some usefull work .",,
121,"But at the same time I think , in that period , a teen must hold a part of the day for his curiosity .",hold,15
122,"People from 20 to 26 , that is the category in which I am , could yet be a worker on could still be a student .",,
123,And I think in both of the situations they are helping their communities .,,
124,"Obviously there could be some exceptions of people that , for different reasons , donotfound their own way .",found;way,16;19
125,But they are exceptions .,,
126,"Than , In Italy , we can decide to give social services to society , also stopping to study for a year , and work in hospitals or old people s houses or something similar .",give,9
127,But I always think the better way to help your communities it is to find your own position as worker inside the system .,find;position;inside;the;system,14;17;20;21;22
128,And to do that young people must do what they do .,,
129,What sould they be supposed to do more ?,,
130,I really would like to understand becouse I read statements like this from when I was child .,,
131,I think that the past world wars did private young people of their youth .,private,8
132,And I think that s not right .,,
133,"So when I realize that I m living in a really beatiful time and in a really comfortable place I think that is a must of mine going on to study , improve my work and enjoy my self .",beatiful;time;comfortable,11;12;17
134,And when I do all of this things I think I m helping my communities .,,
135,I agree with the statement that it is better for a person to have a broad knowledge of many academic subjects rather than to specialize in one specific subject .,broad,15
136,"Specialization can be a good thing in life , it helps a person to be good at what he does and be effecient in his work .",,
137,"However , sometimes if a person chooses to take many academic subjects , it gets interesting .",,
138,"Lets say for example , a person takes biology , history and physiology .",,
139,All this knowledge is a great advantage !,,
140,"It leads the person to be more knowledgable , more aware of lots of things and also gives a sense of fun .",leads;gives,1;17
141,Your mind expands and gets different and interesting information each day from different topics .,expands;gets;from,2;4;11
142,Knowledge is a bunch of facts that you accquire from experiences and everyday routines .,accquire,8
143,knowledge on one thing makes life boring especially for a person who is always curious and wants to learn new things .,,
144,"knowledge is unlimited , you have access to it anytime and anywhere .",unlimited;access,2;6
145,I could choose to know everything about one certain topic but that limits my knowledge to that one topic .,limits,12
146,But how about knowing information about different topics ?,,
147,this makes you even more social with different type of people .,,
148,A doctor who knows history gets people astonished .,,
149,They begin to understand the fact that he is good at what he does but also has interest for many other things .,,
150,"In high school , i ve always chosen different electives like music , french and also computer lessons .",,
151,I wanted to know more about each or even be good at them like in my major subject .,,
152,It made me feel wise and able to talk to people about alot of subjects .,,
153,"I could argue and talk in different areas with different types of people , it gives a good impression and also makes my life interesting to learn new stuff and facts everyday .",,
154,That explains why actors now are persuing careers in singing or being leaders of charity acts or organizations .,persuing,6
155,They want to try more .,,
156,It s better to have a broad knowledge of many academic subjects .,broad,6
157,To learn different facts everyday gives color to the mind .,gives;color,5;6
158,"Life is short as they say , so make use of it .",short;make;use,2;8;9
159,"Speacializing in one specific subject , is much more effective than having a broad knowledge of many academic subjects .",broad,13
160,In the early years there werenotlots of scientists and doctors .,,
161,If i was at that time i would have chosen to have a broad knowledge opposing to have one specific subject to realize in .,broad,13
162,"yet , these days education is improving and there is competion between people .",,
163,"Therefore , i would rather specialized in one area inorder to shine and be known for my uniqeness in this area .",shine,11
164,"In the past years there would be one doctor whom you went to , it didn matter what you were feeling , whether it was a pain in your stomache or or a problem with your eye sight you still went to the doctor .",,
165,"Nowadays , doctors are more an more specialized .",,
166,Even pediatritions are now more specialized where each doctor is concerned about one part of the human body .,,
167,"Furthermore , have a look at teachers .",,
168,in primary school we usually had a class teacher which taught us all subjects .,,
169,"English , Math , Science and the rest of the subjects .",,
170,"yet , when we moved to high school we started realizing that teachers were to a greater sense more specialized , we had a teacher for each subject .",moved,4
171,"Not only that but take Science as an example , not only did we have a teacher for science , but we had a different teacher for Physics , Biology and Chemistry .",,
172,oving on to university we start choosing our major .,oving,0
173,Take buisness for example .,,
174,"You speacilize in major and you find the different smaller topic in buisness , which shows you how specialized it is .",,
175,"What i am trying to prove here , is that this decsion is already made , no one is able to take lots of subjects and not speaclize in one major .",,
176,"You only have the opportunity to choose one major , and sometimes you are able to choose a double major , since some subjects are related to each other , like business and accounting .",,
177,"By speacilizing in one subject , you find it easier to find a job after university , and when you start working its motivating and self - fullfilling to feel that you know your major well , and this makes you like your job and appreciate it .",,
178,"This is why it is very important to choose your major carefully , since this will be the subject you will speacilize in and live with .",,
179,It is possible to change your career but i feel its a shame to waste all these years of studying and start from the beginning,waste;start;beginning,14;21;24
180,"Although some people prefer to travel in a group because of the easiness and safetiness , I would like to travel by myself or with a only few friends .",,
181,Traveling individually is flexible and economical .,flexible,3
182,"In the beginning , I did travel with a group led by a tour guid , because I did not know how to make a plan for a trip , and also I did not speak English enough to travel abroad .",,
183,"In that case , it had better travel in a group and have a tour guide .",,
184,"How ever , I found myself frustrated about waiting the other people to get ready to leave the place we visited and not having any extra time to spend more time at my favorite places .",extra;spend,25;28
185,"On the other hand , if I am traveling by myself , there is no such a problems .",,
186,"I can stay in bed late , or wake up early morning and enjoy the sunrise .",,
187,"Therefore , I can more enjoy the trip without .",,
188,Traveling with a group is usually more costly than traveling individually .,,
189,The tour group usually rent a larger van or bus and reserve the higher grade hotel and restaurants to fullfill the satisfaction of all the guests .,,
190,This may not be needed for some people .,,
191,"If I am traveling by myself , I have time to select hotels and restaurants according my budget .",,
192,"Instead I can spend more money to visit other places or From what I have stated above , traveling individually allows people to easily change and adjust the travel plan instantly as they desire .",,
193,"Moreover , the cost of travel is less than that of traveling in a group .",,
194,The personal travel is the best way and more enjoyable .,,
195,It has been argued that it is better to gain wider knowledge of numerous academic subjects rather than to deeply research one specific subject .,wider;deeply,10;19
196,I disagree with this idea because specializing one particular subject brings several advantages for the following reasons .,,
197,"First , since technology is really advanced nowadays , professional , who have deep knowledge of one subject , are more required than generalists who have broader knowledge .",advanced;deep;broader,6;13;26
198,"For instance , my uncle works in Micro Soft .",,
199,"He told me that when he started working in the company , there were many employees who had vast general knowledges .",vast,18
200,"However , since computer technology has been developed dramatically , the company only hires specialists these days because more sophisticated programmers are essential in order to advance its technology .",advance,26
201,This tendency explains that it is better to focus on a specific subject than to have broad knowledge of wider subjects .,focus;broad;wider,8;16;19
202,"Second , as technology is sophisticated , specialized knowledge is mandatory to protect it as well .",protect,12
203,"For example , PC security and computer hackers are one of good example .",,
204,My uncle has been assigned in a computer security division in Micro Soft .,,
205,"There are 20 core members in his division , who all have PhD , including my uncle .",,
206,Hackers do like computers and they study computer programs very deeply .,deeply,10
207,"Thus , the security division must hire people who are very specialized to fight the hackers .",fight,13
208,This example also represents that it is better to gain a specialized knowledge than broader knowledge of many academic topics .,broader,14
209,"Lastly , specialized knowledge brings higher income .",,
210,"For instance , my uncle receives much higher salary than his long time friend who are a sales representative in Micro Soft .",,
211,His friend studied various subjects in his school age and actually regrets that he should have focused on a particular subject .,focused,16
212,"In summary , although some people insist that it is better to develop broad knowledge of many academic subjects than to focus on a particular subject , I disagree with this idea .",broad;focus,13;21
213,This is because the latest sophisticated technology requires specialists in a particular subject to develop and protect it .,protect,16
214,Specialized knowledge also brings higher incomes .,,
215,Many people are called specialists because they are specialized in one specific subject .,,
216,I think specialists are needed in the society to figure out solutions for many problems .,,
217,"However , I agree with the statement that it is better to hav broad knowledge of many academic subjects than to specialize in one specific subject .",broad,13
218,Only a few intelligent people can be specialists .,,
219,Specializing in one certain subject is very hard and requires much concentration on it and intelligence for it .,concentration,11
220,Ordinally people can not compete with such intelligent people who are very into it .,compete;into,4;12
221,"Also , they must be bored to do one thing continuously and forever .",,
222,Intelligent people can do the specialized work and solving problems for others too .,,
223,Knowing wide range of things helps socialize people .,wide,1
224,People can not communicate without common topics .,,
225,Broad knowledge gives people a lot of ideas of topic and enables communicate whoever show up .,Broad;gives,0;2
226,"For example , a couple of people are enjoying talking about English literatures .",,
227,"If one knows some about them , one can get in the conversation as well .",get,9
228,"On the other hand , if one has no idea with them , one can never find a way to communicate with them .",find;a;way,16;17;18
229,Knowledge of many academic subjects gives many choices to people .,gives,5
230,"If a person has knowledge of math , English , and laws , he or she can pick any one of them .",pick,17
231,"If a person specialized in one subject , he or she can not change his or her mind in the middle of the way .",middle;way,20;23
232,It is scary if a person realizes his or her interest is different from what he or she specialized in .,,
233,That is because she or he has no knowledge about anything else .,,
234,He or she needs go back to the very first stage of the other choice .,go;back;to;the;very;first;stage,4;5;6;7;8;9;10
235,"Overall , people need to have broad knowledge of many academic subjects than to specialize in one specific subject because intelligent can specialize one subject for other people , broad knowledge helps to communicate with other people , and people can get change their mind whenever they want .",broad;broad,6;29
236,"Learning has several ways , these ways are developing and improving with time , and with the technology now adays learning ways are changing to be better for the students sake .",,
237,"I agree that it is better for the student to understand ideas and concepts than to learn facts , because when the student understand idea or concept he will never forget it while if he learn it for the sake of the exam , for example , he will forget it faster .",,
238,"I n addition to that , understanding help the student in analyzing different situations , this will help his growing stages of his mind to grow in a healthier way , and he will be unique .",growing;stages;grow;healthier,19;20;25;28
239,"In my personal experience in the college , where i studied in one of the scientific shools , the school of pharmacy , it was more beneficial to do an experiment , see the result , and understand what happened , that was much better than learning it without seeing , and when i was asked about it in the exam i answered with confidence because i saw that and fully understand it before learning it .",,
240,"Now adays , the technology helped a lot the student to search for the information and hence learn it with understanding , the internet for example is on of the most important tools that has helped and still helping many students to search and understand , adding to that the visual media that it offers , because when the human see and hear he will be convinced more and he will not forget it easily .",tools,32
241,"So , according to my experience and my believe , i agree with the statement that understanding is more important than learning , and with the time i think that is the way that most of the educational institutions f",,
242,The pleasure of learning is abig part of the civilization .,,
243,To observe what you experience has everything to do with how you use what you have learned .,,
244,"Understanding concepts and ideas give a big opprtunity for caseation and creative people never consider the importance of facts because if we believe that everyting is a fact there wonothave a space to think and brith with new ideas I believe that what had happend in Art for example its built through different generations who represented different concepts in different society and if we look through the history of art starting from the early civilizations like in caveman work scratching on a stone till Video art , sculpture and computer art .",space;brith;built;look;through,33;37;52;66;67
245,"If we look to artists like Piccasso for example , i believe that what made him a brilliant artist was two things first of all was how he loved trying working with everything and also bing in a society that encourages the new ideas and it pushed him to be what he was .",look;pushed,2;46
246,and that atmosphere of experiments and flying away with new ideas that mainly creats everything new .,atmosphere;flying;away,2;6;7
247,"That what they encourage now in the very high standard art schools all over the world , you take few years leaning how to draw and paint and see muscles but the main pat in there plane to make good artists is to give a big space to think .",take;space,18;46
248,so if you see a great huge sculpture done by the ancient egyptians you have to think about it not to only enjoyed like whey the artist closed this stone color and why he supported the back with arectagler stone that will might lead to a new sculpture of yours using the same stone cold but with an abstract shape,lead,43
249,"I think that learning is an everyday process that is determined by people s attitudes , interests and experiences .",,
250,For this reason i think that a student can increase his knowledge throught different studying methods .,,
251,I think that it is very important for students to have a general knowledge of as many topics and possible .,,
252,"Analyzing general topics presented under the form of concept and ideas , it could be a good way to learn new things without having to study every detail of that particular topic .",,
253,This is the case of subjects related to the humanities .,,
254,It is not necessary to learn to exact year in which a particular theory has been developed .,,
255,"Simply knowing the period and the concept of a particular theory , it can be useful in every field .",,
256,When studying it is necessary to consider the topic analyzed .,,
257,In fact there are many subjects that can be explained by Professors using main ideas and concepts .,,
258,There is no need to go deeper exploring all the causes and effects .,deeper;exploring,6;7
259,In some courses the Professors only requires a general knowledge of a particular topic .,,
260,On the other hand there are subjects where learning facts is essential .,,
261,Some examples can be historic events .,,
262,Learning the facts is determining in order to increase the knowledge on the topic .,,
263,"Scientific disciplines are another example that underlining the importance of learning facts , more that general concept .",underlining,6
264,Think that when a scientist does an experiment he really need to know about facts .,,
265,"To conclude , i think that every subject needs to be treated differently , because i do not think that there is a general rule that determines if it is more important for students to learn from general ideas , than from facts .",,
266,Cars are one of the best inventions that ever been made eventhough it has many advantages and disadvantages like pollution and transporting faster on the other hand but People say that in twenty years there will be fewer cars than there are today well i definitely agree with this statment beacuse in twenty years the tecnology will be better that today .,,
267,The tecnology will rise and many other inventions will be made There will be cars but not anymore on dispel or petroleum .,rise,3
268,the cars will work on the battery or there will be a car that is made up from glass that wil trap the sunlight and store them for the car to move .,work;trap,3;21
269,there will also be people that drives airplane or maybe ships ...,,
270,even that now adays we have planes and ships but in twenty years planes and ships will be used as much as people use cars now ...,,
271,"before 20 years or maybe more than that , there was few cars , people used to transport with animals and only a few of them used to have cars , cars were expensive and that what will happen to the generation after twenty years ...",,
272,planes and ships will be less expensive than now .,,
273,also many new kinds of transportation and new ideas will be discovered ...,,
274,people may start living on the moon or on other planets so for sure they will be inventions to drive there or to transport ...,,
275,"Finally times moves fast and no one knows what will happen next but we know that many things are changing , technology is rising and ideas are comming up from many clever persons and i hope that i ll be one of them someday .",moves;fast;rising,2;3;23
276,To invent a new way of transportation that will make it easier and more useful than the cars so everyone will use without causing pollution and be comfortable with .,comfortable,27
277,"When I was younger , I was not good at mathematics .",,
278,Then my parents recommended me to go to a place where I can study for math more .,,
279,"According to the experience in my past , I strong ly agree with the statement that understanding ideas and concepts is more important than learning facts for students .",strong,9
280,The reasons why I think so are understanding ideas and concepts helps to memorize easily and it makes me be ready to solve more complicated problems .,,
281,"First of all , I can memorize the elements easier when I can understand ideas and concepts .",elements,8
282,understanding ideas and concepts means what I learn becomes my knowledge .,,
283,"For example , I went to a place to learn math when I was a child .",,
284,Then my instructor taught me how a formula was made .,,
285,Every formula has an original pattern .,,
286,So I just remember several basic formulas and then I can get different formulas by myself with the basic formulas .,basic;get;basic,5;11;18
287,Usually teachers recommend students to memorize every single formula as if they are all facts we have to learn .,,
288,"However , my instructor showed a process how formulas are made .",,
289,The behavior lead me to understand ideas and concepts of formula .,lead,2
290,"Therefore , understanding makes the amount of momerizing .",,
291,"Secondly , understanding ideas and concepts gives me more flexible comprehension when I have a more complicated problem .",gives;flexible,6;9
292,"For example , as math problems , there are different levels of problems .",,
293,"And for tough questions , sometimes I canotsolve tough question with basic ideas .",basic,13
294,"In that situation , it doesnotwork to learn facts because I need more creative and flexible solutions for the tough questions .",flexible,17
295,"At the time , as my instructor did for me , if I understand ideas and concepts of math , it will be much easier to creat new ways as solving the problems .",,
296,"As my conclusion , it is more important and actually more effective for students to understand ideas and concepts than to learn facts because students are required more creative thoughts .",,
297,Facts can not change anything because facts are already complete .,,
298,That s why it is a fact .,,
299,"However , understanding is",,
300,The world has changed drastically since the invention of cars .,,
301,They have made life a lot easier than it used to be .,,
302,"And even though their usage has raised certain environmental concerns , it is my belief that the number of cars used by people will actually increase over the next twenty years .",,
303,"First of all , it is an established fact that the world population is increasing .",,
304,"More and more people are populating the earth , and many of those people will need to buy a car at a certain point in their life .",,
305,"For example , parents who have just had a new baby might in twenty years , or even sooner , make the decision to buy their son or daughter a car if they can afford it .",,
306,"In addition to that , the prices of cars are no longer as high as they used to be ; one can find cars that fit almost anyone s budget .",fit,25
307,"Payment facilitations also play an important role , so that you can buy a car now and pay for it in monthly installments at competitive interest rates .",,
308,And let us not ignore the fact that there are people in the world that have a lot of money to spare and like to follow the latest trends .,follow,25
309,"So they tend to buy the latest Mercedes or BMW models , or even both !",,
310,"To sum up , there are many factors that might lead to an increase in the number of cars available for use by people .",lead,10
311,"Whether they are social factors having to do with the increasing number of people inhabiting this earth , or financial factors that have made it easier for middle class citizens to buy their own cars .",,
312,"But the question remains , what effect will that have on our environment ?",,
313,That should be our main concern .,,
314,I have always enjoyed traveling .,,
315,Every year I have the chance to come to the United States for three months by myself to improve my English language skills I have been doing this for more than five years now !,,
316,I guess I am very lucky ! .,,
317,"Since I have the chance to spend several hours a week at my friend s travel agency I noticed that most of the people prefer being led by a tour guide , I wonder if that is because they are afraid to get lost or not being able to enjoy their vacation at the best or because they are too lazy to organize their vacation by themselves .",spend,6
318,"But it also true that if you want to go on a cultural vacation you do need a tour guide who shows and describes you all the places , the monuments , the history of the place that you are visiting and all those beautiful things that every place in the world has to offer to the tourists .",offer,54
319,Plus if you go to a place where a foreign language is spoken you might not be able to enjoy the vacation because of that .,,
320,"Personally I think that , since I am a free spirit , I love organizing my trips by myself .",free;spirit,9;10
321,"I just like to wake up in the morning when I want to without worrying too much if my trip mates are already downstairs with the tourist guide , ready to go to explore the new places !",,
322,"But I also think that if you decide to go to a place where there is a little danger , having a tourist guide who tells you where you can or canotgo is really important for your safety .",,
323,I think that as long as I will have the chance to travel by myself I will keep doing that .,,
324,Maybe I will change my mind once I get older !,,
325,Who knows ...,,
326,I totally agree with the statement .,,
327,The company that want to advertise their product is making every effort to make it look better .,,
328,They have to make it look better than the product of the other companies to sell more .,,
329,"Otherwise , they will loose customers .",loose,4
330,"I agree with this effert to some point , but there shoud be a limit .",limit,14
331,"They can make it look better , but they should not make it look different , or say something different .",,
332,"For example , a frozen food company can advertise their frozen vegetable during the TV commercial by making look good with some special lightning , but they should not cheat on their vitamin that the vegetable contains .",cheat,29
333,Scientific aspect of the product must be true to the real data .,,
334,"Like this , there is a need for the testing group .",,
335,"Sometimes it is a non profitable organization , sometimes it is government , that do all the research if the company is not cheating in what it says .",cheating,23
336,"After I moved to Germany from Japan , I found an interesting aspect of Gemany .",,
337,There are a lot TV programs and magazines that make test and research to compare products .,,
338,"I have never seen such things in Japan , but I think it gives you a lot of information .",,
339,"It will be useful in a case like when you do not know which hand cream to buy , because all the advertisements make them all look good , the information gives you scientific data that help you to decide .",,
340,"A normal person , who has no scientific background , can never compare the ingredients of hand creams , but the testing programs or magazines do the comparison for you .",,
341,"Like that , you can decide on the product with a scientific base , and at the same time , you know how better the companies are making their product look good .",base,12
342,"Sometimes , the product with an advertisement that did not succeed in making the product look good is better than the others with advertisements that made them look much better than in reality .",,
343,Every community has many type of people .,,
344,"There are the children , yong people and old people .",,
345,each part of those is helping developing their community even if they dont rise that each of them has there way such as young people help there community by getting educated and have a job and forming a family .,part;developing;way;forming,1;6;20;36
346,"getting young people educated is something important for every person , but what does that do to the community ?",,
347,"when person get educated , he becomes more intelligent and more wise so he can do the right thing in the right time and gives him the effort to have a job to help the community to develop , he can graduate as an engineer and build better roads , or a doctor who can help nations to become healthy or a police man who protect the community to be a safer placeagain and so the yong person helped the community .",gives;develop,24;37
348,"Afterwards , these young people will get older and they will get married and they will have children and then they will teach their children how to be good person and help to develop the community and these children will grow up to be more helpful to their community In conclusion , every person is working on develop the community by getting educated and having a good job and forming a family .",develop;develop;forming,33;57;69
349,I disagree about the opinion that young people enjoy life more than older people .,,
350,"I think It is true that young people , like students , have much time for going out with their friends .",have,12
351,"But after their graduate school , their life style are going to be changed so suddenly especialy in Tokyo .",,
