token,tp_cases,fp_cases,tn_cases,fn_cases,total_cases,precision,recall,f1-score
growths,0,1,0,0,1,0.0,#Div0,#Div0
clever,0,1,0,0,1,0.0,#Div0,#Div0
gave,3,6,0,0,9,0.3333333333333333,1.0,0.5
send,1,0,0,0,1,1.0,1.0,1.0
alternative,0,3,0,0,3,0.0,#Div0,#Div0
Few,0,1,0,0,1,0.0,#Div0,#Div0
alot,0,13,0,0,13,0.0,#Div0,#Div0
outsiders,0,0,0,1,1,#Div0,0.0,#Div0
hav,0,1,0,0,1,0.0,#Div0,#Div0
refer,0,1,0,0,1,0.0,#Div0,#Div0
owing,0,1,0,0,1,0.0,#Div0,#Div0
enter,0,3,0,0,3,0.0,#Div0,#Div0
forecasted,1,0,0,0,1,1.0,1.0,1.0
ultimate,0,1,0,0,1,0.0,#Div0,#Div0
required,0,9,0,0,9,0.0,#Div0,#Div0
busy,0,1,0,2,3,0.0,0.0,#Div0
ride,0,0,2,0,2,#Div0,#Div0,#Div0
oun,0,1,0,0,1,0.0,#Div0,#Div0
mastered,0,1,0,0,1,0.0,#Div0,#Div0
secure,0,0,0,1,1,#Div0,0.0,#Div0
school,0,1,2,0,3,0.0,#Div0,#Div0
prepare,1,2,0,0,3,0.3333333333333333,1.0,0.5
light,0,0,0,2,2,#Div0,0.0,#Div0
therefore,0,2,0,0,2,0.0,#Div0,#Div0
intended,0,1,0,0,1,0.0,#Div0,#Div0
extract,0,0,0,1,1,#Div0,0.0,#Div0
method,0,1,3,0,4,0.0,#Div0,#Div0
decline,0,1,0,0,1,0.0,#Div0,#Div0
Enjoying,0,2,0,0,2,0.0,#Div0,#Div0
implies,0,2,0,0,2,0.0,#Div0,#Div0
criticisms,0,1,0,0,1,0.0,#Div0,#Div0
later,0,0,0,1,1,#Div0,0.0,#Div0
scarcity,0,1,0,0,1,0.0,#Div0,#Div0
prescribe,0,1,0,0,1,0.0,#Div0,#Div0
thay,0,1,0,0,1,0.0,#Div0,#Div0
middle,1,2,0,1,4,0.3333333333333333,0.5,0.4
uses,0,3,0,0,3,0.0,#Div0,#Div0
awful,0,1,0,0,1,0.0,#Div0,#Div0
earned,2,0,0,0,2,1.0,1.0,1.0
run,6,1,0,1,8,0.8571428571428571,0.8571428571428571,0.8571428571428571
approach,1,0,0,7,8,1.0,0.125,0.2222222222222222
loss,0,0,0,3,3,#Div0,0.0,#Div0
cities,0,3,0,0,3,0.0,#Div0,#Div0
losing,4,0,0,0,4,1.0,1.0,1.0
challanges,0,0,0,1,1,#Div0,0.0,#Div0
sends,1,0,0,0,1,1.0,1.0,1.0
routine,0,1,0,0,1,0.0,#Div0,#Div0
w,0,2,0,0,2,0.0,#Div0,#Div0
juice,0,0,1,0,1,#Div0,#Div0,#Div0
improvement,0,1,0,0,1,0.0,#Div0,#Div0
facilitations,0,1,0,0,1,0.0,#Div0,#Div0
containing,0,1,0,0,1,0.0,#Div0,#Div0
member,0,1,3,0,4,0.0,#Div0,#Div0
knowlege,0,1,0,0,1,0.0,#Div0,#Div0
age,1,1,0,0,2,0.5,1.0,0.6666666666666666
language,0,1,1,0,2,0.0,#Div0,#Div0
beeing,0,1,0,0,1,0.0,#Div0,#Div0
intense,1,0,0,0,1,1.0,1.0,1.0
choose,0,11,7,0,18,0.0,#Div0,#Div0
rate,0,1,2,0,3,0.0,#Div0,#Div0
sector,0,0,1,1,2,#Div0,0.0,#Div0
primary,0,4,0,0,4,0.0,#Div0,#Div0
struggling,1,0,0,0,1,1.0,1.0,1.0
appreciate,0,0,1,0,1,#Div0,#Div0,#Div0
involved,0,4,4,0,8,0.0,#Div0,#Div0
accept,0,2,2,0,4,0.0,#Div0,#Div0
jams,1,0,0,0,1,1.0,1.0,1.0
builds,2,0,0,0,2,1.0,1.0,1.0
nowadays,0,13,0,0,13,0.0,#Div0,#Div0
reliable,0,2,0,0,2,0.0,#Div0,#Div0
foreing,0,1,0,0,1,0.0,#Div0,#Div0
English,0,1,0,0,1,0.0,#Div0,#Div0
jordan,0,1,0,0,1,0.0,#Div0,#Div0
the,0,0,0,20,20,#Div0,0.0,#Div0
Let,0,1,0,0,1,0.0,#Div0,#Div0
it,0,0,0,1,1,#Div0,0.0,#Div0
rent,0,1,0,0,1,0.0,#Div0,#Div0
part-time,0,1,0,0,1,0.0,#Div0,#Div0
ethinic,0,1,0,0,1,0.0,#Div0,#Div0
Nightingale,0,1,0,0,1,0.0,#Div0,#Div0
defense,0,0,0,1,1,#Div0,0.0,#Div0
populating,0,1,0,0,1,0.0,#Div0,#Div0
dangerous,1,0,0,4,5,1.0,0.2,0.33333333333333337
solving,0,2,0,0,2,0.0,#Div0,#Div0
attack,0,0,2,0,2,#Div0,#Div0,#Div0
protect,1,1,0,2,4,0.5,0.3333333333333333,0.4
such,0,14,0,0,14,0.0,#Div0,#Div0
program,0,2,3,0,5,0.0,#Div0,#Div0
issues,0,0,1,0,1,#Div0,#Div0,#Div0
comparative,0,1,0,0,1,0.0,#Div0,#Div0
travel,0,33,0,0,33,0.0,#Div0,#Div0
abstract,0,2,0,0,2,0.0,#Div0,#Div0
focuses,3,0,0,0,3,1.0,1.0,1.0
neede,0,1,0,0,1,0.0,#Div0,#Div0
filled,1,0,0,0,1,1.0,1.0,1.0
pricy,0,1,0,0,1,0.0,#Div0,#Div0
gulf,0,1,0,0,1,0.0,#Div0,#Div0
ruining,1,0,0,0,1,1.0,1.0,1.0
interested,0,2,0,0,2,0.0,#Div0,#Div0
graduate,0,2,0,0,2,0.0,#Div0,#Div0
structure,2,0,0,0,2,1.0,1.0,1.0
devices,0,0,0,1,1,#Div0,0.0,#Div0
serving,0,1,0,0,1,0.0,#Div0,#Div0
creative,0,4,0,0,4,0.0,#Div0,#Div0
convincing,0,2,0,0,2,0.0,#Div0,#Div0
impression,0,2,0,1,3,0.0,0.0,#Div0
possibilities,0,2,0,0,2,0.0,#Div0,#Div0
agree,0,66,19,0,85,0.0,#Div0,#Div0
reject,0,0,0,1,1,#Div0,0.0,#Div0
agreed,0,1,1,0,2,0.0,#Div0,#Div0
agency,0,0,1,0,1,#Div0,#Div0,#Div0
advice,0,1,0,0,1,0.0,#Div0,#Div0
rubbed,0,2,0,0,2,0.0,#Div0,#Div0
activities,0,3,0,0,3,0.0,#Div0,#Div0
Meeting,0,1,0,0,1,0.0,#Div0,#Div0
tons,1,0,0,0,1,1.0,1.0,1.0
suffering,1,2,0,0,3,0.3333333333333333,1.0,0.5
practicing,0,2,0,0,2,0.0,#Div0,#Div0
won,0,2,0,0,2,0.0,#Div0,#Div0
trys,0,2,0,0,2,0.0,#Div0,#Div0
frighten,0,1,0,0,1,0.0,#Div0,#Div0
sustained,1,0,0,0,1,1.0,1.0,1.0
mass,0,1,0,0,1,0.0,#Div0,#Div0
purpose,0,5,0,0,5,0.0,#Div0,#Div0
intensity,0,0,0,1,1,#Div0,0.0,#Div0
values,0,1,0,0,1,0.0,#Div0,#Div0
arrange,0,1,0,0,1,0.0,#Div0,#Div0
phase,1,0,0,1,2,1.0,0.5,0.6666666666666666
cites,0,0,1,0,1,#Div0,#Div0,#Div0
commom,0,1,0,0,1,0.0,#Div0,#Div0
collage,0,0,0,1,1,#Div0,0.0,#Div0
pop,1,0,0,0,1,1.0,1.0,1.0
beautiful,0,5,0,0,5,0.0,#Div0,#Div0
expands,1,0,0,0,1,1.0,1.0,1.0
closed,1,1,0,0,2,0.5,1.0,0.6666666666666666
life,0,6,5,1,12,0.0,0.0,#Div0
neutral,1,0,0,0,1,1.0,1.0,1.0
imposible,0,1,0,0,1,0.0,#Div0,#Div0
major,0,7,0,0,7,0.0,#Div0,#Div0
immerse,1,0,0,0,1,1.0,1.0,1.0
lets,0,1,0,0,1,0.0,#Div0,#Div0
sixty,0,1,0,0,1,0.0,#Div0,#Div0
experiences,0,2,0,0,2,0.0,#Div0,#Div0
trade,0,1,0,0,1,0.0,#Div0,#Div0
flying,1,0,0,0,1,1.0,1.0,1.0
updated,0,1,0,0,1,0.0,#Div0,#Div0
shelter,0,1,0,0,1,0.0,#Div0,#Div0
between,0,0,0,2,2,#Div0,0.0,#Div0
reduces,0,0,0,1,1,#Div0,0.0,#Div0
succeed,0,10,0,0,10,0.0,#Div0,#Div0
typical,0,5,0,0,5,0.0,#Div0,#Div0
sticks,0,0,3,0,3,#Div0,#Div0,#Div0
romantic,0,1,0,0,1,0.0,#Div0,#Div0
faced,1,0,0,0,1,1.0,1.0,1.0
governments,0,1,0,0,1,0.0,#Div0,#Div0
analyze,0,0,3,0,3,#Div0,#Div0,#Div0
manner,0,1,0,0,1,0.0,#Div0,#Div0
first,2,24,0,0,26,0.07692307692307693,1.0,0.14285714285714288
expecting,0,1,0,0,1,0.0,#Div0,#Div0
improve,0,27,0,0,27,0.0,#Div0,#Div0
course,0,1,1,0,2,0.0,#Div0,#Div0
literatures,0,1,0,0,1,0.0,#Div0,#Div0
mine,0,2,0,0,2,0.0,#Div0,#Div0
caused,0,3,0,0,3,0.0,#Div0,#Div0
affect,0,4,0,0,4,0.0,#Div0,#Div0
woman,0,1,0,0,1,0.0,#Div0,#Div0
reading,0,5,0,0,5,0.0,#Div0,#Div0
safety,0,1,0,1,2,0.0,0.0,#Div0
reasoning,0,1,0,0,1,0.0,#Div0,#Div0
goods,0,1,0,0,1,0.0,#Div0,#Div0
amazing,0,1,0,0,1,0.0,#Div0,#Div0
spoken,0,1,0,0,1,0.0,#Div0,#Div0
technical,0,1,0,0,1,0.0,#Div0,#Div0
desires,0,1,0,0,1,0.0,#Div0,#Div0
tested,0,1,0,0,1,0.0,#Div0,#Div0
portable,0,1,0,0,1,0.0,#Div0,#Div0
add,2,1,0,2,5,0.6666666666666666,0.5,0.5714285714285715
list,0,1,0,0,1,0.0,#Div0,#Div0
going,3,41,0,0,44,0.06818181818181818,1.0,0.1276595744680851
found,0,14,5,2,21,0.0,0.0,#Div0
control,2,1,0,0,3,0.6666666666666666,1.0,0.8
city,0,1,0,0,1,0.0,#Div0,#Div0
catch,1,0,0,0,1,1.0,1.0,1.0
looked,0,2,0,0,2,0.0,#Div0,#Div0
removing,0,1,0,0,1,0.0,#Div0,#Div0
amounts,0,1,0,0,1,0.0,#Div0,#Div0
spaces,0,0,0,1,1,#Div0,0.0,#Div0
experiencing,0,2,0,0,2,0.0,#Div0,#Div0
Advancement,0,0,0,1,1,#Div0,0.0,#Div0
cutting-edge,0,0,0,1,1,#Div0,0.0,#Div0
beauty,0,2,0,0,2,0.0,#Div0,#Div0
through,0,0,0,4,4,#Div0,0.0,#Div0
pollute,0,1,0,0,1,0.0,#Div0,#Div0
under,0,0,0,1,1,#Div0,0.0,#Div0
native,0,1,0,0,1,0.0,#Div0,#Div0
developed,2,5,0,0,7,0.2857142857142857,1.0,0.4444444444444445
minding,0,1,0,0,1,0.0,#Div0,#Div0
flexibility,0,0,0,2,2,#Div0,0.0,#Div0
hectic,1,0,0,0,1,1.0,1.0,1.0
hassle,0,0,0,1,1,#Div0,0.0,#Div0
coordinating,0,0,0,2,2,#Div0,0.0,#Div0
habits,0,0,1,0,1,#Div0,#Div0,#Div0
challenge,1,1,0,0,2,0.5,1.0,0.6666666666666666
satisfied,0,1,0,0,1,0.0,#Div0,#Div0
wipe,0,1,0,0,1,0.0,#Div0,#Div0
deriving,2,0,0,0,2,1.0,1.0,1.0
enables,0,1,0,0,1,0.0,#Div0,#Div0
pass,1,1,0,0,2,0.5,1.0,0.6666666666666666
usefull,0,2,0,0,2,0.0,#Div0,#Div0
surface,0,0,1,1,2,#Div0,0.0,#Div0
benefits,0,1,0,0,1,0.0,#Div0,#Div0
link,0,1,0,0,1,0.0,#Div0,#Div0
i,0,45,0,0,45,0.0,#Div0,#Div0
attributed,0,1,0,0,1,0.0,#Div0,#Div0
max,0,0,0,1,1,#Div0,0.0,#Div0
colder,0,0,0,1,1,#Div0,0.0,#Div0
access,0,1,0,2,3,0.0,0.0,#Div0
shoes,0,1,0,0,1,0.0,#Div0,#Div0
limits,1,1,0,2,4,0.5,0.3333333333333333,0.4
connected,2,1,0,0,3,0.6666666666666666,1.0,0.8
subjects,0,8,0,0,8,0.0,#Div0,#Div0
services,0,1,1,0,2,0.0,#Div0,#Div0
connector,0,0,0,1,1,#Div0,0.0,#Div0
pepole,0,1,0,0,1,0.0,#Div0,#Div0
cooked,0,2,0,0,2,0.0,#Div0,#Div0
size,0,1,0,0,1,0.0,#Div0,#Div0
online,0,1,0,0,1,0.0,#Div0,#Div0
estimated,0,1,0,0,1,0.0,#Div0,#Div0
needs,0,12,0,0,12,0.0,#Div0,#Div0
explaining,0,2,0,0,2,0.0,#Div0,#Div0
variety,0,6,0,0,6,0.0,#Div0,#Div0
graphic,0,4,0,0,4,0.0,#Div0,#Div0
wonderfull,0,1,0,0,1,0.0,#Div0,#Div0
got,0,12,0,0,12,0.0,#Div0,#Div0
message,0,0,0,2,2,#Div0,0.0,#Div0
satisfaction,0,2,0,0,2,0.0,#Div0,#Div0
one,0,1,0,0,1,0.0,#Div0,#Div0
prized,0,0,0,1,1,#Div0,0.0,#Div0
wants,0,14,0,0,14,0.0,#Div0,#Div0
today,0,3,0,0,3,0.0,#Div0,#Div0
aobut,0,1,0,0,1,0.0,#Div0,#Div0
stronger,0,0,0,2,2,#Div0,0.0,#Div0
remembering,0,2,0,0,2,0.0,#Div0,#Div0
degree,0,2,1,0,3,0.0,#Div0,#Div0
environment-friendly,0,1,0,0,1,0.0,#Div0,#Div0
aging,0,2,0,0,2,0.0,#Div0,#Div0
Other,0,2,0,0,2,0.0,#Div0,#Div0
searching,0,3,0,0,3,0.0,#Div0,#Div0
inventing,0,1,0,0,1,0.0,#Div0,#Div0
big,5,27,0,0,32,0.15625,1.0,0.2702702702702703
attention,0,1,0,0,1,0.0,#Div0,#Div0
breakdown,0,0,0,1,1,#Div0,0.0,#Div0
specified,0,2,0,0,2,0.0,#Div0,#Div0
tongue,0,1,0,0,1,0.0,#Div0,#Div0
side-effects,0,1,0,0,1,0.0,#Div0,#Div0
scenes,0,1,0,0,1,0.0,#Div0,#Div0
quit,0,2,0,0,2,0.0,#Div0,#Div0
toshiba,0,3,0,0,3,0.0,#Div0,#Div0
contracted,0,1,0,0,1,0.0,#Div0,#Div0
acknowledged,0,1,0,0,1,0.0,#Div0,#Div0
type,0,2,15,0,17,0.0,#Div0,#Div0
view,1,1,0,5,7,0.5,0.16666666666666666,0.25
studies,0,3,0,0,3,0.0,#Div0,#Div0
remains,0,2,0,0,2,0.0,#Div0,#Div0
members,0,1,4,0,5,0.0,#Div0,#Div0
existed,0,2,0,0,2,0.0,#Div0,#Div0
product,0,2,0,0,2,0.0,#Div0,#Div0
connection,0,0,0,5,5,#Div0,0.0,#Div0
center,0,0,3,0,3,#Div0,#Div0,#Div0
Following,0,0,2,0,2,#Div0,#Div0,#Div0
succeeded,0,3,0,0,3,0.0,#Div0,#Div0
habbits,0,0,0,1,1,#Div0,0.0,#Div0
specialization,0,1,0,0,1,0.0,#Div0,#Div0
unusual,0,1,0,0,1,0.0,#Div0,#Div0
rapid,0,1,0,0,1,0.0,#Div0,#Div0
takes,5,5,0,1,11,0.5,0.8333333333333334,0.625
looking,0,10,0,0,10,0.0,#Div0,#Div0
opened,0,0,0,1,1,#Div0,0.0,#Div0
making,0,20,0,0,20,0.0,#Div0,#Div0
plannning,0,1,0,0,1,0.0,#Div0,#Div0
funny,0,1,0,0,1,0.0,#Div0,#Div0
problems,0,5,3,0,8,0.0,#Div0,#Div0
crucial,0,1,0,0,1,0.0,#Div0,#Div0
advantage,0,2,0,2,4,0.0,0.0,#Div0
quite,0,1,0,0,1,0.0,#Div0,#Div0
faster,0,1,0,0,1,0.0,#Div0,#Div0
conducted,0,1,0,0,1,0.0,#Div0,#Div0
develop,4,5,1,0,10,0.4444444444444444,1.0,0.6153846153846153
lapses,0,1,0,0,1,0.0,#Div0,#Div0
bond,0,0,0,1,1,#Div0,0.0,#Div0
supervise,0,1,0,0,1,0.0,#Div0,#Div0
interacting,0,2,0,0,2,0.0,#Div0,#Div0
responsible,0,2,0,0,2,0.0,#Div0,#Div0
visualize,1,0,0,1,2,1.0,0.5,0.6666666666666666
reality,0,1,0,0,1,0.0,#Div0,#Div0
laziness,0,1,0,0,1,0.0,#Div0,#Div0
Changing,0,0,1,0,1,#Div0,#Div0,#Div0
person,0,6,0,1,7,0.0,0.0,#Div0
involve,0,0,2,0,2,#Div0,#Div0,#Div0
function,0,2,0,0,2,0.0,#Div0,#Div0
drastic,0,1,0,0,1,0.0,#Div0,#Div0
inspired,0,1,0,0,1,0.0,#Div0,#Div0
explains,0,3,0,0,3,0.0,#Div0,#Div0
existence,0,1,0,0,1,0.0,#Div0,#Div0
burst,1,0,0,0,1,1.0,1.0,1.0
Direct,0,1,0,0,1,0.0,#Div0,#Div0
animal,0,1,0,0,1,0.0,#Div0,#Div0
defined,1,0,0,0,1,1.0,1.0,1.0
news,0,1,0,0,1,0.0,#Div0,#Div0
forms,0,0,1,0,1,#Div0,#Div0,#Div0
Sharing,0,1,0,0,1,0.0,#Div0,#Div0
marketed,0,2,0,0,2,0.0,#Div0,#Div0
preserving,1,0,0,0,1,1.0,1.0,1.0
wastful,0,0,0,1,1,#Div0,0.0,#Div0
flexible,2,0,0,0,2,1.0,1.0,1.0
encourage,0,3,0,0,3,0.0,#Div0,#Div0
genetic,0,1,0,0,1,0.0,#Div0,#Div0
sufficient,0,4,0,0,4,0.0,#Div0,#Div0
visit,0,16,0,0,16,0.0,#Div0,#Div0
job,0,1,0,0,1,0.0,#Div0,#Div0
strategics,0,1,0,0,1,0.0,#Div0,#Div0
attractivity,1,0,0,0,1,1.0,1.0,1.0
successfull,0,3,0,0,3,0.0,#Div0,#Div0
ll,0,5,0,0,5,0.0,#Div0,#Div0
vibrant,0,0,0,1,1,#Div0,0.0,#Div0
placing,0,2,0,0,2,0.0,#Div0,#Div0
south,0,1,0,0,1,0.0,#Div0,#Div0
experience,0,13,0,0,13,0.0,#Div0,#Div0
international,0,1,0,0,1,0.0,#Div0,#Div0
personality,0,4,0,0,4,0.0,#Div0,#Div0
twentieth,0,3,0,0,3,0.0,#Div0,#Div0
handicapped,0,1,0,0,1,0.0,#Div0,#Div0
caveman,0,1,0,0,1,0.0,#Div0,#Div0
dynamic,1,0,0,3,4,1.0,0.25,0.4
box,0,0,1,0,1,#Div0,#Div0,#Div0
Shoten,0,1,0,0,1,0.0,#Div0,#Div0
friends,0,2,0,0,2,0.0,#Div0,#Div0
task,0,0,0,1,1,#Div0,0.0,#Div0
supply,0,1,0,0,1,0.0,#Div0,#Div0
geographic,0,1,0,0,1,0.0,#Div0,#Div0
houses,0,0,1,0,1,#Div0,#Div0,#Div0
arrival,0,1,0,0,1,0.0,#Div0,#Div0
egyptians,0,1,0,0,1,0.0,#Div0,#Div0
crowd,0,0,0,1,1,#Div0,0.0,#Div0
boring,0,8,2,0,10,0.0,#Div0,#Div0
Thai,0,1,0,0,1,0.0,#Div0,#Div0
safe,1,1,0,1,3,0.5,0.5,0.5
occur,0,4,0,0,4,0.0,#Div0,#Div0
its,0,0,0,1,1,#Div0,0.0,#Div0
invest,1,2,0,0,3,0.3333333333333333,1.0,0.5
benefited,0,1,0,0,1,0.0,#Div0,#Div0
competing,2,0,0,0,2,1.0,1.0,1.0
fear,0,1,0,0,1,0.0,#Div0,#Div0
fundamental,1,0,0,0,1,1.0,1.0,1.0
mentioned,0,13,0,0,13,0.0,#Div0,#Div0
improvment,0,0,0,1,1,#Div0,0.0,#Div0
compromise,0,1,0,0,1,0.0,#Div0,#Div0
actor,1,0,0,0,1,1.0,1.0,1.0
believe,0,64,0,0,64,0.0,#Div0,#Div0
shopping,0,5,0,0,5,0.0,#Div0,#Div0
allows,0,6,1,0,7,0.0,#Div0,#Div0
promote,1,3,0,0,4,0.25,1.0,0.4
refocus,1,0,0,0,1,1.0,1.0,1.0
schools,0,0,1,0,1,#Div0,#Div0,#Div0
lie,0,1,0,0,1,0.0,#Div0,#Div0
releasing,0,1,0,0,1,0.0,#Div0,#Div0
began,0,3,0,0,3,0.0,#Div0,#Div0
withdraw,0,1,0,0,1,0.0,#Div0,#Div0
carries,1,0,0,0,1,1.0,1.0,1.0
frequent,0,1,0,0,1,0.0,#Div0,#Div0
correction,0,0,0,2,2,#Div0,0.0,#Div0
youg,0,1,0,0,1,0.0,#Div0,#Div0
economy,0,2,0,0,2,0.0,#Div0,#Div0
important,0,36,0,0,36,0.0,#Div0,#Div0
weare,0,1,0,0,1,0.0,#Div0,#Div0
commit,0,1,0,0,1,0.0,#Div0,#Div0
playing,2,5,0,0,7,0.2857142857142857,1.0,0.4444444444444445
pill,0,1,0,0,1,0.0,#Div0,#Div0
choise,0,1,0,0,1,0.0,#Div0,#Div0
wast,1,0,0,1,2,1.0,0.5,0.6666666666666666
d,0,3,2,0,5,0.0,#Div0,#Div0
memorizing,0,7,0,0,7,0.0,#Div0,#Div0
supported,6,1,0,0,7,0.8571428571428571,1.0,0.923076923076923
European,0,3,0,0,3,0.0,#Div0,#Div0
tough,0,2,0,1,3,0.0,0.0,#Div0
responsibilties,0,1,0,0,1,0.0,#Div0,#Div0
