token,tp_cases,fp_cases,tn_cases,fn_cases,total_cases,precision,recall,f1-score
burden,1,6,0,5,12,0.14285714285714285,0.16666666666666666,0.15384615384615383
identify,0,2,0,0,2,0.0,#Div0,#Div0
disrupt,0,1,0,0,1,0.0,#Div0,#Div0
unnecessary,0,1,0,0,1,0.0,#Div0,#Div0
due,0,0,1,0,1,#Div0,#Div0,#Div0
epidemic,0,1,0,0,1,0.0,#Div0,#Div0
mountain,0,0,0,17,17,#Div0,0.0,#Div0
grow,0,16,0,0,16,0.0,#Div0,#Div0
horrendous,0,2,0,0,2,0.0,#Div0,#Div0
sole,0,0,1,0,1,#Div0,#Div0,#Div0
extracts,0,0,0,1,1,#Div0,0.0,#Div0
illustrate,0,1,0,0,1,0.0,#Div0,#Div0
principal,0,0,3,0,3,#Div0,#Div0,#Div0
travel,0,1,0,0,1,0.0,#Div0,#Div0
accuse,0,7,3,0,10,0.0,#Div0,#Div0
employed,0,0,0,1,1,#Div0,0.0,#Div0
handgun,0,1,0,0,1,0.0,#Div0,#Div0
featured,0,1,0,0,1,0.0,#Div0,#Div0
maim,0,1,0,0,1,0.0,#Div0,#Div0
bestow,0,2,0,0,2,0.0,#Div0,#Div0
resisting,0,0,0,2,2,#Div0,0.0,#Div0
coveted,0,1,0,0,1,0.0,#Div0,#Div0
arthritic,2,0,0,0,2,1.0,1.0,1.0
regressive,0,2,0,0,2,0.0,#Div0,#Div0
system,0,0,0,7,7,#Div0,0.0,#Div0
balanced,0,0,1,0,1,#Div0,#Div0,#Div0
accommodate,0,1,0,0,1,0.0,#Div0,#Div0
twentieth,0,1,0,0,1,0.0,#Div0,#Div0
advocate,0,3,0,0,3,0.0,#Div0,#Div0
Life,0,1,0,0,1,0.0,#Div0,#Div0
attacks,0,0,0,5,5,#Div0,0.0,#Div0
Kill,0,0,0,1,1,#Div0,0.0,#Div0
capture,1,2,0,0,3,0.3333333333333333,1.0,0.5
best-known,0,1,0,0,1,0.0,#Div0,#Div0
parallel,0,1,0,0,1,0.0,#Div0,#Div0
main,0,0,2,0,2,#Div0,#Div0,#Div0
neocon,0,1,0,0,1,0.0,#Div0,#Div0
racial,0,0,1,0,1,#Div0,#Div0,#Div0
medicinal,0,1,0,0,1,0.0,#Div0,#Div0
purchase,2,0,0,0,2,1.0,1.0,1.0
nationalized,0,1,0,0,1,0.0,#Div0,#Div0
exemplify,0,2,0,0,2,0.0,#Div0,#Div0
lesbian,0,1,0,0,1,0.0,#Div0,#Div0
renal,0,1,0,0,1,0.0,#Div0,#Div0
wing,0,4,0,0,4,0.0,#Div0,#Div0
progressive,0,4,0,0,4,0.0,#Div0,#Div0
fourth,0,1,0,0,1,0.0,#Div0,#Div0
double,0,1,4,0,5,0.0,#Div0,#Div0
investigate,0,1,0,0,1,0.0,#Div0,#Div0
Democratic,0,8,2,0,10,0.0,#Div0,#Div0
blind,0,2,0,0,2,0.0,#Div0,#Div0
increased,0,0,1,4,5,#Div0,0.0,#Div0
read,0,4,0,0,4,0.0,#Div0,#Div0
important,0,1,8,0,9,0.0,#Div0,#Div0
alleviation,0,0,0,5,5,#Div0,0.0,#Div0
haven,1,0,0,3,4,1.0,0.25,0.4
strive,0,1,0,0,1,0.0,#Div0,#Div0
circulate,0,4,0,0,4,0.0,#Div0,#Div0
lose,0,15,0,0,15,0.0,#Div0,#Div0
statewide,0,3,0,0,3,0.0,#Div0,#Div0
wars,0,0,0,1,1,#Div0,0.0,#Div0
attach,0,4,0,0,4,0.0,#Div0,#Div0
understand,0,5,0,0,5,0.0,#Div0,#Div0
tribute,0,1,0,0,1,0.0,#Div0,#Div0
unauthorized,0,1,0,0,1,0.0,#Div0,#Div0
funnel,0,3,0,0,3,0.0,#Div0,#Div0
lull,0,1,0,0,1,0.0,#Div0,#Div0
Posted,0,4,0,0,4,0.0,#Div0,#Div0
tight,0,0,1,0,1,#Div0,#Div0,#Div0
supporter,0,0,0,1,1,#Div0,0.0,#Div0
crucial,0,0,3,0,3,#Div0,#Div0,#Div0
bilateral,0,1,0,0,1,0.0,#Div0,#Div0
mention,0,6,0,0,6,0.0,#Div0,#Div0
southern,0,1,0,0,1,0.0,#Div0,#Div0
claws,0,0,0,1,1,#Div0,0.0,#Div0
wealthy,0,3,0,0,3,0.0,#Div0,#Div0
Fighting,5,0,0,0,5,1.0,1.0,1.0
brave,0,1,0,0,1,0.0,#Div0,#Div0
select,0,1,0,0,1,0.0,#Div0,#Div0
widen,0,1,0,0,1,0.0,#Div0,#Div0
diminish,2,3,0,0,5,0.4,1.0,0.5714285714285715
myth,0,0,0,3,3,#Div0,0.0,#Div0
uncertain,0,1,0,0,1,0.0,#Div0,#Div0
Freeing,0,1,0,0,1,0.0,#Div0,#Div0
stupid,0,2,0,0,2,0.0,#Div0,#Div0
threaten,1,9,0,0,10,0.1,1.0,0.18181818181818182
firearms,0,1,0,0,1,0.0,#Div0,#Div0
prohibit,0,1,0,0,1,0.0,#Div0,#Div0
modest,0,1,0,0,1,0.0,#Div0,#Div0
escape,0,2,0,2,4,0.0,0.0,#Div0
TAGS,0,1,0,0,1,0.0,#Div0,#Div0
disappear,0,1,0,0,1,0.0,#Div0,#Div0
everyday,0,2,0,0,2,0.0,#Div0,#Div0
elected,0,1,0,0,1,0.0,#Div0,#Div0
Having,0,1,1,0,2,0.0,#Div0,#Div0
nut,0,2,0,0,2,0.0,#Div0,#Div0
low-income,0,1,0,0,1,0.0,#Div0,#Div0
worships,0,0,0,3,3,#Div0,0.0,#Div0
high-handed,0,1,0,0,1,0.0,#Div0,#Div0
destroying,0,0,0,6,6,#Div0,0.0,#Div0
mannerbased,0,1,0,0,1,0.0,#Div0,#Div0
intelligent,0,2,0,0,2,0.0,#Div0,#Div0
low,0,3,0,0,3,0.0,#Div0,#Div0
emerge,0,2,0,0,2,0.0,#Div0,#Div0
ensure,0,5,0,0,5,0.0,#Div0,#Div0
illuminate,0,4,0,0,4,0.0,#Div0,#Div0
boast,0,1,0,0,1,0.0,#Div0,#Div0
partake,0,1,0,0,1,0.0,#Div0,#Div0
strain,0,1,0,0,1,0.0,#Div0,#Div0
apex,0,0,0,5,5,#Div0,0.0,#Div0
eroding,0,0,0,1,1,#Div0,0.0,#Div0
ongoing,0,0,1,0,1,#Div0,#Div0,#Div0
corrupts,0,0,0,2,2,#Div0,0.0,#Div0
extremist,0,1,0,0,1,0.0,#Div0,#Div0
prime,0,1,0,0,1,0.0,#Div0,#Div0
cause,0,13,0,0,13,0.0,#Div0,#Div0
foundation,0,0,0,2,2,#Div0,0.0,#Div0
control,0,8,0,0,8,0.0,#Div0,#Div0
rough,0,1,0,0,1,0.0,#Div0,#Div0
illegal,0,3,3,0,6,0.0,#Div0,#Div0
rockets,0,0,0,3,3,#Div0,0.0,#Div0
perch,0,1,0,0,1,0.0,#Div0,#Div0
afford,0,1,2,0,3,0.0,#Div0,#Div0
walk,0,4,0,0,4,0.0,#Div0,#Div0
eliminate,0,4,0,0,4,0.0,#Div0,#Div0
additional,0,5,0,0,5,0.0,#Div0,#Div0
shooting,0,1,0,0,1,0.0,#Div0,#Div0
harbors,0,0,0,1,1,#Div0,0.0,#Div0
pose,0,1,0,0,1,0.0,#Div0,#Div0
battle,0,3,0,22,25,0.0,0.0,#Div0
operate,0,6,0,0,6,0.0,#Div0,#Div0
moderate-income,0,1,0,0,1,0.0,#Div0,#Div0
humanitarian,0,0,1,0,1,#Div0,#Div0,#Div0
human,0,1,15,0,16,0.0,#Div0,#Div0
better,0,2,0,0,2,0.0,#Div0,#Div0
greedy,0,0,0,1,1,#Div0,0.0,#Div0
unelected,0,1,0,0,1,0.0,#Div0,#Div0
slam,0,1,0,0,1,0.0,#Div0,#Div0
include,0,21,0,0,21,0.0,#Div0,#Div0
engage,0,3,0,0,3,0.0,#Div0,#Div0
fill,0,3,0,0,3,0.0,#Div0,#Div0
outspoken,0,1,0,0,1,0.0,#Div0,#Div0
Run-related,0,1,0,0,1,0.0,#Div0,#Div0
republican,0,1,0,0,1,0.0,#Div0,#Div0
community,0,0,0,3,3,#Div0,0.0,#Div0
escalation,0,0,0,2,2,#Div0,0.0,#Div0
abide,0,3,1,0,4,0.0,#Div0,#Div0
suppose,0,3,0,0,3,0.0,#Div0,#Div0
fuel,0,2,0,0,2,0.0,#Div0,#Div0
most,0,1,0,0,1,0.0,#Div0,#Div0
idols,0,0,0,2,2,#Div0,0.0,#Div0
socialized,0,1,0,0,1,0.0,#Div0,#Div0
jumble,0,1,0,0,1,0.0,#Div0,#Div0
limitless,0,1,0,0,1,0.0,#Div0,#Div0
card,0,0,0,3,3,#Div0,0.0,#Div0
lucky,0,1,0,0,1,0.0,#Div0,#Div0
civic,0,0,1,0,1,#Div0,#Div0,#Div0
sovereign,0,1,0,0,1,0.0,#Div0,#Div0
swing,0,1,0,0,1,0.0,#Div0,#Div0
primary,0,0,6,0,6,#Div0,#Div0,#Div0
combine,0,1,0,0,1,0.0,#Div0,#Div0
lifelong,0,1,0,0,1,0.0,#Div0,#Div0
Heinous,0,1,0,0,1,0.0,#Div0,#Div0
overjoy,0,1,0,0,1,0.0,#Div0,#Div0
care,0,6,0,0,6,0.0,#Div0,#Div0
bulwark,0,0,0,4,4,#Div0,0.0,#Div0
push,0,6,0,0,6,0.0,#Div0,#Div0
wave,0,4,0,1,5,0.0,0.0,#Div0
government-induced,0,1,0,0,1,0.0,#Div0,#Div0
giant,0,1,0,0,1,0.0,#Div0,#Div0
artful,0,1,0,0,1,0.0,#Div0,#Div0
boil,0,1,0,0,1,0.0,#Div0,#Div0
manipulate,1,1,0,0,2,0.5,1.0,0.6666666666666666
Recalled,0,1,0,0,1,0.0,#Div0,#Div0
six-shot,0,3,0,0,3,0.0,#Div0,#Div0
intrinsic,0,1,0,0,1,0.0,#Div0,#Div0
futile,0,1,0,0,1,0.0,#Div0,#Div0
release,0,1,0,0,1,0.0,#Div0,#Div0
technical,0,0,2,0,2,#Div0,#Div0,#Div0
unfortunate,0,1,0,0,1,0.0,#Div0,#Div0
extort,0,3,0,0,3,0.0,#Div0,#Div0
tragedy,0,0,0,1,1,#Div0,0.0,#Div0
love,0,1,0,0,1,0.0,#Div0,#Div0
overall,0,1,2,0,3,0.0,#Div0,#Div0
figure,0,2,0,0,2,0.0,#Div0,#Div0
amend,0,1,0,0,1,0.0,#Div0,#Div0
absolutist,0,1,0,0,1,0.0,#Div0,#Div0
perceive,0,2,0,0,2,0.0,#Div0,#Div0
destroys,0,0,0,11,11,#Div0,0.0,#Div0
cures,0,0,0,11,11,#Div0,0.0,#Div0
potential,0,1,1,0,2,0.0,#Div0,#Div0
strategic,0,0,2,0,2,#Div0,#Div0,#Div0
wrap,0,4,0,0,4,0.0,#Div0,#Div0
possible,0,0,3,0,3,#Div0,#Div0,#Div0
significant,0,0,3,0,3,#Div0,#Div0,#Div0
moderate,0,1,1,0,2,0.0,#Div0,#Div0
beautiful,0,1,0,0,1,0.0,#Div0,#Div0
inhibit,1,0,0,0,1,1.0,1.0,1.0
depict,0,1,0,0,1,0.0,#Div0,#Div0
found,0,4,0,0,4,0.0,#Div0,#Div0
dramatic,0,0,4,0,4,#Div0,#Div0,#Div0
governmental,0,0,1,0,1,#Div0,#Div0,#Div0
wonder,0,4,0,0,4,0.0,#Div0,#Div0
walls,0,0,0,1,1,#Div0,0.0,#Div0
shit,0,1,0,0,1,0.0,#Div0,#Div0
disaster,0,0,0,2,2,#Div0,0.0,#Div0
dispel,0,1,0,0,1,0.0,#Div0,#Div0
local,0,7,10,0,17,0.0,#Div0,#Div0
unknown,0,1,0,0,1,0.0,#Div0,#Div0
oppressive,2,0,0,0,2,1.0,1.0,1.0
believe,0,34,0,0,34,0.0,#Div0,#Div0
Bolivian,0,1,0,0,1,0.0,#Div0,#Div0
fearsome,0,1,0,0,1,0.0,#Div0,#Div0
plausiblethen,0,1,0,0,1,0.0,#Div0,#Div0
frown,0,1,0,0,1,0.0,#Div0,#Div0
generous,0,0,2,0,2,#Div0,#Div0,#Div0
swallow,0,2,0,0,2,0.0,#Div0,#Div0
necessary,0,0,4,0,4,#Div0,#Div0,#Div0
James-type,0,1,0,0,1,0.0,#Div0,#Div0
win,5,19,0,6,30,0.20833333333333334,0.45454545454545453,0.28571428571428575
compel,0,0,1,0,1,#Div0,#Div0,#Div0
shiver,0,1,0,0,1,0.0,#Div0,#Div0
penetrate,0,1,0,0,1,0.0,#Div0,#Div0
intravenous,0,1,0,0,1,0.0,#Div0,#Div0
less,0,1,0,0,1,0.0,#Div0,#Div0
close,0,1,0,0,1,0.0,#Div0,#Div0
river,0,0,0,2,2,#Div0,0.0,#Div0
stick,0,3,0,0,3,0.0,#Div0,#Div0
sign,0,1,0,0,1,0.0,#Div0,#Div0
domination,0,0,0,3,3,#Div0,0.0,#Div0
express,0,6,0,0,6,0.0,#Div0,#Div0
fledgeling,0,1,0,0,1,0.0,#Div0,#Div0
divide,0,4,0,0,4,0.0,#Div0,#Div0
commission,0,1,0,0,1,0.0,#Div0,#Div0
Excellent,0,1,0,0,1,0.0,#Div0,#Div0
relate,0,4,0,0,4,0.0,#Div0,#Div0
aggressive,0,1,0,0,1,0.0,#Div0,#Div0
scheme,0,3,0,0,3,0.0,#Div0,#Div0
force,0,4,0,0,4,0.0,#Div0,#Div0
safer,0,1,0,0,1,0.0,#Div0,#Div0
commence,0,1,0,0,1,0.0,#Div0,#Div0
skew,0,1,0,0,1,0.0,#Div0,#Div0
preclude,0,1,0,0,1,0.0,#Div0,#Div0
revolution,0,0,0,2,2,#Div0,0.0,#Div0
increases,0,0,0,1,1,#Div0,0.0,#Div0
Being,0,0,1,0,1,#Div0,#Div0,#Div0
thank,0,1,0,0,1,0.0,#Div0,#Div0
perverse,0,1,0,0,1,0.0,#Div0,#Div0
created,0,0,0,2,2,#Div0,0.0,#Div0
trendsetting,0,1,0,0,1,0.0,#Div0,#Div0
launch,0,2,0,0,2,0.0,#Div0,#Div0
astound,0,1,0,0,1,0.0,#Div0,#Div0
avoid,0,2,0,0,2,0.0,#Div0,#Div0
likely,0,1,2,0,3,0.0,#Div0,#Div0
stumble,0,1,0,0,1,0.0,#Div0,#Div0
teen,0,1,0,0,1,0.0,#Div0,#Div0
attempt,0,1,0,0,1,0.0,#Div0,#Div0
few,0,9,0,0,9,0.0,#Div0,#Div0
reach,0,6,0,0,6,0.0,#Div0,#Div0
yearlong,0,1,0,0,1,0.0,#Div0,#Div0
blaze,0,2,0,0,2,0.0,#Div0,#Div0
lost,0,0,0,3,3,#Div0,0.0,#Div0
Big,0,3,0,0,3,0.0,#Div0,#Div0
second,0,7,0,0,7,0.0,#Div0,#Div0
tap,0,1,0,0,1,0.0,#Div0,#Div0
political,0,5,30,0,35,0.0,#Div0,#Div0
developing,0,2,0,0,2,0.0,#Div0,#Div0
pro,0,8,0,0,8,0.0,#Div0,#Div0
Colorado-based,0,2,0,0,2,0.0,#Div0,#Div0
wear,0,1,0,0,1,0.0,#Div0,#Div0
catch,0,4,0,0,4,0.0,#Div0,#Div0
discover,0,3,0,0,3,0.0,#Div0,#Div0
weak,0,1,0,0,1,0.0,#Div0,#Div0
expect,0,7,0,0,7,0.0,#Div0,#Div0
disposable,0,2,0,0,2,0.0,#Div0,#Div0
deter,0,2,0,0,2,0.0,#Div0,#Div0
courageous,0,1,0,0,1,0.0,#Div0,#Div0
retail,0,0,2,0,2,#Div0,#Div0,#Div0
organise,0,4,0,0,4,0.0,#Div0,#Div0
divine,0,0,0,2,2,#Div0,0.0,#Div0
Democrat-controlled,0,1,0,0,1,0.0,#Div0,#Div0
maims,0,0,0,1,1,#Div0,0.0,#Div0
shut,0,4,0,0,4,0.0,#Div0,#Div0
contact,0,1,0,0,1,0.0,#Div0,#Div0
et,0,1,0,0,1,0.0,#Div0,#Div0
ultimate,0,2,4,0,6,0.0,#Div0,#Div0
ball,0,0,0,1,1,#Div0,0.0,#Div0
generate,4,12,0,1,17,0.25,0.8,0.38095238095238093
report,0,3,0,0,3,0.0,#Div0,#Div0
propagates,0,0,0,2,2,#Div0,0.0,#Div0
Surrender,1,0,0,0,1,1.0,1.0,1.0
collapse,0,0,0,7,7,#Div0,0.0,#Div0
rounding up,0,0,0,1,1,#Div0,0.0,#Div0
teach,0,4,0,0,4,0.0,#Div0,#Div0
steals,1,0,0,6,7,1.0,0.14285714285714285,0.25
defender,0,0,0,1,1,#Div0,0.0,#Div0
faith,0,1,0,0,1,0.0,#Div0,#Div0
seamless,0,1,0,0,1,0.0,#Div0,#Div0
damage,2,0,0,3,5,1.0,0.4,0.5714285714285715
fiscal,0,5,0,0,5,0.0,#Div0,#Div0
straight,0,0,1,0,1,#Div0,#Div0,#Div0
protected,0,0,0,3,3,#Div0,0.0,#Div0
non-violent,0,2,0,0,2,0.0,#Div0,#Div0
Have,0,1,0,0,1,0.0,#Div0,#Div0
substantial,0,0,1,0,1,#Div0,#Div0,#Div0
deepens,0,0,0,1,1,#Div0,0.0,#Div0
performative,0,1,0,0,1,0.0,#Div0,#Div0
present,0,4,0,0,4,0.0,#Div0,#Div0
think,0,48,0,0,48,0.0,#Div0,#Div0
arbitrary,0,1,0,0,1,0.0,#Div0,#Div0
Let,0,3,3,0,6,0.0,#Div0,#Div0
irresponsible,0,1,0,0,1,0.0,#Div0,#Div0
*,0,3,0,0,3,0.0,#Div0,#Div0
Swedish,0,1,0,0,1,0.0,#Div0,#Div0
Poisoned,0,1,0,0,1,0.0,#Div0,#Div0
support,2,27,0,0,29,0.06896551724137931,1.0,0.12903225806451613
outlaw,0,1,0,0,1,0.0,#Div0,#Div0
slat,0,1,0,0,1,0.0,#Div0,#Div0
favorite,0,0,1,0,1,#Div0,#Div0,#Div0
look,0,18,0,0,18,0.0,#Div0,#Div0
apple-red,0,1,0,0,1,0.0,#Div0,#Div0
taught,0,3,0,0,3,0.0,#Div0,#Div0
fell,1,2,0,0,3,0.3333333333333333,1.0,0.5
unprovoked,0,1,0,0,1,0.0,#Div0,#Div0
persist,0,1,0,0,1,0.0,#Div0,#Div0
domesticated,0,0,0,1,1,#Div0,0.0,#Div0
unwavering,0,1,0,0,1,0.0,#Div0,#Div0
lighten,0,1,0,0,1,0.0,#Div0,#Div0
heat,0,0,0,1,1,#Div0,0.0,#Div0
engender,0,2,0,0,2,0.0,#Div0,#Div0
obtain,0,2,0,0,2,0.0,#Div0,#Div0
decreases,0,0,0,1,1,#Div0,0.0,#Div0
've,0,19,0,0,19,0.0,#Div0,#Div0
sweeping,0,2,0,0,2,0.0,#Div0,#Div0
real,0,2,21,0,23,0.0,#Div0,#Div0
tramp,0,1,0,0,1,0.0,#Div0,#Div0
market,0,2,0,0,2,0.0,#Div0,#Div0
restore,0,4,0,0,4,0.0,#Div0,#Div0
Kills,0,0,0,2,2,#Div0,0.0,#Div0
oppression,0,0,0,1,1,#Div0,0.0,#Div0
catastrophic,0,1,0,0,1,0.0,#Div0,#Div0
defeat,13,7,0,2,22,0.65,0.8666666666666667,0.7428571428571429
Try,0,1,0,0,1,0.0,#Div0,#Div0
slave,0,3,0,0,3,0.0,#Div0,#Div0
lead,0,18,0,0,18,0.0,#Div0,#Div0
third,0,1,0,0,1,0.0,#Div0,#Div0
carnal,0,1,0,0,1,0.0,#Div0,#Div0
jeopardizes,0,0,0,1,1,#Div0,0.0,#Div0
remind,0,1,0,0,1,0.0,#Div0,#Div0
kindle,0,1,0,0,1,0.0,#Div0,#Div0
Strengthening,1,0,0,0,1,1.0,1.0,1.0
degradation,0,0,0,1,1,#Div0,0.0,#Div0
NOT,0,1,0,0,1,0.0,#Div0,#Div0
over-charging,0,1,0,0,1,0.0,#Div0,#Div0
sad,0,0,3,0,3,#Div0,#Div0,#Div0
expected,0,0,1,0,1,#Div0,#Div0,#Div0
scapegoat,0,0,0,1,1,#Div0,0.0,#Div0
unearth,0,1,0,0,1,0.0,#Div0,#Div0
join,0,7,0,0,7,0.0,#Div0,#Div0
6-,0,1,0,0,1,0.0,#Div0,#Div0
distill,3,0,0,0,3,1.0,1.0,1.0
tackle,3,4,0,0,7,0.42857142857142855,1.0,0.6
shape,3,2,0,0,5,0.6,1.0,0.7499999999999999
sporadic,0,1,0,0,1,0.0,#Div0,#Div0
average,0,0,1,0,1,#Div0,#Div0,#Div0
collateral damage,0,0,0,2,2,#Div0,0.0,#Div0
foresee,0,1,0,0,1,0.0,#Div0,#Div0
destructive,1,0,0,1,2,1.0,0.5,0.6666666666666666
anti-affirmative,0,1,0,0,1,0.0,#Div0,#Div0
wall,0,0,0,1,1,#Div0,0.0,#Div0
dethrone,0,2,0,0,2,0.0,#Div0,#Div0
value,0,2,0,0,2,0.0,#Div0,#Div0
opposes,0,0,0,1,1,#Div0,0.0,#Div0
underhand,0,1,0,0,1,0.0,#Div0,#Div0
praise,0,2,0,1,3,0.0,0.0,#Div0
**,0,1,0,0,1,0.0,#Div0,#Div0
acquire,0,0,2,0,2,#Div0,#Div0,#Div0
horrible,0,3,0,0,3,0.0,#Div0,#Div0
Slave,0,0,0,1,1,#Div0,0.0,#Div0
Asian,0,0,2,0,2,#Div0,#Div0,#Div0
Jewish,0,0,1,0,1,#Div0,#Div0,#Div0
even,0,1,0,0,1,0.0,#Div0,#Div0
pour,0,1,0,0,1,0.0,#Div0,#Div0
pave,0,1,0,0,1,0.0,#Div0,#Div0
bake,0,1,0,0,1,0.0,#Div0,#Div0
invisible,0,2,0,0,2,0.0,#Div0,#Div0
