token,tp_cases,fp_cases,fn_cases,total_cases,precision,recall,f1-score
fill,1,2,1,5,0.3333333333333333,0.5,0.4
made,0,0,1,1,#Div0,0.0,#Div0
neede,0,1,0,2,0.0,#Div0,#Div0
nightmare,0,0,1,1,#Div0,0.0,#Div0
directed,0,0,2,2,#Div0,0.0,#Div0
entering,0,0,2,2,#Div0,0.0,#Div0
Such,0,2,0,4,0.0,#Div0,#Div0
biased,0,1,0,2,0.0,#Div0,#Div0
whats,0,1,0,2,0.0,#Div0,#Div0
genuine,0,0,0,1,#Div0,#Div0,#Div0
enemys,0,0,1,1,#Div0,0.0,#Div0
shed,1,0,1,2,1.0,0.5,0.6666666666666666
wide,4,0,16,20,1.0,0.2,0.33333333333333337
doesnotknow,0,2,0,4,0.0,#Div0,#Div0
agree,0,65,0,149,0.0,#Div0,#Div0
canotappreciate,0,1,0,2,0.0,#Div0,#Div0
definite,0,1,0,2,0.0,#Div0,#Div0
daily,0,5,0,10,0.0,#Div0,#Div0
little,1,16,2,35,0.058823529411764705,0.3333333333333333,0.1
enforce,0,1,0,2,0.0,#Div0,#Div0
psychological,0,1,0,2,0.0,#Div0,#Div0
discard,1,0,1,2,1.0,0.5,0.6666666666666666
phases,0,0,1,1,#Div0,0.0,#Div0
poor,0,8,0,16,0.0,#Div0,#Div0
advanced,2,5,2,14,0.2857142857142857,0.5,0.36363636363636365
theoretical,0,3,0,6,0.0,#Div0,#Div0
overcome,3,0,3,6,1.0,0.5,0.6666666666666666
key,0,0,4,4,#Div0,0.0,#Div0
fullfill,0,1,0,2,0.0,#Div0,#Div0
contain,0,3,0,6,0.0,#Div0,#Div0
born,0,0,2,2,#Div0,0.0,#Div0
bond,0,0,1,1,#Div0,0.0,#Div0
extract,0,0,1,1,#Div0,0.0,#Div0
donotsee,0,2,0,4,0.0,#Div0,#Div0
practical,0,5,0,10,0.0,#Div0,#Div0
Travelling,0,3,0,6,0.0,#Div0,#Div0
connected,0,0,2,2,#Div0,0.0,#Div0
superficial,0,0,1,1,#Div0,0.0,#Div0
held,0,0,1,1,#Div0,0.0,#Div0
value,1,0,2,3,1.0,0.3333333333333333,0.5
statistical,0,1,0,2,0.0,#Div0,#Div0
embed,1,0,1,2,1.0,0.5,0.6666666666666666
teach,2,25,2,54,0.07407407407407407,0.5,0.12903225806451613
steps,0,0,2,2,#Div0,0.0,#Div0
simple,1,7,1,17,0.125,0.5,0.2
cant,0,1,0,2,0.0,#Div0,#Div0
pains,0,0,1,1,#Div0,0.0,#Div0
confortable,0,0,1,1,#Div0,0.0,#Div0
touched,0,0,2,2,#Div0,0.0,#Div0
Learning,0,0,0,2,#Div0,#Div0,#Div0
flower,0,0,1,1,#Div0,0.0,#Div0
bravery,0,0,1,1,#Div0,0.0,#Div0
reaching,0,0,5,5,#Div0,0.0,#Div0
our,0,0,1,1,#Div0,0.0,#Div0
forbidden,0,0,1,1,#Div0,0.0,#Div0
legend,0,0,1,1,#Div0,0.0,#Div0
laptop,0,1,0,2,0.0,#Div0,#Div0
expect,0,5,0,10,0.0,#Div0,#Div0
floor,0,0,1,1,#Div0,0.0,#Div0
intoduced,1,0,1,2,1.0,0.5,0.6666666666666666
accelerate,0,1,0,2,0.0,#Div0,#Div0
running,0,0,2,2,#Div0,0.0,#Div0
golden,1,0,1,2,1.0,0.5,0.6666666666666666
couldnotdo,0,1,0,2,0.0,#Div0,#Div0
refocus,1,0,1,2,1.0,0.5,0.6666666666666666
wonotdisappear,0,1,0,2,0.0,#Div0,#Div0
oppose,0,1,0,2,0.0,#Div0,#Div0
Italian,0,2,0,4,0.0,#Div0,#Div0
achieved,0,0,1,1,#Div0,0.0,#Div0
brag,0,2,0,4,0.0,#Div0,#Div0
formed,0,0,1,1,#Div0,0.0,#Div0
close,0,2,5,9,0.0,0.0,#Div0
main,0,5,0,22,0.0,#Div0,#Div0
eminent,0,1,0,2,0.0,#Div0,#Div0
electrical,0,1,0,2,0.0,#Div0,#Div0
spaces,0,0,1,1,#Div0,0.0,#Div0
memorizing,0,1,0,2,0.0,#Div0,#Div0
somthing,0,1,0,2,0.0,#Div0,#Div0
urban,0,0,0,1,#Div0,#Div0,#Div0
promise,0,1,0,2,0.0,#Div0,#Div0
reasonable,0,1,0,2,0.0,#Div0,#Div0
radical,0,3,0,6,0.0,#Div0,#Div0
sorrounds,0,0,1,1,#Div0,0.0,#Div0
second,1,8,1,18,0.1111111111111111,0.5,0.1818181818181818
museums,0,1,0,2,0.0,#Div0,#Div0
message,0,0,2,2,#Div0,0.0,#Div0
potencial,0,1,0,2,0.0,#Div0,#Div0
stronger,0,0,2,2,#Div0,0.0,#Div0
bright,1,1,1,4,0.5,0.5,0.5
practicable,0,1,0,2,0.0,#Div0,#Div0
durring,0,1,0,2,0.0,#Div0,#Div0
restricted,0,0,1,1,#Div0,0.0,#Div0
divide,0,1,0,2,0.0,#Div0,#Div0
brave,0,6,0,12,0.0,#Div0,#Div0
Young,0,2,0,4,0.0,#Div0,#Div0
sight,0,0,1,1,#Div0,0.0,#Div0
behind,0,0,6,6,#Div0,0.0,#Div0
broader,1,0,6,7,1.0,0.14285714285714285,0.25
chain,0,0,2,2,#Div0,0.0,#Div0
charge,0,1,0,2,0.0,#Div0,#Div0
renounce,0,1,0,2,0.0,#Div0,#Div0
perception,0,0,1,1,#Div0,0.0,#Div0
area,0,0,1,1,#Div0,0.0,#Div0
remarkable,0,1,0,2,0.0,#Div0,#Div0
flexiblly,0,0,2,2,#Div0,0.0,#Div0
hep,0,1,0,2,0.0,#Div0,#Div0
receive,1,11,1,24,0.08333333333333333,0.5,0.14285714285714285
cut,1,2,1,6,0.3333333333333333,0.5,0.4
alternative,0,2,0,5,0.0,#Div0,#Div0
egyptians,0,1,0,2,0.0,#Div0,#Div0
level,0,0,7,7,#Div0,0.0,#Div0
out,0,0,9,9,#Div0,0.0,#Div0
wake,0,3,0,6,0.0,#Div0,#Div0
careful,0,2,0,4,0.0,#Div0,#Div0
linked,0,0,1,1,#Div0,0.0,#Div0
archeological,0,1,0,2,0.0,#Div0,#Div0
decrease,0,7,0,14,0.0,#Div0,#Div0
donotlike,0,1,0,2,0.0,#Div0,#Div0
general,0,12,0,29,0.0,#Div0,#Div0
compare,0,7,0,15,0.0,#Div0,#Div0
invent,0,5,0,10,0.0,#Div0,#Div0
higher,0,0,4,4,#Div0,0.0,#Div0
case,0,0,1,1,#Div0,0.0,#Div0
accurate,0,1,0,2,0.0,#Div0,#Div0
take,15,112,15,254,0.11811023622047244,0.5,0.19108280254777069
accomplish,0,5,0,10,0.0,#Div0,#Div0
aspect,0,0,2,2,#Div0,0.0,#Div0
disappear,1,1,1,4,0.5,0.5,0.5
points,0,0,1,1,#Div0,0.0,#Div0
expected,0,1,0,2,0.0,#Div0,#Div0
percent,0,0,1,1,#Div0,0.0,#Div0
beyond,0,0,2,2,#Div0,0.0,#Div0
aquiring,0,1,0,2,0.0,#Div0,#Div0
prohibit,0,2,0,4,0.0,#Div0,#Div0
zoo,0,0,1,1,#Div0,0.0,#Div0
grasping,0,0,1,1,#Div0,0.0,#Div0
correction,0,0,1,1,#Div0,0.0,#Div0
gave,0,0,3,3,#Div0,0.0,#Div0
driven,0,0,1,1,#Div0,0.0,#Div0
individual,0,4,0,8,0.0,#Div0,#Div0
saing,0,1,0,2,0.0,#Div0,#Div0
dissapointed,0,1,0,2,0.0,#Div0,#Div0
outside,0,0,3,3,#Div0,0.0,#Div0
advertized,0,1,0,2,0.0,#Div0,#Div0
dynamic,1,0,4,5,1.0,0.2,0.33333333333333337
tolerance,0,0,1,1,#Div0,0.0,#Div0
worry,0,5,0,10,0.0,#Div0,#Div0
rush,1,0,2,3,1.0,0.3333333333333333,0.5
cutting,0,0,1,1,#Div0,0.0,#Div0
connection,0,0,5,5,#Div0,0.0,#Div0
reflects,0,0,1,1,#Div0,0.0,#Div0
associate,0,4,0,8,0.0,#Div0,#Div0
kept,0,0,1,1,#Div0,0.0,#Div0
change,0,33,0,74,0.0,#Div0,#Div0
ware,0,2,0,4,0.0,#Div0,#Div0
catastrophic,1,0,1,2,1.0,0.5,0.6666666666666666
risk,0,1,1,3,0.0,0.0,#Div0
multiplying,0,0,1,1,#Div0,0.0,#Div0
hav,0,1,0,2,0.0,#Div0,#Div0
state,0,7,0,14,0.0,#Div0,#Div0
illustrate,0,2,0,4,0.0,#Div0,#Div0
prevent,0,5,0,10,0.0,#Div0,#Div0
beautiful,0,5,0,10,0.0,#Div0,#Div0
pioneered,0,1,0,2,0.0,#Div0,#Div0
re,0,6,0,12,0.0,#Div0,#Div0
swim,0,1,0,2,0.0,#Div0,#Div0
unnatural,0,1,0,2,0.0,#Div0,#Div0
valuable,0,2,2,6,0.0,0.0,#Div0
prospective,0,1,0,2,0.0,#Div0,#Div0
influence,0,2,0,4,0.0,#Div0,#Div0
brought,0,0,2,2,#Div0,0.0,#Div0
access,0,0,2,2,#Div0,0.0,#Div0
deeper,0,0,5,5,#Div0,0.0,#Div0
follwing,0,1,0,2,0.0,#Div0,#Div0
pollute,0,2,0,4,0.0,#Div0,#Div0
local,0,13,0,30,0.0,#Div0,#Div0
attractions,0,0,1,1,#Div0,0.0,#Div0
Strongly,0,0,1,1,#Div0,0.0,#Div0
gaining,0,0,1,1,#Div0,0.0,#Div0
rise,1,3,1,8,0.25,0.5,0.3333333333333333
abig,0,1,0,2,0.0,#Div0,#Div0
given,0,0,2,2,#Div0,0.0,#Div0
donotneed,0,3,0,6,0.0,#Div0,#Div0
COMPLETE,0,1,0,2,0.0,#Div0,#Div0
ethinic,0,1,0,2,0.0,#Div0,#Div0
react,0,4,0,7,0.0,#Div0,#Div0
scar,0,1,0,2,0.0,#Div0,#Div0
shoud,0,1,0,2,0.0,#Div0,#Div0
arise,0,1,0,2,0.0,#Div0,#Div0
proactive,0,1,0,2,0.0,#Div0,#Div0
aspects,0,0,2,2,#Div0,0.0,#Div0
by,0,0,3,3,#Div0,0.0,#Div0
major,0,6,0,13,0.0,#Div0,#Div0
contrast,0,1,0,2,0.0,#Div0,#Div0
come,1,36,1,71,0.02702702702702703,0.5,0.05128205128205129
unsatisfied,0,1,0,2,0.0,#Div0,#Div0
injure,0,1,0,2,0.0,#Div0,#Div0
tough,0,0,1,3,#Div0,0.0,#Div0
spikes,0,0,1,1,#Div0,0.0,#Div0
busy,0,1,2,4,0.0,0.0,#Div0
evolution,0,0,1,1,#Div0,0.0,#Div0
show,0,40,0,80,0.0,#Div0,#Div0
alot,0,3,0,6,0.0,#Div0,#Div0
of,0,0,9,9,#Div0,0.0,#Div0
successful,0,41,0,82,0.0,#Div0,#Div0
exploring,0,0,2,2,#Div0,0.0,#Div0
atheistic,0,1,0,2,0.0,#Div0,#Div0
human,0,8,0,21,0.0,#Div0,#Div0
wind,0,1,0,2,0.0,#Div0,#Div0
exposed,0,0,1,1,#Div0,0.0,#Div0
secure,0,1,1,3,0.0,0.0,#Div0
care,0,10,0,15,0.0,#Div0,#Div0
beginning,0,0,1,1,#Div0,0.0,#Div0
becuase,0,1,0,2,0.0,#Div0,#Div0
destroying,0,0,1,1,#Div0,0.0,#Div0
recommend,0,2,0,4,0.0,#Div0,#Div0
relieve,0,1,0,2,0.0,#Div0,#Div0
hiding,0,0,1,1,#Div0,0.0,#Div0
increase,2,38,2,80,0.05,0.5,0.09090909090909091
shattered,0,0,1,1,#Div0,0.0,#Div0
Getting,0,0,2,2,#Div0,0.0,#Div0
next,0,7,0,14,0.0,#Div0,#Div0
boosted,0,0,1,1,#Div0,0.0,#Div0
highlights,0,0,1,1,#Div0,0.0,#Div0
donotbelieve,0,2,0,4,0.0,#Div0,#Div0
ridiculous,0,1,0,2,0.0,#Div0,#Div0
hard,1,9,1,21,0.1,0.5,0.16666666666666669
spend,35,21,36,113,0.625,0.49295774647887325,0.5511811023622046
surprising,0,1,0,2,0.0,#Div0,#Div0
fought,0,0,1,1,#Div0,0.0,#Div0
overtaken,0,0,1,1,#Div0,0.0,#Div0
everyting,0,1,0,2,0.0,#Div0,#Div0
hobby,0,1,0,2,0.0,#Div0,#Div0
uncontrollable,0,1,0,2,0.0,#Div0,#Div0
perspectives,0,0,2,2,#Div0,0.0,#Div0
assign,0,0,0,1,#Div0,#Div0,#Div0
gulf,0,1,0,2,0.0,#Div0,#Div0
cook,0,2,0,4,0.0,#Div0,#Div0
Living,0,1,0,2,0.0,#Div0,#Div0
animal,0,1,0,2,0.0,#Div0,#Div0
detailed,0,1,0,2,0.0,#Div0,#Div0
frustrate,0,1,0,2,0.0,#Div0,#Div0
enjoy,0,110,0,220,0.0,#Div0,#Div0
historic,0,1,0,2,0.0,#Div0,#Div0
nearer,0,0,1,1,#Div0,0.0,#Div0
stud,0,7,0,14,0.0,#Div0,#Div0
vibrant,0,0,1,1,#Div0,0.0,#Div0
productive,0,1,0,2,0.0,#Div0,#Div0
eyes,0,0,1,1,#Div0,0.0,#Div0
Simple,0,1,0,2,0.0,#Div0,#Div0
demanding,0,0,1,1,#Div0,0.0,#Div0
drastic,0,1,0,2,0.0,#Div0,#Div0
dance,0,2,0,4,0.0,#Div0,#Div0
deriving,0,0,2,2,#Div0,0.0,#Div0
theory,0,0,1,1,#Div0,0.0,#Div0
backgrounds,0,0,1,1,#Div0,0.0,#Div0
affordable,0,1,0,2,0.0,#Div0,#Div0
suggest,0,6,0,12,0.0,#Div0,#Div0
advance,1,1,1,4,0.5,0.5,0.5
profit,0,1,0,2,0.0,#Div0,#Div0
advancing,0,0,1,1,#Div0,0.0,#Div0
expensive,0,7,0,14,0.0,#Div0,#Div0
experienced,0,2,0,4,0.0,#Div0,#Div0
perspective,0,0,1,1,#Div0,0.0,#Div0
downsides,0,0,1,1,#Div0,0.0,#Div0
flowing,0,0,1,1,#Div0,0.0,#Div0
Traveling,0,6,0,12,0.0,#Div0,#Div0
attain,0,2,0,4,0.0,#Div0,#Div0
beatiful,1,0,1,2,1.0,0.5,0.6666666666666666
fully,0,0,6,6,#Div0,0.0,#Div0
middle,0,2,2,6,0.0,0.0,#Div0
wander,0,1,0,2,0.0,#Div0,#Div0
doesnotdepend,0,1,0,2,0.0,#Div0,#Div0
commom,0,1,0,2,0.0,#Div0,#Div0
languages,0,2,0,4,0.0,#Div0,#Div0
soft,0,0,1,1,#Div0,0.0,#Div0
grasp,0,1,0,1,0.0,#Div0,#Div0
contemporary,0,3,0,6,0.0,#Div0,#Div0
competition,0,0,1,1,#Div0,0.0,#Div0
chinese,0,3,0,6,0.0,#Div0,#Div0
tranport,0,1,0,2,0.0,#Div0,#Div0
avalible,0,0,1,1,#Div0,0.0,#Div0
equal,0,2,0,4,0.0,#Div0,#Div0
wast,0,0,2,2,#Div0,0.0,#Div0
focused,0,0,4,4,#Div0,0.0,#Div0
doors,0,0,1,1,#Div0,0.0,#Div0
catholic,0,2,0,4,0.0,#Div0,#Div0
away,0,0,5,5,#Div0,0.0,#Div0
market,0,1,0,2,0.0,#Div0,#Div0
confirm,0,1,0,2,0.0,#Div0,#Div0
explain,0,23,0,46,0.0,#Div0,#Div0
trafic,0,1,0,2,0.0,#Div0,#Div0
calculate,0,1,1,3,0.0,0.0,#Div0
off,0,0,1,1,#Div0,0.0,#Div0
atmosphere,0,0,1,1,#Div0,0.0,#Div0
Agreeing,0,1,0,2,0.0,#Div0,#Div0
dreaming,0,0,1,1,#Div0,0.0,#Div0
establish,0,6,0,12,0.0,#Div0,#Div0
Concluding,0,1,0,2,0.0,#Div0,#Div0
physical,0,2,0,8,0.0,#Div0,#Div0
spent,0,0,3,3,#Div0,0.0,#Div0
stage,0,0,9,9,#Div0,0.0,#Div0
vegetable,0,1,0,2,0.0,#Div0,#Div0
predicted,0,1,0,2,0.0,#Div0,#Div0
Limiting,0,1,0,2,0.0,#Div0,#Div0
wonderful,0,1,0,2,0.0,#Div0,#Div0
faced,0,0,1,1,#Div0,0.0,#Div0
overall,0,2,0,4,0.0,#Div0,#Div0
conception,0,0,1,1,#Div0,0.0,#Div0
finding,0,0,1,1,#Div0,0.0,#Div0
assist,0,1,0,2,0.0,#Div0,#Div0
reason,0,1,0,2,0.0,#Div0,#Div0
entrepreneurial,0,1,0,2,0.0,#Div0,#Div0
fits,0,0,2,2,#Div0,0.0,#Div0
comphrehending,0,1,0,2,0.0,#Div0,#Div0
advertise,0,7,0,14,0.0,#Div0,#Div0
creat,0,3,0,6,0.0,#Div0,#Div0
restriction,0,0,1,1,#Div0,0.0,#Div0
multiply,1,1,1,4,0.5,0.5,0.5
play,1,12,1,20,0.07692307692307693,0.5,0.13333333333333336
miss,3,1,3,8,0.75,0.5,0.6
satisfy,0,5,0,10,0.0,#Div0,#Div0
tied,0,0,1,1,#Div0,0.0,#Div0
advice,0,1,0,2,0.0,#Div0,#Div0
advancement,0,0,2,2,#Div0,0.0,#Div0
dagerousness,0,0,1,1,#Div0,0.0,#Div0
belive,0,4,0,8,0.0,#Div0,#Div0
touch,0,1,3,5,0.0,0.0,#Div0
new,2,144,4,318,0.0136986301369863,0.3333333333333333,0.02631578947368421
fast,0,3,1,7,0.0,0.0,#Div0
canotbehave,0,1,0,2,0.0,#Div0,#Div0
fix,0,2,0,4,0.0,#Div0,#Div0
generic,0,1,0,2,0.0,#Div0,#Div0
unfamiliar,0,1,0,2,0.0,#Div0,#Div0
doesnotfit,0,1,0,2,0.0,#Div0,#Div0
share,0,0,2,2,#Div0,0.0,#Div0
aiming,0,0,1,1,#Div0,0.0,#Div0
demands,0,0,1,1,#Div0,0.0,#Div0
single,0,5,0,12,0.0,#Div0,#Div0
expand,0,2,0,4,0.0,#Div0,#Div0
depend,0,14,0,28,0.0,#Div0,#Div0
's,0,44,0,88,0.0,#Div0,#Div0
wouldnotfeel,0,1,0,2,0.0,#Div0,#Div0
getting,0,0,1,1,#Div0,0.0,#Div0
use,1,103,3,210,0.009615384615384616,0.25,0.018518518518518517
.e,0,1,0,2,0.0,#Div0,#Div0
fixing,0,0,1,1,#Div0,0.0,#Div0
admit,0,1,0,2,0.0,#Div0,#Div0
pop,1,0,1,2,1.0,0.5,0.6666666666666666
populate,0,1,0,2,0.0,#Div0,#Div0
direct,0,1,0,2,0.0,#Div0,#Div0
frozen,0,1,0,2,0.0,#Div0,#Div0
Cambodian,0,1,0,2,0.0,#Div0,#Div0
true,0,4,0,9,0.0,#Div0,#Div0
around,0,0,3,3,#Div0,0.0,#Div0
insure,1,0,1,2,1.0,0.5,0.6666666666666666
roam,1,0,1,2,1.0,0.5,0.6666666666666666
back,0,0,2,2,#Div0,0.0,#Div0
park,0,2,0,4,0.0,#Div0,#Div0
controversial,0,1,0,2,0.0,#Div0,#Div0
American,0,1,0,2,0.0,#Div0,#Div0
putting,0,0,2,2,#Div0,0.0,#Div0
non-profit,0,3,0,6,0.0,#Div0,#Div0
aproach,1,0,1,2,1.0,0.5,0.6666666666666666
start,2,30,3,65,0.0625,0.4,0.10810810810810811
suspect,0,1,0,2,0.0,#Div0,#Div0
microsoft,0,1,0,2,0.0,#Div0,#Div0
want,0,72,0,144,0.0,#Div0,#Div0
resolve,0,2,0,4,0.0,#Div0,#Div0
overwhelm,1,0,1,2,1.0,0.5,0.6666666666666666
platform,0,0,1,1,#Div0,0.0,#Div0
sixteen,0,1,0,2,0.0,#Div0,#Div0
point,0,4,4,12,0.0,0.0,#Div0
divided,0,0,1,1,#Div0,0.0,#Div0
convince,0,8,0,16,0.0,#Div0,#Div0
rule,0,1,1,3,0.0,0.0,#Div0
fantastic,1,1,1,4,0.5,0.5,0.5
carries,0,0,1,1,#Div0,0.0,#Div0
most,0,0,1,1,#Div0,0.0,#Div0
donotthink,0,5,0,10,0.0,#Div0,#Div0
blocked,0,0,1,1,#Div0,0.0,#Div0
exotic,1,0,1,2,1.0,0.5,0.6666666666666666
rough,0,1,2,4,0.0,0.0,#Div0
glass-making,0,1,0,2,0.0,#Div0,#Div0
supervise,0,1,0,2,0.0,#Div0,#Div0
canotmake,0,1,0,2,0.0,#Div0,#Div0
protected,1,0,2,3,1.0,0.3333333333333333,0.5
eventualy,0,1,0,2,0.0,#Div0,#Div0
environment-friendly,0,1,0,2,0.0,#Div0,#Div0
spare,2,1,2,6,0.6666666666666666,0.5,0.5714285714285715
Having,0,3,0,8,0.0,#Div0,#Div0
study,0,67,0,105,0.0,#Div0,#Div0
boring,0,2,0,4,0.0,#Div0,#Div0
worth,0,0,1,1,#Div0,0.0,#Div0
Changing,0,0,0,1,#Div0,#Div0,#Div0
release,0,1,0,2,0.0,#Div0,#Div0
identify,0,2,0,4,0.0,#Div0,#Div0
early,1,4,1,10,0.2,0.5,0.28571428571428575
underground,0,1,0,2,0.0,#Div0,#Div0
prescribe,0,1,0,2,0.0,#Div0,#Div0
guarantee,0,2,0,4,0.0,#Div0,#Div0
donotand,0,1,0,2,0.0,#Div0,#Div0
seem,0,29,0,58,0.0,#Div0,#Div0
konw,0,1,0,2,0.0,#Div0,#Div0
dragged,0,0,1,1,#Div0,0.0,#Div0
reduces,0,0,1,1,#Div0,0.0,#Div0
aid,0,1,0,2,0.0,#Div0,#Div0
physiological,0,1,0,2,0.0,#Div0,#Div0
technieqs,0,1,0,2,0.0,#Div0,#Div0
subject,0,4,0,8,0.0,#Div0,#Div0
tell,0,25,0,50,0.0,#Div0,#Div0
sit,0,1,1,3,0.0,0.0,#Div0
version,0,0,2,2,#Div0,0.0,#Div0
bring,1,13,6,36,0.07142857142857142,0.14285714285714285,0.09523809523809523
channels,0,0,1,1,#Div0,0.0,#Div0
spots,0,0,1,1,#Div0,0.0,#Div0
ex,0,1,0,2,0.0,#Div0,#Div0
specialise,0,1,0,2,0.0,#Div0,#Div0
exaggerate,0,1,0,2,0.0,#Div0,#Div0
eliminates,0,0,1,1,#Div0,0.0,#Div0
available,3,3,3,12,0.5,0.5,0.5
typical,0,5,0,10,0.0,#Div0,#Div0
repeat,0,7,0,14,0.0,#Div0,#Div0
doesn,0,3,0,6,0.0,#Div0,#Div0
retire,0,3,0,6,0.0,#Div0,#Div0
original,1,1,1,5,0.5,0.5,0.5
vertically,0,0,1,1,#Div0,0.0,#Div0
