token,tp_cases,fp_cases,fn_cases,total_cases,precision,recall,f1-score
built,0,0,2,2,#Div0,0.0,#Div0
demands,0,0,1,1,#Div0,0.0,#Div0
upper,0,1,0,1,0.0,#Div0,#Div0
African,0,0,0,1,#Div0,#Div0,#Div0
true,0,4,0,5,0.0,#Div0,#Div0
think,0,1,0,1,0.0,#Div0,#Div0
untrue,0,1,0,1,0.0,#Div0,#Div0
episodes,0,0,1,1,#Div0,0.0,#Div0
fantastic,1,1,0,2,0.5,1.0,0.6666666666666666
intense,1,0,0,1,1.0,1.0,1.0
Theoretical,0,0,0,1,#Div0,#Div0,#Div0
security,0,0,1,1,#Div0,0.0,#Div0
supporting,0,0,1,1,#Div0,0.0,#Div0
asking,0,0,1,1,#Div0,0.0,#Div0
preserving,0,0,1,1,#Div0,0.0,#Div0
frequent,0,1,0,1,0.0,#Div0,#Div0
thorough,0,0,0,1,#Div0,#Div0,#Div0
simulate,0,0,0,1,#Div0,#Div0,#Div0
entered,0,0,1,1,#Div0,0.0,#Div0
basing,0,0,1,1,#Div0,0.0,#Div0
tones,0,0,1,1,#Div0,0.0,#Div0
defended,0,0,1,1,#Div0,0.0,#Div0
respect,0,0,1,1,#Div0,0.0,#Div0
American,0,1,0,1,0.0,#Div0,#Div0
hundred,0,0,1,1,#Div0,0.0,#Div0
elderly,0,1,0,1,0.0,#Div0,#Div0
hard,1,9,0,11,0.1,1.0,0.18181818181818182
eaten,0,0,1,1,#Div0,0.0,#Div0
laptop,0,0,0,1,#Div0,#Div0,#Div0
populated,0,1,0,1,0.0,#Div0,#Div0
personnal,0,0,0,1,#Div0,#Div0,#Div0
attract,1,0,2,3,1.0,0.3333333333333333,0.5
promote,0,0,1,1,#Div0,0.0,#Div0
wealthy,0,1,0,1,0.0,#Div0,#Div0
aobut,0,1,0,1,0.0,#Div0,#Div0
encounter,0,0,1,1,#Div0,0.0,#Div0
Asian,0,1,0,1,0.0,#Div0,#Div0
basis,0,0,1,1,#Div0,0.0,#Div0
creative,0,1,0,3,0.0,#Div0,#Div0
difficult,1,4,0,5,0.2,1.0,0.33333333333333337
potential,0,1,0,1,0.0,#Div0,#Div0
summary,0,1,0,1,0.0,#Div0,#Div0
scratch,0,0,1,1,#Div0,0.0,#Div0
white,0,1,0,1,0.0,#Div0,#Div0
broader,0,0,4,4,#Div0,0.0,#Div0
obvious,0,2,0,2,0.0,#Div0,#Div0
task,0,0,1,1,#Div0,0.0,#Div0
loosing,0,0,1,1,#Div0,0.0,#Div0
likely,0,1,0,1,0.0,#Div0,#Div0
fields,0,0,1,1,#Div0,0.0,#Div0
american,0,1,0,1,0.0,#Div0,#Div0
eloquent,1,0,0,1,1.0,1.0,1.0
along,0,1,0,1,0.0,#Div0,#Div0
glass-making,0,1,0,1,0.0,#Div0,#Div0
a,0,0,6,6,#Div0,0.0,#Div0
compete,0,0,1,1,#Div0,0.0,#Div0
worldwide-best-seller,0,1,0,1,0.0,#Div0,#Div0
slower,0,0,1,1,#Div0,0.0,#Div0
growing,0,0,5,5,#Div0,0.0,#Div0
connections,0,0,1,1,#Div0,0.0,#Div0
rapid,0,1,0,1,0.0,#Div0,#Div0
proportioned,0,0,1,1,#Div0,0.0,#Div0
contributing,0,0,1,1,#Div0,0.0,#Div0
ll,0,1,0,1,0.0,#Div0,#Div0
wasted,0,0,1,1,#Div0,0.0,#Div0
passions,0,0,1,1,#Div0,0.0,#Div0
tomorrow,0,0,1,1,#Div0,0.0,#Div0
behavior,0,1,0,1,0.0,#Div0,#Div0
visualize,0,0,1,1,#Div0,0.0,#Div0
weak,0,0,2,2,#Div0,0.0,#Div0
overwhelm,0,0,1,1,#Div0,0.0,#Div0
academic,0,40,0,42,0.0,#Div0,#Div0
loses,0,0,1,1,#Div0,0.0,#Div0
rely,0,0,2,2,#Div0,0.0,#Div0
efficient,0,0,0,1,#Div0,#Div0,#Div0
moved,0,0,2,2,#Div0,0.0,#Div0
geographic,0,1,0,1,0.0,#Div0,#Div0
attribute,0,0,1,1,#Div0,0.0,#Div0
unreal,0,0,1,1,#Div0,0.0,#Div0
version,0,0,2,2,#Div0,0.0,#Div0
positoin,0,0,1,1,#Div0,0.0,#Div0
actractivity,0,0,1,1,#Div0,0.0,#Div0
Direct,0,1,0,1,0.0,#Div0,#Div0
gifted,0,0,1,1,#Div0,0.0,#Div0
down,0,0,1,1,#Div0,0.0,#Div0
catholic,0,1,0,2,0.0,#Div0,#Div0
incredible,0,3,0,3,0.0,#Div0,#Div0
unexpected,0,1,0,1,0.0,#Div0,#Div0
experienced,0,2,0,2,0.0,#Div0,#Div0
dicover,0,0,1,1,#Div0,0.0,#Div0
pampered,1,0,0,1,1.0,1.0,1.0
several,0,7,0,17,0.0,#Div0,#Div0
legacy,0,0,1,1,#Div0,0.0,#Div0
world,0,0,6,6,#Div0,0.0,#Div0
modern,0,6,0,7,0.0,#Div0,#Div0
Italian,0,2,0,2,0.0,#Div0,#Div0
basic,2,2,2,8,0.5,0.5,0.5
provided,0,1,0,1,0.0,#Div0,#Div0
Inter,0,1,0,1,0.0,#Div0,#Div0
shows,0,0,2,2,#Div0,0.0,#Div0
shine,0,0,1,1,#Div0,0.0,#Div0
advantage,0,0,1,1,#Div0,0.0,#Div0
dangerous,0,0,4,4,#Div0,0.0,#Div0
exploring,0,0,1,1,#Div0,0.0,#Div0
second,0,1,2,10,0.0,0.0,#Div0
European,0,2,0,3,0.0,#Div0,#Div0
cutting-edge,0,0,1,1,#Div0,0.0,#Div0
remain,0,0,1,1,#Div0,0.0,#Div0
by,0,0,1,1,#Div0,0.0,#Div0
pick,0,0,1,1,#Div0,0.0,#Div0
stronger,0,0,2,2,#Div0,0.0,#Div0
connection,0,0,1,1,#Div0,0.0,#Div0
background,0,0,3,3,#Div0,0.0,#Div0
poor,0,8,0,8,0.0,#Div0,#Div0
obstacles,0,0,1,1,#Div0,0.0,#Div0
promoting,0,0,1,1,#Div0,0.0,#Div0
Last,0,2,0,2,0.0,#Div0,#Div0
oun,0,0,0,1,#Div0,#Div0,#Div0
know,0,1,0,1,0.0,#Div0,#Div0
suffer,0,0,1,1,#Div0,0.0,#Div0
in,0,0,13,13,#Div0,0.0,#Div0
loss,0,0,2,2,#Div0,0.0,#Div0
regular,0,2,0,2,0.0,#Div0,#Div0
valued,0,0,1,1,#Div0,0.0,#Div0
twelve-hour,0,0,0,2,#Div0,#Div0,#Div0
daily,0,4,0,5,0.0,#Div0,#Div0
protect,0,0,1,1,#Div0,0.0,#Div0
consequences,0,0,1,1,#Div0,0.0,#Div0
resist,0,0,1,1,#Div0,0.0,#Div0
unfamiliar,0,1,0,1,0.0,#Div0,#Div0
more,0,0,2,2,#Div0,0.0,#Div0
foreing,0,0,0,1,#Div0,#Div0,#Div0
fig-plastic,0,1,0,1,0.0,#Div0,#Div0
friendly,0,0,1,1,#Div0,0.0,#Div0
mere,0,1,0,1,0.0,#Div0,#Div0
tolerance,0,0,1,1,#Div0,0.0,#Div0
surround,0,0,1,1,#Div0,0.0,#Div0
fellow,0,1,0,1,0.0,#Div0,#Div0
elements,0,0,1,1,#Div0,0.0,#Div0
such,0,14,0,14,0.0,#Div0,#Div0
authentic,0,1,0,1,0.0,#Div0,#Div0
fully,0,0,4,4,#Div0,0.0,#Div0
positive,0,4,0,5,0.0,#Div0,#Div0
picturelize,0,0,1,1,#Div0,0.0,#Div0
inside,0,0,2,2,#Div0,0.0,#Div0
helpful,0,0,0,1,#Div0,#Div0,#Div0
multiple,0,0,0,1,#Div0,#Div0,#Div0
key,0,0,3,3,#Div0,0.0,#Div0
nan,0,0,686,686,#Div0,0.0,#Div0
end,0,0,1,1,#Div0,0.0,#Div0
line,0,0,1,1,#Div0,0.0,#Div0
rich,0,3,2,5,0.0,0.0,#Div0
shiny,0,1,1,2,0.0,0.0,#Div0
estimated,0,1,0,1,0.0,#Div0,#Div0
changed,0,0,1,1,#Div0,0.0,#Div0
valid,0,1,0,1,0.0,#Div0,#Div0
stick,0,0,2,2,#Div0,0.0,#Div0
ladder,0,0,2,2,#Div0,0.0,#Div0
popular,0,5,0,6,0.0,#Div0,#Div0
rising,0,0,1,1,#Div0,0.0,#Div0
spreading,0,0,1,1,#Div0,0.0,#Div0
external,0,1,0,2,0.0,#Div0,#Div0
stability,0,0,1,1,#Div0,0.0,#Div0
image,0,0,4,4,#Div0,0.0,#Div0
raised,0,0,1,1,#Div0,0.0,#Div0
whole,1,8,1,10,0.1111111111111111,0.5,0.1818181818181818
underline,0,0,1,1,#Div0,0.0,#Div0
acidic,0,1,0,1,0.0,#Div0,#Div0
reflects,0,0,1,1,#Div0,0.0,#Div0
demanding,0,0,1,1,#Div0,0.0,#Div0
warmly,0,0,1,1,#Div0,0.0,#Div0
personal,0,14,0,31,0.0,#Div0,#Div0
from,0,0,8,8,#Div0,0.0,#Div0
informational,0,1,0,1,0.0,#Div0,#Div0
beatiful,0,0,2,2,#Div0,0.0,#Div0
dedicates,0,0,1,1,#Div0,0.0,#Div0
save,0,0,1,1,#Div0,0.0,#Div0
sends,0,0,1,1,#Div0,0.0,#Div0
neo,0,0,0,1,#Div0,#Div0,#Div0
flower,0,0,1,1,#Div0,0.0,#Div0
Simple,0,1,0,1,0.0,#Div0,#Div0
guide,0,0,2,3,#Div0,0.0,#Div0
Successful,0,3,0,3,0.0,#Div0,#Div0
pace,0,0,1,1,#Div0,0.0,#Div0
understand,0,0,0,1,#Div0,#Div0,#Div0
practical,0,5,0,5,0.0,#Div0,#Div0
Indian,0,1,0,1,0.0,#Div0,#Div0
concentrates,0,0,1,1,#Div0,0.0,#Div0
right,0,8,0,13,0.0,#Div0,#Div0
statistical,0,1,0,1,0.0,#Div0,#Div0
obstacle,0,0,2,2,#Div0,0.0,#Div0
goes,0,0,1,1,#Div0,0.0,#Div0
complement,0,0,1,1,#Div0,0.0,#Div0
challenge,0,0,1,1,#Div0,0.0,#Div0
perspectives,0,0,2,2,#Div0,0.0,#Div0
requires,0,0,2,2,#Div0,0.0,#Div0
sit,0,0,1,1,#Div0,0.0,#Div0
coin,0,0,1,1,#Div0,0.0,#Div0
calm,1,0,0,1,1.0,1.0,1.0
urban,0,0,0,1,#Div0,#Div0,#Div0
essential,0,1,0,2,0.0,#Div0,#Div0
sacrifice,0,0,1,1,#Div0,0.0,#Div0
too,0,0,3,3,#Div0,0.0,#Div0
lens,0,0,1,1,#Div0,0.0,#Div0
similar,0,1,0,1,0.0,#Div0,#Div0
white-colored,0,1,0,1,0.0,#Div0,#Div0
pioneered,0,1,0,1,0.0,#Div0,#Div0
time,0,0,1,1,#Div0,0.0,#Div0
turn,0,0,2,2,#Div0,0.0,#Div0
part,0,0,10,10,#Div0,0.0,#Div0
electrical,0,1,0,1,0.0,#Div0,#Div0
between,0,0,1,1,#Div0,0.0,#Div0
genuine,0,0,0,1,#Div0,#Div0,#Div0
theit,0,0,0,1,#Div0,#Div0,#Div0
gulf,0,1,0,1,0.0,#Div0,#Div0
spots,0,0,1,1,#Div0,0.0,#Div0
joung,0,1,0,1,0.0,#Div0,#Div0
local,0,12,0,18,0.0,#Div0,#Div0
reliable,0,1,0,2,0.0,#Div0,#Div0
opposite,0,2,0,2,0.0,#Div0,#Div0
thanks,0,1,0,1,0.0,#Div0,#Div0
eighteen,0,1,0,1,0.0,#Div0,#Div0
tools,0,0,3,3,#Div0,0.0,#Div0
gain,0,0,2,2,#Div0,0.0,#Div0
pluck,0,0,1,1,#Div0,0.0,#Div0
put,0,0,6,6,#Div0,0.0,#Div0
valuable,0,2,2,4,0.0,0.0,#Div0
particular,0,14,0,16,0.0,#Div0,#Div0
energy,0,0,1,1,#Div0,0.0,#Div0
stop,0,0,1,1,#Div0,0.0,#Div0
univeristy,0,0,0,1,#Div0,#Div0,#Div0
sick,0,1,0,1,0.0,#Div0,#Div0
provide,0,1,3,4,0.0,0.0,#Div0
addicted,0,0,1,1,#Div0,0.0,#Div0
rainy,0,0,0,1,#Div0,#Div0,#Div0
civil,0,2,0,2,0.0,#Div0,#Div0
atheistic,0,0,0,1,#Div0,#Div0,#Div0
christmas,0,0,0,1,#Div0,#Div0,#Div0
clever,0,1,0,1,0.0,#Div0,#Div0
expected,0,1,0,1,0.0,#Div0,#Div0
powerfull,1,0,0,1,1.0,1.0,1.0
passed,0,0,1,1,#Div0,0.0,#Div0
extra,2,2,0,4,0.5,1.0,0.6666666666666666
our,0,0,1,1,#Div0,0.0,#Div0
dream,0,0,5,5,#Div0,0.0,#Div0
flexibility,0,0,1,1,#Div0,0.0,#Div0
scheme,0,0,1,1,#Div0,0.0,#Div0
strenght,0,0,1,1,#Div0,0.0,#Div0
present,0,3,0,5,0.0,#Div0,#Div0
meet,0,0,2,2,#Div0,0.0,#Div0
Such,0,2,0,2,0.0,#Div0,#Div0
firmly,0,0,1,1,#Div0,0.0,#Div0
biological,0,0,0,2,#Div0,#Div0,#Div0
face,0,0,9,9,#Div0,0.0,#Div0
allow,0,1,0,1,0.0,#Div0,#Div0
other,0,115,0,135,0.0,#Div0,#Div0
out,0,0,5,5,#Div0,0.0,#Div0
bond,0,0,1,1,#Div0,0.0,#Div0
highlights,0,0,1,1,#Div0,0.0,#Div0
active,4,0,0,4,1.0,1.0,1.0
imposed,0,0,1,1,#Div0,0.0,#Div0
aiming,0,0,1,1,#Div0,0.0,#Div0
over,0,0,1,1,#Div0,0.0,#Div0
esthetic,0,0,0,1,#Div0,#Div0,#Div0
spare,0,0,2,2,#Div0,0.0,#Div0
grow,0,0,7,7,#Div0,0.0,#Div0
graps,0,0,1,1,#Div0,0.0,#Div0
diffrent,0,3,0,6,0.0,#Div0,#Div0
explore,0,0,3,3,#Div0,0.0,#Div0
misleading,1,0,1,2,1.0,0.5,0.6666666666666666
contained,0,0,1,1,#Div0,0.0,#Div0
archeological,0,1,0,1,0.0,#Div0,#Div0
valiable,0,0,1,1,#Div0,0.0,#Div0
private,1,10,0,11,0.09090909090909091,1.0,0.16666666666666669
immerse,0,0,1,1,#Div0,0.0,#Div0
need,0,0,1,1,#Div0,0.0,#Div0
ruining,0,0,4,4,#Div0,0.0,#Div0
succesfull,0,1,0,2,0.0,#Div0,#Div0
controversial,0,1,0,1,0.0,#Div0,#Div0
incorrect,1,0,0,1,1.0,1.0,1.0
takes,0,0,5,5,#Div0,0.0,#Div0
sorrounds,0,0,1,1,#Div0,0.0,#Div0
division,0,0,1,1,#Div0,0.0,#Div0
under-developed,0,1,0,1,0.0,#Div0,#Div0
town,0,0,2,2,#Div0,0.0,#Div0
elementary,0,1,0,1,0.0,#Div0,#Div0
instant,0,0,0,1,#Div0,#Div0,#Div0
high,1,16,1,21,0.058823529411764705,0.5,0.10526315789473684
giving,0,0,4,4,#Div0,0.0,#Div0
different,0,48,0,71,0.0,#Div0,#Div0
emotionally,0,1,0,1,0.0,#Div0,#Div0
up,0,0,9,9,#Div0,0.0,#Div0
serious,0,2,1,3,0.0,0.0,#Div0
new,2,143,1,180,0.013793103448275862,0.6666666666666666,0.02702702702702703
suppoting,0,0,1,1,#Div0,0.0,#Div0
collage,0,0,1,1,#Div0,0.0,#Div0
strict,0,0,1,1,#Div0,0.0,#Div0
own,1,33,0,46,0.029411764705882353,1.0,0.05714285714285715
stood,0,0,1,1,#Div0,0.0,#Div0
help,0,0,1,1,#Div0,0.0,#Div0
mislead,0,0,1,1,#Div0,0.0,#Div0
autum,0,0,1,1,#Div0,0.0,#Div0
unselfish,0,1,0,1,0.0,#Div0,#Div0
faced,0,0,1,1,#Div0,0.0,#Div0
next,0,6,0,7,0.0,#Div0,#Div0
constant,0,2,0,2,0.0,#Div0,#Div0
rice,0,0,0,1,#Div0,#Div0,#Div0
specific,0,31,0,39,0.0,#Div0,#Div0
person,0,0,1,1,#Div0,0.0,#Div0
fifty,0,0,0,2,#Div0,#Div0,#Div0
stages,0,0,1,1,#Div0,0.0,#Div0
realy,0,0,0,1,#Div0,#Div0,#Div0
forward,0,0,2,2,#Div0,0.0,#Div0
taught,0,0,1,1,#Div0,0.0,#Div0
great,1,19,0,20,0.05,1.0,0.09523809523809523
Seeing,0,0,1,1,#Div0,0.0,#Div0
cosmetic,0,4,0,4,0.0,#Div0,#Div0
had,0,0,1,1,#Div0,0.0,#Div0
two,0,0,1,1,#Div0,0.0,#Div0
gave,0,0,3,3,#Div0,0.0,#Div0
contributes,0,0,1,1,#Div0,0.0,#Div0
historic,0,1,0,1,0.0,#Div0,#Div0
good,0,74,0,75,0.0,#Div0,#Div0
of,0,0,7,7,#Div0,0.0,#Div0
touch,0,0,1,1,#Div0,0.0,#Div0
spaces,0,0,1,1,#Div0,0.0,#Div0
theoretical,0,3,0,3,0.0,#Div0,#Div0
limitations,0,0,1,1,#Div0,0.0,#Div0
brave,0,3,0,3,0.0,#Div0,#Div0
leads,0,0,3,3,#Div0,0.0,#Div0
diet,0,0,0,1,#Div0,#Div0,#Div0
subject,0,3,0,4,0.0,#Div0,#Div0
remarkable,0,1,0,1,0.0,#Div0,#Div0
nature,0,0,1,1,#Div0,0.0,#Div0
decent,0,2,0,2,0.0,#Div0,#Div0
innovative,0,3,0,4,0.0,#Div0,#Div0
challanges,0,0,1,1,#Div0,0.0,#Div0
orginal,0,1,0,1,0.0,#Div0,#Div0
pressures,0,0,2,2,#Div0,0.0,#Div0
socialize,0,1,0,1,0.0,#Div0,#Div0
lies,0,0,1,1,#Div0,0.0,#Div0
agricultural,0,0,0,1,#Div0,#Div0,#Div0
semesters,0,0,1,1,#Div0,0.0,#Div0
impression,0,0,1,1,#Div0,0.0,#Div0
non,0,2,0,2,0.0,#Div0,#Div0
usual,0,3,0,3,0.0,#Div0,#Div0
vision,0,0,2,2,#Div0,0.0,#Div0
system,0,0,2,2,#Div0,0.0,#Div0
advance,0,0,1,1,#Div0,0.0,#Div0
specialized,0,6,0,13,0.0,#Div0,#Div0
fit,0,0,1,1,#Div0,0.0,#Div0
places,0,0,1,1,#Div0,0.0,#Div0
stricted,0,0,1,1,#Div0,0.0,#Div0
priceless,0,0,1,1,#Div0,0.0,#Div0
Many,0,8,0,10,0.0,#Div0,#Div0
scientific,0,6,0,6,0.0,#Div0,#Div0
less,0,0,2,2,#Div0,0.0,#Div0
global,0,6,0,7,0.0,#Div0,#Div0
increase,0,0,2,2,#Div0,0.0,#Div0
creamy,0,1,0,1,0.0,#Div0,#Div0
Modern,0,1,0,1,0.0,#Div0,#Div0
caveman,0,0,0,1,#Div0,#Div0,#Div0
exotic,1,0,0,1,1.0,1.0,1.0
mine,0,0,0,1,#Div0,#Div0,#Div0
shocking,0,0,1,1,#Div0,0.0,#Div0
spot,0,0,1,1,#Div0,0.0,#Div0
children,0,0,1,1,#Div0,0.0,#Div0
deeper,0,0,2,2,#Div0,0.0,#Div0
primary,0,3,0,4,0.0,#Div0,#Div0
with-with,0,1,0,1,0.0,#Div0,#Div0
allocating,0,0,1,1,#Div0,0.0,#Div0
play,0,0,1,1,#Div0,0.0,#Div0
judging,0,0,1,1,#Div0,0.0,#Div0
rewarded,0,0,1,1,#Div0,0.0,#Div0
accurate,0,1,0,1,0.0,#Div0,#Div0
forced,0,0,3,3,#Div0,0.0,#Div0
backgrounds,0,0,1,1,#Div0,0.0,#Div0
driven,0,0,1,1,#Div0,0.0,#Div0
balance,0,0,1,1,#Div0,0.0,#Div0
cant,0,1,0,1,0.0,#Div0,#Div0
foreign,0,8,0,8,0.0,#Div0,#Div0
nowadays,0,1,0,1,0.0,#Div0,#Div0
struggle,0,0,1,1,#Div0,0.0,#Div0
deep,0,0,4,4,#Div0,0.0,#Div0
brings,0,0,1,1,#Div0,0.0,#Div0
high-speed,0,1,0,1,0.0,#Div0,#Div0
worlds,0,0,1,1,#Div0,0.0,#Div0
enlarge,0,0,2,2,#Div0,0.0,#Div0
going,0,0,2,2,#Div0,0.0,#Div0
established,0,0,1,1,#Div0,0.0,#Div0
cutting,0,0,1,1,#Div0,0.0,#Div0
belong,0,0,1,1,#Div0,0.0,#Div0
eventual,0,1,0,1,0.0,#Div0,#Div0
unusual,0,1,0,1,0.0,#Div0,#Div0
working,0,2,1,3,0.0,0.0,#Div0
hectic,1,0,0,1,1.0,1.0,1.0
message,0,0,1,1,#Div0,0.0,#Div0
technical,0,1,0,1,0.0,#Div0,#Div0
indepth,0,0,1,1,#Div0,0.0,#Div0
ranges,0,0,1,1,#Div0,0.0,#Div0
early,1,4,0,5,0.2,1.0,0.33333333333333337
classic,0,1,0,1,0.0,#Div0,#Div0
homeless,0,1,0,1,0.0,#Div0,#Div0
biased,0,1,0,1,0.0,#Div0,#Div0
science,0,1,0,1,0.0,#Div0,#Div0
limit,0,0,2,2,#Div0,0.0,#Div0
bare,0,0,1,1,#Div0,0.0,#Div0
followed,0,0,1,1,#Div0,0.0,#Div0
clear,1,0,6,8,1.0,0.14285714285714285,0.25
ethinic,0,1,0,1,0.0,#Div0,#Div0
hand,0,0,2,2,#Div0,0.0,#Div0
devotng,0,0,1,1,#Div0,0.0,#Div0
accquire,0,0,1,1,#Div0,0.0,#Div0
Young,0,2,0,2,0.0,#Div0,#Div0
reflect,0,0,1,1,#Div0,0.0,#Div0
bring,0,0,3,3,#Div0,0.0,#Div0
original,1,1,0,3,0.5,1.0,0.6666666666666666
clean,0,1,0,1,0.0,#Div0,#Div0
facing,0,0,2,2,#Div0,0.0,#Div0
destroying,0,0,1,1,#Div0,0.0,#Div0
referenced,0,1,0,1,0.0,#Div0,#Div0
send,0,0,1,1,#Div0,0.0,#Div0
endless,1,0,0,1,1.0,1.0,1.0
semester,0,0,1,1,#Div0,0.0,#Div0
stage,0,0,6,6,#Div0,0.0,#Div0
interesting,0,7,0,7,0.0,#Div0,#Div0
written,0,0,1,1,#Div0,0.0,#Div0
away,0,0,3,3,#Div0,0.0,#Div0
full,2,2,8,13,0.5,0.2,0.28571428571428575
follow,0,0,9,9,#Div0,0.0,#Div0
profitable,0,1,0,1,0.0,#Div0,#Div0
proper,0,1,0,2,0.0,#Div0,#Div0
metropolitan,0,1,0,1,0.0,#Div0,#Div0
spread-out,1,0,0,1,1.0,1.0,1.0
gap,0,0,1,1,#Div0,0.0,#Div0
Second,0,1,0,2,0.0,#Div0,#Div0
professional,0,3,0,4,0.0,#Div0,#Div0
adjust,0,0,1,1,#Div0,0.0,#Div0
careful,0,2,0,2,0.0,#Div0,#Div0
supports,0,0,1,1,#Div0,0.0,#Div0
year,0,0,1,1,#Div0,0.0,#Div0
grade,0,1,1,2,0.0,0.0,#Div0
few,0,17,0,27,0.0,#Div0,#Div0
outside,0,0,2,2,#Div0,0.0,#Div0
i,0,0,0,4,#Div0,#Div0,#Div0
life,0,0,1,1,#Div0,0.0,#Div0
fancy,0,1,0,1,0.0,#Div0,#Div0
italian,0,1,0,2,0.0,#Div0,#Div0
affordable,0,1,0,1,0.0,#Div0,#Div0
richness,0,0,1,1,#Div0,0.0,#Div0
intruduced,0,0,1,1,#Div0,0.0,#Div0
advertized,0,1,0,1,0.0,#Div0,#Div0
aproach,0,0,1,1,#Div0,0.0,#Div0
visual,0,1,0,1,0.0,#Div0,#Div0
