source,target,label,newClusterPredictedLabel,newClusterConfidence,newClusterIsCorrect
human,see,,False,0.0,0
educational,istituations,,False,0.0,0
abig,part,,False,0.0,0
big,opprtunity,,False,0.0,0
ceariative,people,,False,0.0,0
new,idea,,False,0.0,0
different,generation,,False,0.0,0
different,coseptes,,False,0.0,0
different,socites,,False,0.0,0
early,civilization,,False,0.0,0
cefeman,work,,False,0.0,0
brrelliant,artist,,False,0.0,0
few,year,,False,0.0,0
main,pat,,False,0.0,0
good,artist,,False,0.0,0
big,space,,False,0.0,0
huge,sculpture,,False,0.0,0
great,sculpture,,False,0.0,0
new,sculpture,,False,0.0,0
everyday,process,,False,0.0,0
s,attitude,,False,0.0,0
general,topic,,False,0.0,0
good,way,,False,0.0,0
particular,topic,,False,0.0,0
particular,theory,,False,0.0,0
main,idea,,False,0.0,0
historic,event,,False,0.0,0
general,concept,,False,0.0,0
gerenal,rule,,False,0.0,0
general,idea,,False,0.0,0
many,advanteges,,False,0.0,0
other,invention,,False,0.0,0
many,invention,,True,1.0,0
few,car,,False,0.0,0
twenty,year,,False,0.0,0
new,kind,,False,0.0,0
many,kind,,True,1.0,0
other,planet,,False,0.0,0
clever,person,,False,0.0,0
many,person,,False,0.6,0
new,way,,False,0.0,0
strong,ly,,False,0.0,0
complicatied,problem,,False,0.0,0
original,partern,,False,0.0,0
basic,formula,,False,0.0,0
several,formula,,False,0.0,0
different,formula,,False,0.0,0
single,formula,,False,0.0,0
behavior,lead,,False,0.0,0
flexible,comprehension,,False,0.0,0
complecated,problem,,False,0.0,0
different,level,,False,0.0,0
tough,question,,False,0.0,0
basic,idea,,False,0.0,0
nt,work,,False,0.0,0
flexible,solution,,False,0.0,0
creative,thought,,False,0.0,0
environmental,concern,,False,0.0,0
certain,concern,,False,0.0,0
next,twenty year,,False,0.0,0
certain,point,,False,0.0,0
new,baby,,False,0.0,0
s,budget,,False,0.0,0
important,role,,False,0.0,0
monthly,installment,,False,0.0,0
competitive,interest rate,,False,0.0,0
many,factor,,False,0.0,0
social,factor,,False,0.0,0
financial,factor,,False,0.0,0
main,concern,,False,0.0,0
English,language skill,,False,0.0,0
several,hour,,False,0.0,0
travel,agency,,False,0.0,0
cultural,vacation,,False,0.0,0
tour,guide,,False,0.0,0
beautiful,thing,,False,0.0,0
foreign,language,,False,0.0,0
free,spirit,,False,0.0,0
new,place,,False,0.0,0
little,danger,,False,0.0,0
other,company,,False,0.0,0
frozen,food company,,False,0.0,0
frozen,vegetable,,False,0.0,0
special,lightning,,False,0.0,0
vegetable,contains,,False,0.0,0
real,data,,False,0.0,0
profitable,organization,,False,0.0,0
non,organization,,False,0.0,0
interesting,aspect,,False,0.0,0
such,thing,,False,0.0,0
normal,person,,False,0.0,0
scientific,background,,False,0.0,0
testing,program,,False,1.0,0
scientific,base,,False,0.0,0
many,type,,True,1.0,0
yong,people,,False,0.0,0
right,thing,,False,0.0,0
right,time,,False,0.0,0
yong,person,,False,0.0,0
good,person,,False,0.0,0
good,job,,False,0.0,0
much,time,,False,0.0,0
private,time,,False,0.0,0
future,marriage,,False,0.0,0
young,generation,,False,0.0,0
good,quality funiture,,False,0.0,0
good,life,,False,0.0,0
good,restaurant,,False,0.0,0
classic,concert,,False,0.0,0
precious,concert,,False,0.0,0
good,quality clothing,,False,0.0,0
negative,point,,False,0.0,0
enough,energy,,False,0.0,0
physical,toughness,,False,0.0,0
enogh,toughness,,False,0.0,0
high,speed,,False,0.0,0
big,snow slope,,False,0.0,0
old,thant,,False,0.0,0
financial,confident,,False,0.0,0
enough,confident,,False,0.0,0
free,time,,False,0.0,0
twentieth,century advertising,,False,0.0,0
commercial,product,,False,0.0,0
real,feature,,False,0.0,0
huge,investment,,False,0.0,0
global,system,,False,0.0,0
incorrect,behavior,,False,0.0,0
global,correction,,False,0.0,0
good,quality product,,False,0.0,0
big,advertisement,,False,0.0,0
much,advertising,,False,0.0,0
private,car,,False,0.0,0
many,car,,False,0.0,0
proper,regulation,,False,0.0,0
civil,society,,False,0.0,0
Thai,Government,,False,0.0,0
public,transportation,,False,0.0,0
trafic,situation,,False,0.0,0
current,situation,,False,0.0,0
privaite,vehicle,,False,0.0,0
affordable,price,,False,0.0,0
underground,train,,False,0.0,0
alike,Singapre,,False,0.0,0
other,country,,False,0.0,0
proactive,regulation,,False,0.0,0
specific,rush hour,,False,0.0,0
real,estate,,False,0.0,0
many,reason,,False,0.0,0
previous,situatuation,,False,0.0,0
unsatisfied,person,,False,0.0,0
bad,friend,,False,0.0,0
serious,problem,,False,0.0,0
natural,thing,,False,0.0,0
right,way,,False,0.0,0
benificial,thing,,False,0.0,0
good,friend,,False,0.0,0
productive,work,,False,0.0,0
Such,statement,,False,0.0,0
own,experience,,False,0.0,0
many,product,,True,0.5,0
other,method,,False,0.0,0
cosmetic,magazine,,False,0.0,0
much,cheapter,,False,0.0,0
cosmetic,product,,False,0.0,0
cosmetic,store,,False,0.0,0
other,store,,False,0.0,0
other,friend,,False,0.0,0
same,intelligence,,False,0.0,0
industrial,men,,False,0.0,0
great,man,,False,0.0,0
successfull,becouse,,False,0.0,0
ather,people,,False,0.0,0
new,teory,,False,0.0,0
social,problem,,False,0.0,0
nobel,s prize,,False,0.0,0
many,s prize,,False,0.0,0
little,number,,False,0.0,0
great,thing,,False,0.0,0
little,fear,,False,0.0,0
other,person,,False,0.0,0
big,success,,False,0.0,0
much,money,,False,0.0,0
supecial,people,,False,0.0,0
difficult,way,,False,0.0,0
usual,work,,False,0.0,0
several,reason,,False,0.0,0
regular,work,,False,0.0,0
first,one,,False,0.0,0
sick,peapole,,False,0.0,0
useful,thing,,False,0.0,0
new,recorde number,,False,0.0,0
new,number,,False,0.0,0
different,subject,,False,0.0,0
other,subject,,False,0.0,0
late,stage,,False,0.0,0
certain,stage,,False,0.0,0
personal,working career,,False,0.0,0
academic,career,,False,0.0,0
broad,knowledge platform,,False,0.0,0
sharp,spike,,False,0.0,0
broad,range,,False,0.0,0
know,history,,False,0.0,0
financial,decision,,False,0.0,0
strong,opposition,,False,0.0,0
early,stage,,False,0.0,0
Successful,people,,False,0.0,0
various,career,,False,0.0,0
own,risk,,False,0.0,0
Successful,s ambition,,False,0.0,0
particular,point,,False,0.0,0
much,risk,,False,0.0,0
lose,hope,,False,0.0,0
hard,working,,False,0.0,0
several,time,,False,0.0,0
several,reason belows,,False,0.0,0
specific,reason,,False,0.0,0
popular,place,,False,0.0,0
several,day,,False,0.0,0
small,church,,False,0.0,0
famous,place,,False,0.0,0
long,hour,,False,0.0,0
geographic,condition,,False,0.0,0
exiciting,activity,,False,0.0,0
overall,plan,,False,0.0,0
histrical,heritage,,False,0.0,0
cultural,thing,,False,0.0,0
valid,argument,,False,0.0,0
opposite,position,,False,0.0,0
careful,consideration,,False,0.0,0
above,factor,,False,0.0,0
many,time,,False,0.0,0
successful,possibility,,False,0.0,0
attract,people,,True,0.5,0
current,tendency,,False,0.0,0
big,business,,False,0.0,0
next,trend,,False,0.0,0
big,damage,,False,0.0,0
huge,success,,False,0.0,0
twentieth,century,,False,0.0,0
high,pace,,False,0.0,0
possible,aspect,,False,0.0,0
economic,reason,,False,0.0,0
personal,reason,,False,0.0,0
comfortable,life,,False,0.0,0
safe,future,,False,0.0,0
valuable,asset,,False,0.0,0
personal,ambition,,False,0.0,0
s,ambition,,False,0.0,0
many,truth,,False,1.0,0
instant,recognition,,False,0.0,0
new,employee,,False,0.0,0
same,degree,,False,0.0,0
differenet,trend,,False,0.0,0
many,trend,,False,0.0,0
other,candidate,,False,0.0,0
many,domain,,False,0.0,0
personal,basis,,False,0.0,0
good,image,,False,0.0,0
important,thing,,False,0.0,0
many,concern,,False,0.0,0
spare,time,,False,0.0,0
young,age,,False,0.0,0
important,reason,,False,0.0,0
many,idea,,False,0.0,0
useless,idea,,False,0.0,0
many,scientist,,True,0.5,0
right,information,,False,0.0,0
following,statement,,False,0.0,0
special,reason,,False,0.0,0
disabled,people,,True,1.0,0
Indian,population,,False,0.0,0
Japanese,railway,,False,0.0,0
ruch,hour,,False,0.0,0
Japanese,company,,False,0.0,0
young,student,,False,0.0,0
dont,think,,False,0.0,0
exepensive,car,,False,0.0,0
rich,family,,False,0.0,0
many,kid,,False,0.6,0
new,car,,False,0.0,0
social,class,,False,0.0,0
econimical,car generation,,False,0.0,0
single,year m,,False,0.0,0
single,day,,False,0.0,0
middle,class,,False,0.0,0
upper,class,,False,0.0,0
poor,folk,,False,0.0,0
cheap,amount,,False,0.0,0
upcoming,twenty year,,False,0.0,0
single,man,,False,0.0,0
advertisement,make,,False,0.0,0
many,advertisement,,False,0.0,0
sixty,second,,False,0.0,0
other,dozen,,False,0.0,0
tipical,way society,,False,0.0,0
new,product,,False,0.0,0
new,line,,False,0.0,0
relaiable,good,,False,0.0,0
good,good,,False,0.0,0
other,product,,False,0.0,0
popular,brand,,False,0.0,0
other,brand,,False,0.0,0
several,TV chanal,,False,0.0,0
personal,experiance,,False,0.0,0
nice,thing,,False,0.0,0
Direct,TV,,False,0.0,0
expensive,advertisement,,False,0.0,0
funny,part,,False,0.0,0
Total,wast,,False,0.0,0
other,state,,False,0.0,0
new,fact,,False,0.0,0
favorite,subject,,False,1.0,0
cant,memorize,,False,0.0,0
new,concept,,False,0.0,0
creative,mind,,False,0.0,0
next,day,,False,0.0,0
first,reason,,False,0.0,0
s,path,,False,0.0,0
important,aspect,,False,0.0,0
big,effort,,False,0.0,0
second,reason,,False,0.0,0
generalistic,approach,,False,0.0,0
culural,background,,False,0.0,0
basic,background,,False,0.0,0
solid,background,,False,0.0,0
good,professor,,False,0.0,0
certain,place,,False,0.0,0
certain,time,,False,0.0,0
different,agenda,,False,0.0,0
positive,accident,,False,0.0,0
great,shop,,False,0.0,0
mainstream,tourism,,False,0.0,0
specific,information,,False,0.0,0
local,food,,False,0.0,0
many,episode,,False,0.0,0
good,food,,False,0.0,0
local,way,,False,0.0,0
own,timing,,False,0.0,0
many,book,,False,0.0,0
Lonely,Planet,,False,0.0,0
odd,situation,,False,0.0,0
mundane,life,,False,0.0,0
possitive,accident,,False,0.0,0
new,aspect,,False,0.0,0
original,version,,False,0.0,0
own,version,,False,0.0,0
current,TV program,,False,0.0,0
numerous,TV program,,True,0.5,0
so-called,adventure,,False,0.0,0
famous,example,,False,0.0,0
global,trekker,,False,0.0,0
good,idea,,False,0.0,0
short,period,,False,0.0,0
5kg-plastic,bag,,False,0.0,0
major,transportation tool,,False,0.0,0
developed,country,,False,0.0,0
other,mean,,False,0.0,0
bad,effect,,False,0.0,0
global,warming,,False,0.0,0
other,way people,,False,0.0,0
s,habit,,False,0.0,0
definite,reason,,False,0.0,0
s,awareness,,False,0.0,0
different,pourposes,,False,0.0,0
specific,topic,,False,0.0,0
orginal,thing,,False,0.0,0
focalized,study,,False,0.0,0
diffent,approach,,False,0.0,0
other,field,,False,0.0,0
powerful,method,,False,0.0,0
other,reason,,False,0.0,0
different,part,,False,0.0,0
whole,brain,,False,0.0,0
much,subject,,False,0.0,0
certain,kind,,False,0.0,0
other,kind,,False,0.0,0
practical,example,,False,0.0,0
final,image,,False,0.0,0
expensive,watch,,False,0.0,0
basic,function,,False,0.0,0
original,purpose,,False,0.0,0
esthetic,value,,False,0.0,0
simple,example,,False,0.0,0
cheap,material,,False,0.0,0
mechanical,stress,,False,0.0,0
unique,way,,False,0.0,0
historical,aspect,,False,0.0,0
specific,condition,,False,0.0,0
social,fact,,False,0.0,0
affective,way,,False,0.0,0
same,intensity,,False,0.0,0
physical,activity,,False,0.0,0
other,side,,False,0.0,0
mental,activity,,False,0.0,0
mental,skill,,False,0.0,0
same,park,,False,0.0,0
different,world,,False,0.0,0
laud,music,,False,0.0,0
hectic,music,,False,0.0,0
different,sorses,,False,0.0,0
mental,status,,False,0.0,0
different,way,,False,0.0,0
official,statistic,,False,0.0,0
developing,world,,False,0.0,0
careful,analysis,,False,0.0,0
several,city,,False,0.0,0
much,traffic,,False,0.0,0
environment-friendly,mean,,False,0.0,0
electricity-powered,one,,False,0.0,0
similar,argument,,False,0.0,0
long-distance,journey,,False,0.0,0
high,speed train,,False,0.0,0
particular,need,,False,0.0,0
obvious,reason,,False,0.0,0
high-speed,train,,False,0.0,0
alternative,mean,,False,0.0,0
many,occasion,,False,1.0,0
good,community,,False,0.0,0
many,community,,True,1.0,0
important,ting,,False,0.0,0
next,reason,,False,0.0,0
enjoyable,time,,False,0.0,0
third,reason,,False,0.0,0
good,relationship,,False,0.0,0
wonderful,house,,False,0.0,0
only,aspect,,False,0.0,0
marginal,aspect,,False,0.0,0
false,advertising,,False,0.0,0
fantastic,characteristic,,False,0.0,0
young,spectator,,False,0.0,0
defined,personality,,False,0.0,0
diet,product,,False,0.0,0
false,witnessing,,False,0.0,0
many,weight,,True,1.0,0
only,function,,False,0.0,0
useless,information,,False,0.0,0
white,shirt,,False,0.0,0
12-hour,protection,,False,0.0,0
false,advertisement,,False,0.0,0
large,amount,,False,0.0,0
available,time,,False,0.0,0
last,year,,False,0.0,0
optimistic,opinion,,False,0.0,0
negative,idea,,False,0.0,0
young,people concern,,False,0.0,0
enough,money,,False,0.0,0
present,life,,False,0.0,0
future,life,,False,0.0,0
multiple,factor,,False,0.0,0
other,concorrent company,,False,0.0,0
much,advertisement,,False,0.0,0
certain,product,,False,0.0,0
large,part,,False,0.0,0
particular,type,,False,0.0,0
other,term,,False,0.0,0
positive,way,,False,0.0,0
good,product,,False,0.0,0
alternative,software,,False,0.0,0
s,expert,,False,0.0,0
necessary,visibility,,False,0.0,0
other,factor,,False,0.0,0
many,case,,False,0.0,0
fantastic,advertisement,,False,0.0,0
much,Coca,,False,0.0,0
fanatic,customer,,False,0.0,0
beautiful,advertisement,,False,0.0,0
last,week i,,False,0.0,0
hard,spot,,False,0.0,0
normal,soup,,False,0.0,0
dont,thing i,,False,0.0,0
i,thing i,,False,0.0,0
fat,people,,True,0.8333333333333334,0
ll,make,,False,0.0,0
unnatural,product,,False,0.0,0
i,thing,,False,0.0,0
big,advertisment,,False,0.0,0
sociological,movement,,False,0.0,0
t,remember fact,,False,0.0,0
same,topic,,False,0.0,0
scientific,method,,False,0.0,0
understanding,concept,,False,0.0,0
important,fact,,False,0.0,0
t,try,,False,0.0,0
own,opinion,,False,0.0,0
t,care,,False,0.0,0
important,information,,False,0.0,0
important,thearies,,False,0.0,0
neo,liberal,,False,0.0,0
socil,democracy,,False,0.0,0
European,country,,False,0.0,0
many,country,,False,0.0,0
Japanese,MNCs,,False,0.0,0
small,government,,False,0.0,0
American,government,,False,0.0,0
strong,capitalism,,False,0.0,0
European,society,,False,0.0,0
black,men,,False,0.0,0
much,regulation,,False,0.0,0
many,desire,,False,0.0,0
christmas,vacation,,False,0.0,0
schocking,experience,,False,0.0,0
political,philosophy,,False,0.0,0
social,democacy,,False,0.0,0
different,thing,,False,0.0,0
real,information,,False,0.0,0
various,method,,False,0.0,0
various,type,,True,1.0,0
provide,information,,False,0.0,0
real,impression,,False,0.0,0
statistical,information,,False,0.0,0
own,product,,False,0.0,0
reliable,information,,False,0.0,0
good,side,,False,0.0,0
many,method,,False,0.0,0
useful,information,,False,0.0,0
actual,product,,False,0.0,0
advanced,position,,False,0.0,0
modern,business world,,False,0.0,0
permanent,employee,,False,0.0,0
part-time,employee,,False,0.0,0
same,industry,,False,0.0,0
ordinary,people,,False,0.0,0
special,know-how,,False,0.0,0
financial,instrument,,False,0.0,0
broad,knowleadge,,False,0.0,0
academic,background,,False,0.0,0
possible,customer,,False,0.0,0
various,angle,,False,0.0,0
important,element,,False,0.0,0
good,manager,,False,0.0,0
various,background,,False,0.0,0
senior,manager,,True,1.0,0
potential,candidate,,False,0.0,0
good,manegers,,False,0.0,0
future,board member,,False,0.0,0
young,people nowadays,,False,0.0,0
good,education,,False,0.0,0
cram,school,,True,1.0,0
young,pepople,,False,0.0,0
many,pepople,,False,0.0,0
many,crime,,False,0.0,0
limited,space,,False,0.0,0
deep-snow,city,,False,0.0,0
good,co-relationship,,False,0.0,0
many,enemy,,False,0.0,0
good,corelationship,,False,0.0,0
hard,task,,False,0.0,0
such,idea,,False,0.0,0
exciting,thing,,False,0.0,0
right,place,,False,0.0,0
new,country,,False,0.0,0
forigne,language,,False,0.0,0
other,culture,,False,0.0,0
certain,word,,False,0.0,0
torue,guide,,False,0.0,0
comfetable,place,,False,0.0,0
comfetable,way,,False,0.0,0
new,culture,,False,0.0,0
s,society,,False,0.0,0
huge,flexibility,,False,0.0,0
new,work,,False,0.0,0
basical,instruction,,False,0.0,0
complete,background,,False,0.0,0
quite,background,,False,0.0,0
high,level,,False,0.0,0
virtual,design,,False,0.0,0
graphic,design,,False,0.0,0
different,tipes,,False,0.0,0
basical,preparation,,False,0.0,0
other,student,,False,0.0,0
Academic,subject,,False,0.0,0
broad,knowledge oto,,False,0.0,0
animal,doctor,,False,0.0,0
future,job,,False,0.0,0
former,statement,,False,0.0,0
leass,car,,False,0.0,0
other,one,,False,0.0,0
negative,spot,,False,0.0,0
same,article,,False,0.0,0
famous,thing,,False,0.0,0
electrical,wave,,False,0.0,0
new,object,,False,0.0,0
expectative,create fedelty,,False,0.0,0
real,usefulness,,False,0.0,0
big,responsibility,,False,0.0,0
important,factor,,False,0.0,0
young,s,,False,0.0,0
new,experience,,False,0.0,0
important,factore,,False,0.0,0
biological,factore,,False,0.0,0
there,step,,False,0.0,0
false,step,,False,0.0,0
bad,consequence,,False,0.0,0
bilological,factor,,False,0.0,0
same,eager,,False,0.0,0
big,responsibilites,,False,0.0,0
financial,security,,False,0.0,0
simple,YES,,False,0.0,0
long,period,,False,0.0,0
diffused,mean,,False,0.0,0
modern,economy,,False,0.0,0
right,knowledge,,False,0.0,0
full,substitute,,False,0.0,0
economic,power,,False,0.0,0
new,power,,False,0.0,0
rich,country,,False,0.0,0
tecnological,revolution,,False,0.0,0
eventual,revolution,,False,0.0,0
economic,breakdown,,False,0.0,0
major,breakdown,,False,0.0,0
such,trend,,False,0.0,0
actual,trend,,False,0.0,0
economic,system,,False,0.0,0
give,time,,False,0.0,0
small,percentage,,False,0.0,0
full,time duty,,False,0.0,0
wealthy,family,,False,0.0,0
needy,people,,False,0.0,0
young,person,,False,0.0,0
personnal,skillls,,False,0.0,0
active,member,,False,0.0,0
psycholgical,support,,False,0.0,0
needy,person,,False,0.0,0
different,country,,False,0.0,0
beautiful,part,,False,0.0,0
different,cltuers,,False,0.0,0
other,contries,,False,0.0,0
big,trouble,,False,0.0,0
wonderfull,memorise,,False,0.0,0
different,point,,False,0.0,0
right,selection,,False,0.0,0
good,time,,False,0.0,0
first,time,,False,0.0,0
nt,place,,False,0.0,0
torist,place,,False,0.0,0
interesting,place,,False,0.0,0
own,mistake,,False,0.0,0
new,obstacle,,False,0.0,0
mechanical,thing,,False,0.0,0
everyday,life,,False,0.0,0
big,part,,False,0.0,0
own,right,,False,0.0,0
big,society,,False,0.0,0
tecnological,resource,,False,0.0,0
future,people,,False,0.0,0
principal,way,,False,0.0,0
fifty,year,,False,0.0,0
great,buisness-men,,False,0.0,0
great,part,,False,0.0,0
powerfull,person,,False,0.0,0
new,car model,,False,0.0,0
tecnological,source,,False,0.0,0
provided,topic state,,False,0.0,0
good,planning,,False,0.0,0
wide,experience,,False,0.0,0
important,event,,False,0.0,0
important,activity,,False,0.0,0
Many,advertisement,,False,0.0,0
daily,good,,False,0.0,0
pearsonal,computer,,False,0.0,0
inter,net,,False,0.0,0
Inter,net,,False,0.0,0
high,shool student,,False,0.0,0
shoose,s size,,False,0.0,0
aobut,clothes,,False,0.0,0
big,departmemt store,,False,0.0,0
different,season,,False,0.0,0
many,clothes,,False,0.0,0
contemporary,society,,False,0.0,0
selfish,behavior,,False,0.0,0
20th,century,,False,0.0,0
nowadays,people,,False,0.0,0
remarkable,activity,,False,0.0,0
other,activity,,False,0.0,0
own,community,,False,0.0,0
own,child,,False,0.0,0
total,town,,False,0.0,0
big,town,,False,0.0,0
little,community,,False,0.0,0
little,town,,False,0.0,0
cultural,growth,,False,0.0,0
economic,problem,,False,0.0,0
17th-18th,Century,,False,0.0,0
new,event,,False,0.0,0
human,history,,False,0.0,0
new,research,,False,0.0,0
genetic,field,,False,0.0,0
prospective,throught,,False,0.0,0
true,throught,,False,0.0,0
future,fact,,False,0.0,0
general,behavior,,False,0.0,0
shy,student,,False,0.0,0
successful,person,,False,0.0,0
few,possibility,,False,0.0,0
genuine,curiosity,,False,0.0,0
brave,people,,False,0.0,0
wide,knowledge,,False,0.0,0
successful,life,,False,0.0,0
successful,battle,,False,0.0,0
many,battle,,False,0.0,0
new,challenge,,False,0.0,0
brave,approach,,False,0.0,0
right,one,,False,0.0,0
theyr,brain,,False,0.0,0
good,memory,,False,0.0,0
different,concept,,False,0.0,0
difficult,concept,,False,0.0,0
own,force,,False,0.0,0
heshe,know,,False,0.0,0
succesful,people,,False,0.0,0
big,weight,,False,0.0,0
big,problem,,False,0.0,0
little,bit,,False,0.0,0
other,range,,False,0.0,0
many,way,,True,1.0,0
many,material,,False,0.0,0
complex,way,,False,0.0,0
estimated,number,,False,0.0,0
uncontrollable,population growth,,False,0.0,0
under-developed,country,,False,0.0,0
Asian,country,,False,0.0,0
normal,family,,False,0.0,0
gulf,country,,False,0.0,0
many,baby,,False,0.0,0
Chinese,law,,False,0.0,0
rapid,growth,,False,0.0,0
many,child,,False,0.6,0
other,form,,False,0.0,0
only,way,,False,0.0,0
lazy,generation,,False,0.0,0
present,generation,,False,0.0,0
important,meeting,,False,0.0,0
important,point,,False,0.0,0
new,method,,False,0.0,0
main,factor,,False,0.0,0
new,solution,,False,0.0,0
catastrophic,consequence,,False,0.0,0
great,problem,,False,0.0,0
good,attitude,,False,0.0,0
phisical,movement,,False,0.0,0
ecological,mean,,False,0.0,0
other,way,,False,0.0,0
interesting,people,,False,0.0,0
Italian,writer,,False,0.0,0
common,people,,False,0.0,0
simple,reason,,False,0.0,0
great,range,,False,0.0,0
primary,reason,,False,0.0,0
s,failure,,False,0.0,0
other,failure,,False,0.0,0
s,example,,False,0.0,0
